ticker,regime,n_updates,asof,P_lambda,P_omega,P_alpha,P_beta,P_sigma0,P_mean,P_shock,P_persist,P_mu_p,Q_lambda,Q_omega,Q_alpha,Q_beta,Q_sigma0,Q_mean,Q_shock,Q_persist,Q_stationary
AAPL,2008-2009,13,2009-07-31 00:00:00,0.10664208117698404,1.535115587215452e-05,0.11298518518560317,0.8747761909289425,0.017672361843268623,r_f + λ σ − ½ σ²,ε_t,0.9877613761145457,0.7004578582005149,0.10664208117698404,1.535115587215452e-05,0.11298518518560317,0.8747761909289425,0.017672361843268623,r_f − ½ σ²,ξ_t − λ,0.9890463039155597,True
AMZN,2008-2009,13,2009-07-31 00:00:00,0.05875466747926795,2.3282557184488315e-05,0.05642175622121311,0.9273191492830393,0.03185279379163096,r_f + λ σ − ½ σ²,ε_t,0.9837409055042524,0.37464911120719835,0.05875466747926795,2.3282557184488315e-05,0.05642175622121311,0.9273191492830393,0.03185279379163096,r_f − ½ σ²,ξ_t − λ,0.9839356796667557,True
MSFT,2008-2009,13,2009-07-31 00:00:00,0.005845560950275995,3.286691650056395e-05,0.1396041534891513,0.8331188858490184,0.029861676428931738,r_f + λ σ − ½ σ²,ε_t,0.9727230393381697,-0.06999613150691054,0.005845560950275995,3.286691650056395e-05,0.1396041534891513,0.8331188858490184,0.029861676428931738,r_f − ½ σ²,ξ_t − λ,0.972727809693459,True
SPY,2008-2009,13,2009-07-31 00:00:00,0.01038915656344324,5.872551385641099e-06,0.10801345019380079,0.8827629310752716,0.013047422366381576,r_f + λ σ − ½ σ²,ε_t,0.9907763812690724,-0.010061259330871944,0.01038915656344324,5.872551385641099e-06,0.10801345019380079,0.8827629310752716,0.013047422366381576,r_f − ½ σ²,ξ_t − λ,0.9907880396548161,True
AAPL,2013-2014,13,2014-12-31 00:00:00,0.14150243370917454,6.378391466182433e-19,1.1411157726014771e-43,0.9995430300969543,0.01296339815963892,r_f + λ σ − ½ σ²,ε_t,0.9995430300969543,0.46017102198207055,0.14150243370917454,6.378391466182433e-19,1.1411157726014771e-43,0.9995430300969543,0.01296339815963892,r_f − ½ σ²,ξ_t − λ,0.9995430300969543,True
AMZN,2013-2014,13,2014-12-31 00:00:00,0.010815034323836719,0.0002967271243676016,0.22812516432775912,8.49150468594423e-15,0.01743417114197761,r_f + λ σ − ½ σ²,ε_t,0.2281251643277676,0.004263395643356487,0.010815034323836719,0.0002967271243676016,0.22812516432775912,8.49150468594423e-15,0.01743417114197761,r_f − ½ σ²,ξ_t − λ,0.2281518469801822,True
MSFT,2013-2014,13,2014-12-31 00:00:00,0.16426264652377826,7.696409234182134e-05,0.6083009563294867,0.2562771660531664,0.014234220836800123,r_f + λ σ − ½ σ²,ε_t,0.8645781223826531,0.5885602050183784,0.16426264652377826,7.696409234182134e-05,0.6083009563294867,0.2562771660531664,0.014234220836800123,r_f − ½ σ²,ξ_t − λ,0.880991430813797,True
SPY,2013-2014,13,2014-12-31 00:00:00,0.14909906288350808,7.068740056661937e-06,0.16861334503474823,0.684427153564704,0.00627037445443255,r_f + λ σ − ½ σ²,ε_t,0.8530404985994522,0.2459458972285117,0.14909906288350808,7.068740056661937e-06,0.16861334503474823,0.684427153564704,0.00627037445443255,r_f − ½ σ²,ξ_t − λ,0.8567888627178469,True
AAPL,2018-2019,13,2019-09-30 00:00:00,0.12929172356895488,1.7321536779588584e-05,0.14137221760344876,0.8179781667054712,0.013390831013335033,r_f + λ σ − ½ σ²,ε_t,0.95935038430892,0.5630908273648337,0.12929172356895488,1.7321536779588584e-05,0.14137221760344876,0.8179781667054712,0.013390831013335033,r_f − ½ σ²,ξ_t − λ,0.9617136117480385,True
AMZN,2018-2019,13,2019-09-30 00:00:00,0.10166694201877935,1.3603679831240002e-05,0.1565502334679032,0.8078984641899447,0.015329415878292634,r_f + λ σ − ½ σ²,ε_t,0.9644486976578479,0.44507405079693224,0.10166694201877935,1.3603679831240002e-05,0.1565502334679032,0.8078984641899447,0.015329415878292634,r_f − ½ σ²,ξ_t − λ,0.96606682703043,True
