trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
2008-01-28,135.314898,129.0,19,0.0233999999999999,7.87,6.3148979999999995,-1.5551020000000007,1.0,0.0
2008-08-01,126.087165,117.0,15,0.0166,9.35,9.087164999999999,-0.2628350000000008,1.0,0.0
2008-05-21,139.27315,126.0,31,0.0186,13.91,13.273149999999987,-0.6368500000000132,1.0,0.0
2008-05-14,141.022296,129.0,38,0.0182,12.61,12.022296000000011,-0.587703999999988,1.0,0.0
2008-07-25,125.788355,117.0,57,0.0175,10.57,8.788354999999996,-1.7816450000000046,1.0,0.0
2008-02-04,138.033006,128.0,47,0.0227,11.96,10.033006,-1.9269940000000005,1.0,0.0
2008-07-03,126.19091,126.0,16,0.0184,2.59,1.6010767430096176,-0.9889232569903823,0.1285,15.427
2008-09-08,127.212239,125.0,12,0.0171,2.88,2.4703101535244563,-0.40968984647554363,0.815,6.6305
2009-10-16,108.865636,111.0,36,0.0007,1.52,1.176266211624627,-0.34373378837537305,0.1145,34.3025
2009-10-23,108.080704,111.0,29,0.0007,1.1,0.7733717896588882,-0.3266282103411119,0.1245,26.896
2008-08-08,129.766737,129.0,43,0.017,3.83,2.7529657933284617,-1.0770342066715384,0.5015,36.5695
2009-10-23,108.080704,111.0,57,0.0007,2.08,1.79874813486601,-0.28125186513399014,0.126,55.4865
2009-12-07,110.758949,117.0,12,0.0004,0.07,0.18369745220276956,0.11369745220276956,0.0295,11.9255
2009-10-02,102.550109,110.0,15,0.001,0.14,0.19846780578893336,0.05846780578893335,0.011,14.935
2009-09-25,104.431949,110.0,22,0.001,0.41,0.413056493342682,0.003056493342682043,0.0745,21.564
2009-08-26,103.160049,111.0,24,0.0015,0.15,0.2904840499113185,0.1404840499113185,0.0545,23.575
2009-11-06,107.13891,113.0,43,0.0006,0.76,0.8389589170771877,0.07895891707718772,0.1555,39.872
2009-11-20,109.483111,118.0,57,0.0002,0.43,0.8683508243933069,0.4383508243933069,0.0935,54.8355
2009-11-20,109.483111,111.0,29,0.0002,1.46,1.2124693150844068,-0.24753068491559316,0.1855,27.6975
2009-10-30,103.767298,113.0,22,0.0005,0.12,0.22450762440227715,0.10450762440227715,0.029,21.901
2008-03-04,132.945719,122.0,18,0.0166,11.41,10.945718999999997,-0.4642810000000033,1.0,0.0
2008-09-22,120.551797,116.0,26,0.0128,7.58,4.551796999999993,-3.0282030000000066,1.0,0.0
2008-03-04,132.945719,125.0,18,0.0166,8.71,7.945718999999997,-0.764281000000004,1.0,0.0
2009-10-02,102.550109,111.0,15,0.001,0.08,0.14671285239138898,0.06671285239138898,0.0285,14.939
