trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
2013-03-27,156.111371,143.0,16,0.0009,13.18,13.302772313694415,0.12277231369441566,0.6835,13.978
2014-08-29,200.72639,183.5,7,0.0003,17.12,17.245604552697657,0.1256045526976557,0.8985,2.236
2013-12-04,179.743996,170.0,27,0.0006,10.0,10.045498529553127,0.04549852955312694,0.715,15.0945
2013-11-26,180.62625,173.0,25,0.0007,8.04,8.164379102621966,0.12437910262196716,0.6835,21.111
2014-05-29,192.382646,186.0,51,0.0004,7.2,7.755380462688213,0.5553804626882126,0.464,35.3365
2013-03-06,154.505039,149.0,45,0.001,6.04,6.5567157500157425,0.5167157500157424,0.6065,32.736
2013-04-25,158.493864,163.0,15,0.0005,0.12,0.4753730258302643,0.3553730258302643,0.053,14.873
2014-04-01,188.316685,183.0,10,0.0004,5.56,5.532594028274363,-0.027405971725636746,0.7185,5.526
2014-08-29,200.72639,199.0,22,0.0003,2.68,3.221088628370643,0.5410886283706429,0.3935,19.7185
2014-09-15,198.977082,204.0,25,0.0002,0.21,0.5800052253849219,0.370005225384922,0.1045,24.346
2014-05-07,187.886821,186.0,45,0.0003,4.3,4.771234727237174,0.4712347272371744,0.3755,40.681
2014-08-15,195.727915,199.0,46,0.0003,1.1,1.9119875633247894,0.8119875633247893,0.196,44.252
2014-11-17,204.377756,212.0,18,0.0003,0.07,0.29723586059199536,0.22723586059199535,0.0225,17.96
2014-02-03,174.09729,180.0,19,0.0005,0.53,0.41567142929699413,-0.1143285707030059,0.021,18.7725
2013-12-11,178.734261,188.0,23,0.0007,0.06,0.17083963934218804,0.11083963934218805,0.0245,22.929
2013-07-08,163.939887,169.0,40,0.0005,0.81,1.334433447110105,0.5244334471101049,0.1515,39.2965
2014-04-23,187.473354,195.0,59,0.0002,0.64,1.523139662344894,0.883139662344894,0.1195,57.1485
2014-09-15,198.977082,208.0,46,0.0002,0.15,0.5227753812991914,0.3727753812991914,0.03,45.595
2013-06-07,164.809718,154.0,7,0.0004,10.62,10.828232593540113,0.2082325935401137,1.0,2.2755
2014-09-08,200.631279,198.5,18,0.0002,2.78,3.2928394771498435,0.5128394771498437,0.1425,17.8575
2014-04-08,185.066742,189.5,24,0.0003,0.58,0.919024211490808,0.3390242114908081,0.108,23.5185
2013-02-20,151.387962,157.0,16,0.0012,0.06,0.2101323229673748,0.1501323229673748,0.0565,15.8265
2014-03-11,187.194039,177.5,17,0.0005,9.68,9.94260051668511,0.26260051668510975,0.7895,15.2075
2013-08-26,166.002799,177.0,35,0.0004,0.05,0.2386352138521961,0.18863521385219612,0.0275,34.813
