trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
2019-01-30,267.547077,258.0,7,0.0242,10.22,12.028033449242349,1.8080334492423482,0.0975,6.8675
2019-10-17,299.188886,290.0,8,0.0166,9.52,12.476142174593361,2.956142174593362,0.0,8.0
2019-06-17,289.425082,280.0,25,0.0223,10.52,18.272196774752402,7.752196774752402,0.1015,24.747
2019-06-10,288.990779,278.0,39,0.0229,12.79,21.10295258773023,8.31295258773023,0.346,36.8135
2019-09-19,301.095829,277.0,57,0.0192999999999999,25.22,34.39174027966877,9.171740279668768,0.4735,49.382
2019-02-06,272.708317,257.0,51,0.0242,17.69,25.30422645538027,7.614226455380269,0.202,50.798
2019-02-06,272.708317,271.0,9,0.0242,3.1,7.864660618842201,4.764660618842202,0.143,8.5515
2019-07-09,297.272645,295.5,17,0.0226,3.91,10.691679931168649,6.781679931168648,0.2545,15.6395
2019-10-03,290.3112,294.0,32,0.017,4.15,12.439100366496953,8.289100366496953,0.2735,30.548
2019-10-17,299.188886,297.0,22,0.0166,5.13,12.420453523265682,7.290453523265682,0.2475,20.8045
2019-08-06,287.752691,281.0,45,0.0204999999999999,12.21,19.70424662300963,7.49424662300963,0.256,41.7
2019-11-07,308.164379,299.0,43,0.0156,12.07,22.03020256201622,9.960202562016221,0.233,42.436
2019-10-03,290.3112,303.0,13,0.017,0.08,3.561612713850808,3.481612713850808,0.074,12.582
2019-06-10,288.990779,303.0,11,0.0229,0.07,3.0181396104256653,2.9481396104256654,0.1045,10.7945
2019-06-03,274.665808,283.0,32,0.0235,1.76,9.798815410195818,8.038815410195818,0.0755,31.551
2019-03-14,281.166664,292.0,34,0.0245,0.26,9.43241147478216,9.17241147478216,0.0865,33.6775
2019-08-27,286.953978,315.0,52,0.0197999999999999,0.14,7.782141921277737,7.642141921277737,0.2545,50.74
2019-10-10,293.156917,313.0,43,0.0168,0.21,8.043075353923333,7.833075353923333,0.1425,42.413
2019-02-06,272.708317,268.5,7,0.0242,4.72,8.00012986233351,3.280129862333511,0.1915,6.3665
2019-02-13,275.009734,270.0,9,0.0243999999999999,5.64,9.59208417151739,3.9520841715173907,0.24,8.2545
2019-01-15,260.405414,275.0,31,0.0245,0.29,6.474577137129001,6.184577137129001,0.1085,30.506
2019-09-12,301.265478,295.0,27,0.0195,7.87,16.5257132679632,8.6557132679632,0.3105,25.2915
2019-03-21,284.612008,294.0,32,0.0249,0.64,10.044746834305128,9.404746834305127,0.1565,31.3855
2019-01-15,260.405414,264.0,59,0.0245,4.77,14.68258125681066,9.912581256810661,0.1415,58.5775
