ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2023-03-09 09:30:00,399.7,387.71,2,0.050499999999999996,12.151704639573211,12.331067467420862,0.17936282784765112,0.822,594.3615
SPY,2023-03-09 11:00:00,400.0098,400.01,2,0.050499999999999996,1.6929311325578453,1.8001337274333982,0.10720259487555284,0.527,769.9295
SPY,2023-03-09 11:00:00,400.0098,388.01,2,0.050499999999999996,12.15653123920066,12.337854313305508,0.1813230741048475,0.6065,647.424
SPY,2023-03-09 11:00:00,400.0098,412.01,2,0.050499999999999996,0.002325676158814516,0.001858069601758472,-0.00046760655705604384,0.002,779.7595
SPY,2023-03-09 13:00:00,397.88,385.94,2,0.050499999999999996,12.096010196481075,12.148817434986316,0.05280723850524183,0.999,377.065
SPY,2023-03-09 13:00:00,397.88,409.82,2,0.050499999999999996,0.002509086651312553,0.0018533802174608173,-0.0006557064338517358,0.0,780.0
SPY,2023-03-10 09:30:00,390.46,390.46,2,0.0501,2.2480440043806595,2.1950323985290248,-0.05301160585163478,0.376,683.9585
SPY,2023-03-10 09:30:00,390.46,378.75,2,0.0501,11.885697196672027,12.14685268214217,0.2611554854701428,0.999,649.549
SPY,2023-03-10 11:00:00,390.92,402.65,2,0.0501,0.13968413919584322,0.17716601920818267,0.03748188001233946,0.0615,775.4605
SPY,2023-03-10 13:00:00,388.08,388.08,2,0.0501,3.0929867740009342,3.1150142671076666,0.022027493106732354,0.3175,710.6185
SPY,2023-03-13 11:00:00,387.4,399.02,2,0.0487,2.882637352430237,3.000995191881145,0.11835783945090794,0.1455,760.7105
SPY,2023-03-13 13:00:00,386.03,374.45,2,0.0487,13.323322149125318,13.169475912074363,-0.15384623705095457,0.626,520.2475
SPY,2023-03-13 15:00:00,388.64,376.98,2,0.0487,12.917090608369506,13.44581148616026,0.5287208777907537,0.8455,671.6645
SPY,2023-03-13 15:00:00,388.64,388.64,2,0.0487,5.066830658624184,5.420032943155917,0.35320228453173286,0.572,739.212
SPY,2023-03-14 09:30:00,390.615,390.62,2,0.048799999999999996,5.266284215859258,5.1854439046773,-0.08084031118195778,0.449,672.236
SPY,2023-03-14 11:00:00,392.06,392.06,2,0.048799999999999996,4.69536013570675,4.823409891026957,0.12804975532020713,0.4925,742.253
SPY,2023-03-14 11:00:00,392.06,380.3,2,0.048799999999999996,12.780133226579494,13.037953292566504,0.25782006598701024,0.8605,601.527
SPY,2023-03-14 13:00:00,391.58,391.58,2,0.048799999999999996,4.077956389316398,4.103036085967656,0.02507969665125742,0.5105,660.7765
SPY,2023-03-14 15:00:00,389.0301,389.03,2,0.048799999999999996,3.867161359364985,3.9003718276039696,0.033210468238984436,0.3985,700.2005
SPY,2023-03-15 09:30:00,386.17,374.58,2,0.0475,12.208025086141731,12.72690875471107,0.5188836685693392,0.6715,755.888
SPY,2023-03-15 09:30:00,386.17,397.76,2,0.0475,0.5641611433415932,0.38920080373800275,-0.17496033960359042,0.1085,774.1585
SPY,2023-03-15 11:00:00,385.77,374.2,2,0.0475,12.289604068204937,12.814407520906489,0.5248034527015513,0.854,663.845
SPY,2023-03-15 13:00:00,384.16,395.68,2,0.0475,0.752367324646201,0.6088526177902773,-0.1435147068559237,0.069,768.179
SPY,2023-03-15 15:00:00,388.87,388.87,2,0.0475,4.382698867687651,4.538712154038633,0.15601328635098177,0.552,731.189
