ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2019-01-17,154.94,147.0,15,0.0242,9.8,13.466373462392903,3.6663734623929027,0.267,13.7455
AAPL,2019-10-25,243.58,220.0,7,0.0166,24.375,23.887548240662376,-0.48745175933762397,0.611,5.224
AAPL,2019-06-26,195.57,180.0,37,0.0215,18.375,21.29977183161852,2.9247718316185214,0.514,36.3355
AAPL,2019-06-26,195.57,182.5,30,0.0215,15.125,18.674930076846568,3.549930076846568,0.257,28.8645
AAPL,2019-10-11,230.09,212.5,42,0.0168,21.2,22.8279914355067,1.6279914355067007,0.5655,33.7435
AAPL,2019-02-01,166.44,150.0,42,0.024,17.175,26.347963358119095,9.172963358119095,0.0485,40.9475
AAPL,2019-02-08,170.94,175.0,14,0.0243,1.305,5.961850880944805,4.6568508809448055,0.1785,13.0335
AAPL,2019-08-08,199.04,195.0,8,0.0202,5.975,7.732285656216551,1.7572856562165518,0.1385,7.529
AAPL,2019-10-18,235.28,230.0,28,0.0166,9.95,12.91158999547538,2.9615899954753804,0.2585,26.883
AAPL,2019-10-25,243.58,250.0,28,0.0166,4.25,6.2154469143509115,1.9654469143509115,0.191,26.353
AAPL,2019-09-06,213.28,215.0,49,0.0196,6.8,12.721158477835939,5.921158477835939,0.0385,48.66
AAPL,2019-11-01,248.76,255.0,42,0.0152,4.475,9.081725272439169,4.606725272439169,0.252,40.5225
AAPL,2019-11-15,262.64,282.5,7,0.0157,0.08,0.12353058346146607,0.04353058346146607,0.0085,6.984
AAPL,2019-07-03,202.73,212.5,9,0.0220999999999999,0.14,1.4750072087193544,1.3350072087193543,0.0045,8.981
AAPL,2019-06-05,179.64,187.5,37,0.0235,3.175,11.312171791744786,8.137171791744787,0.126,36.7345
AAPL,2019-03-25,191.05,207.5,32,0.0246,1.145,5.530497619476255,4.385497619476254,0.0695,31.471
AAPL,2019-09-27,219.89,240.0,49,0.018,1.865,6.262431804535314,4.397431804535314,0.1195,48.058
AAPL,2019-11-01,248.76,260.0,42,0.0152,2.545,7.8131093768413375,5.268109376841338,0.2205,41.0235
AAPL,2019-08-08,199.04,205.0,22,0.0202,3.225,7.064135148739659,3.839135148739659,0.036,21.9295
AAPL,2019-01-03,157.92,147.0,22,0.0241,13.25,17.330032272139324,4.080032272139324,0.4195,21.043
AAPL,2019-11-01,248.76,227.5,21,0.0152,21.25,23.66387284840068,2.413872848400679,0.131,18.693
AAPL,2019-12-16,275.15,277.5,25,0.0157,4.575,7.87018629596893,3.2951862959689295,0.013,24.7305
AAPL,2019-10-18,235.28,215.0,28,0.0166,21.15,23.884471517277262,2.734471517277264,0.4875,23.7095
AAPL,2019-12-16,275.15,262.5,25,0.0157,15.35,16.518970383906534,1.1689703839065348,0.3535,22.2895
