ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2019-01-17,154.94,147.0,15,0.0242,9.8,12.121499637111684,2.3214996371116836,0.4335,12.3585
AAPL,2019-10-25,243.58,220.0,7,0.0166,24.375,24.89679085984589,0.5217908598458898,0.389,5.817
AAPL,2019-06-26,195.57,180.0,37,0.0215,18.375,24.897038776559917,6.522038776559917,0.263,33.741
AAPL,2019-06-26,195.57,182.5,30,0.0215,15.125,21.484285364238268,6.359285364238268,0.351,26.7045
AAPL,2019-10-11,230.09,212.5,42,0.0168,21.2,29.46731891712215,8.26731891712215,0.4495,36.891
AAPL,2019-02-01,166.44,150.0,42,0.024,17.175,23.926869410299695,6.751869410299694,0.3035,40.2005
AAPL,2019-02-08,170.94,175.0,14,0.0243,1.305,6.098574784694102,4.793574784694102,0.135,13.3225
AAPL,2019-08-08,199.04,195.0,8,0.0202,5.975,9.09283067631175,3.117830676311751,0.1045,7.649
AAPL,2019-10-18,235.28,230.0,28,0.0166,9.95,19.91538942639665,9.965389426396651,0.241,27.3335
AAPL,2019-10-25,243.58,250.0,28,0.0166,4.25,13.331867890223046,9.081867890223046,0.2,27.112
AAPL,2019-09-06,213.28,215.0,49,0.0196,6.8,19.31070450803312,12.510704508033118,0.146,47.765
AAPL,2019-11-01,248.76,255.0,42,0.0152,4.475,18.57474444378336,14.09974444378336,0.2105,39.543
AAPL,2019-11-15,262.64,282.5,7,0.0157,0.08,2.0979858609549673,2.0179858609549672,0.0495,6.91
AAPL,2019-07-03,202.73,212.5,9,0.0220999999999999,0.14,3.71354909626312,3.57354909626312,0.066,8.746
AAPL,2019-06-05,179.64,187.5,37,0.0235,3.175,11.185495441657233,8.010495441657234,0.1785,35.9605
AAPL,2019-03-25,191.05,207.5,32,0.0246,1.145,8.312598913059633,7.167598913059633,0.0165,31.7935
AAPL,2019-09-27,219.89,240.0,49,0.018,1.865,12.461063683630298,10.596063683630298,0.151,47.5765
AAPL,2019-11-01,248.76,260.0,42,0.0152,2.545,16.485232929065372,13.940232929065372,0.1845,41.639
AAPL,2019-08-08,199.04,205.0,22,0.0202,3.225,8.92699121776901,5.7019912177690095,0.085,21.2425
AAPL,2019-01-03,157.92,147.0,22,0.0241,13.25,15.59548164797232,2.3454816479723206,0.477,19.168
AAPL,2019-11-01,248.76,227.5,21,0.0152,21.25,27.838047049071495,6.588047049071495,0.0,21.0
AAPL,2019-12-16,275.15,277.5,25,0.0157,4.575,16.621614104082074,12.046614104082074,0.105,24.75
AAPL,2019-10-18,235.28,215.0,28,0.0166,21.15,28.55850406491244,7.408504064912442,0.205,25.5705
AAPL,2019-12-16,275.15,262.5,25,0.0157,15.35,23.170405012546457,7.820405012546457,0.249,22.0765
