ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2019-01-17,154.94,147.0,15,0.0242,9.8,10.66132345679797,0.8613234567979688,0.3825,13.703
AAPL,2019-10-25,243.58,220.0,7,0.0166,24.375,23.737971933500166,-0.637028066499834,0.5745,4.274
AAPL,2019-06-26,195.57,180.0,37,0.0215,18.375,18.988476009929602,0.6134760099296024,0.095,35.243
AAPL,2019-06-26,195.57,182.5,30,0.0215,15.125,16.81725935950104,1.6922593595010404,0.4215,27.2445
AAPL,2019-10-11,230.09,212.5,42,0.0168,21.2,20.9992233850241,-0.2007766149759007,0.5475,29.053
AAPL,2019-02-01,166.44,150.0,42,0.024,17.175,20.4024958000115,3.2274958000115,0.5875,33.2025
AAPL,2019-02-08,170.94,175.0,14,0.0243,1.305,4.358505167827302,3.0535051678273026,0.1965,13.378
AAPL,2019-08-08,199.04,195.0,8,0.0202,5.975,5.793112507264974,-0.1818874927350258,0.4385,6.4025
AAPL,2019-10-18,235.28,230.0,28,0.0166,9.95,11.621237532375044,1.671237532375045,0.3115,24.579
AAPL,2019-10-25,243.58,250.0,28,0.0166,4.25,6.148419951207637,1.8984199512076367,0.25,25.965
AAPL,2019-09-06,213.28,215.0,49,0.0196,6.8,9.868812901394342,3.0688129013943426,0.2935,44.989
AAPL,2019-11-01,248.76,255.0,42,0.0152,4.475,8.174173896020838,3.699173896020838,0.228,39.277
AAPL,2019-11-15,262.64,282.5,7,0.0157,0.08,0.17438675940118534,0.09438675940118534,0.0025,6.997
AAPL,2019-07-03,202.73,212.5,9,0.0220999999999999,0.14,0.8883469639680621,0.7483469639680621,0.056,8.8275
AAPL,2019-06-05,179.64,187.5,37,0.0235,3.175,6.078984746110234,2.9039847461102344,0.155,35.432
AAPL,2019-03-25,191.05,207.5,32,0.0246,1.145,4.93878422143667,3.79378422143667,0.0135,31.8585
AAPL,2019-09-27,219.89,240.0,49,0.018,1.865,3.999325941910877,2.134325941910877,0.06,48.2355
AAPL,2019-11-01,248.76,260.0,42,0.0152,2.545,6.427470684260428,3.8824706842604284,0.165,40.2715
AAPL,2019-08-08,199.04,205.0,22,0.0202,3.225,3.1938751606159177,-0.031124839384082392,0.1565,20.822
AAPL,2019-01-03,157.92,147.0,22,0.0241,13.25,13.630170914092185,0.38017091409218473,0.391,20.476
AAPL,2019-11-01,248.76,227.5,21,0.0152,21.25,22.148012700001587,0.898012700001587,0.6085,12.179
AAPL,2019-12-16,275.15,277.5,25,0.0157,4.575,6.442955707884116,1.867955707884116,0.244,22.357
AAPL,2019-10-18,235.28,215.0,28,0.0166,21.15,23.234300489451577,2.0843004894515786,0.5105,24.368
AAPL,2019-12-16,275.15,262.5,25,0.0157,15.35,15.58034173892671,0.23034173892671106,0.44,22.236
