ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2013-09-06,31.235,30.0,14,0.0002,1.47,1.938417136525908,0.468417136525908,0.0735,13.713
MSFT,2014-09-25,47.08,45.0,8,0.0001,2.085,2.318397197139951,0.2333971971399511,0.073,7.854
MSFT,2014-03-21,40.33,39.0,35,0.0006,1.94,2.76800862713823,0.8280086271382299,0.013,34.987
MSFT,2014-03-21,40.33,38.0,35,0.0006,2.69,3.4661126801615136,0.7761126801615137,0.0,35.0
MSFT,2014-07-23,44.83,41.0,58,0.0003,4.125,6.797173928758349,2.6721739287583492,0.003,57.986
MSFT,2013-04-02,28.61,27.0,45,0.0007,1.775,1.7767463659486973,0.0017463659486973704,0.6785,26.907
MSFT,2013-09-27,32.77,32.5,7,0.0002,0.54,0.9383723290322923,0.39837232903229225,0.047,6.8865
MSFT,2014-06-17,41.5,42.0,10,0.0004,0.26,0.4743102207875578,0.2143102207875578,0.122,9.476
MSFT,2014-09-18,46.52,46.5,22,0.0002,0.745,1.4892726658288895,0.7442726658288895,0.0015,21.976
MSFT,2014-09-25,47.08,46.0,36,0.0001,1.78,2.419834881066484,0.639834881066484,0.261,35.722
MSFT,2014-05-12,39.54,39.5,46,0.0003,0.895,1.248137693296128,0.3531376932961279,0.3405,40.695
MSFT,2014-10-02,45.9,47.0,50,0.0001,0.87,0.7930169536266407,-0.07698304637335929,0.18,47.1185
MSFT,2014-10-16,43.22,45.5,15,0.0003,0.325,0.3730063848246101,0.048006384824610115,0.0025,14.9745
MSFT,2014-04-04,41.01,42.5,7,0.0003,0.065,0.2844682215639224,0.21946822156392237,0.0115,6.9585
MSFT,2014-02-21,37.75,40.0,21,0.0005,0.065,0.36573602818562473,0.3007360281856247,0.122,20.4455
MSFT,2013-11-15,38.021,40.0,35,0.0008,0.25,1.6027153724604455,1.3527153724604455,0.012,34.815
MSFT,2014-06-10,41.27,45.0,45,0.0004,0.12,0.3840633175088626,0.2640633175088626,0.0925,44.0185
MSFT,2014-08-27,45.005,49.0,51,0.0004,0.11,0.7893517123137508,0.6793517123137508,0.073,50.779
MSFT,2014-07-09,41.78,44.0,37,0.0003,0.32,0.843607942968865,0.5236079429688649,0.082,36.5735
MSFT,2013-12-09,38.36,35.5,18,0.0007,3.05,3.4738745723375106,0.4238745723375108,0.168,17.768
MSFT,2013-01-25,27.63,28.5,7,0.0008,0.22,0.16261140477168162,-0.05738859522831838,0.005,6.9805
MSFT,2014-06-24,41.99,40.0,52,0.0003,2.445,2.839838647697208,0.39483864769720833,0.385,49.707
MSFT,2013-07-11,34.7,32.0,8,0.0004,2.725,3.3558414394141884,0.6308414394141884,0.0005,7.999
MSFT,2014-09-18,46.52,47.0,15,0.0002,0.415,0.8264879254030587,0.41148792540305873,0.1445,14.7255
