ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2018-03-14,275.214962,257.0,15,0.0176,18.23,18.638368807422463,0.4083688074224625,0.5035,14.4205
SPY,2019-09-05,297.810846,277.0,8,0.0197,20.62,20.94300596980422,0.3230059698042176,0.26,7.2455
SPY,2019-01-15,260.405414,247.0,31,0.0245,14.99,14.11395718466485,-0.8760428153351505,0.0395,30.312
SPY,2019-01-15,260.405414,247.5,24,0.0245,13.96,13.5699461522299,-0.3900538477701012,0.1035,23.1965
SPY,2019-06-03,274.665808,261.0,46,0.0235,16.23,14.685299438820174,-1.5447005611798268,0.2675,43.4535
SPY,2018-02-28,271.394485,260.0,51,0.0165,14.6,12.281745577384052,-2.318254422615947,0.6325,35.62
SPY,2018-04-05,265.675501,269.0,11,0.0172,1.6,0.38043514143399926,-1.2195648585660008,0.0435,10.9565
SPY,2019-02-06,272.708317,269.0,7,0.0242,4.29,3.954088453431139,-0.33591154656886113,0.5695,4.9225
SPY,2019-07-09,297.272645,303.0,31,0.0226,1.52,0.9207090379342792,-0.5992909620657209,0.042,30.6785
SPY,2019-07-30,300.761943,307.0,27,0.0208,0.99,0.5967492264996933,-0.3932507735003067,0.0905,26.637
SPY,2019-02-21,277.396709,277.5,43,0.0245,4.45,3.5459045023925757,-0.9040954976074245,0.3285,40.8145
SPY,2019-09-05,297.810846,293.0,50,0.0197,8.84,7.139027488649919,-1.7009725113500807,0.026,48.9735
SPY,2019-07-23,299.948654,309.0,15,0.0206,0.11,0.06638234016945918,-0.04361765983054082,0.02,14.958
SPY,2018-11-29,273.930031,291.0,8,0.0237,0.08,0.0,-0.08,0.0,8.0
SPY,2018-11-21,265.054563,286.0,21,0.0241,0.08,0.0,-0.08,0.0,21.0
SPY,2018-05-10,272.058549,287.5,29,0.019,0.11,0.020073594173919896,-0.08992640582608011,0.002,28.996
SPY,2019-05-03,294.102535,320.0,49,0.0243,0.1,0.005318053929380041,-0.09468194607061997,0.0015,48.9965
SPY,2019-08-13,292.381097,308.0,48,0.02,0.51,0.13704100391957671,-0.37295899608042327,0.0195,47.8475
SPY,2018-10-02,291.540791,293.0,20,0.0223,1.67,1.50651756181826,-0.1634824381817399,0.2035,19.0065
SPY,2018-11-07,280.964928,261.0,54,0.0237,22.37,21.257807464128682,-1.1121925358713192,0.795,51.955
SPY,2019-11-29,314.18715,311.0,42,0.0159,6.65,5.531810464142882,-1.1181895358571188,0.0045,41.9555
SPY,2019-03-07,275.078384,279.5,8,0.0245,0.41,0.11570936114324802,-0.29429063885675194,0.006,7.9865
SPY,2019-07-09,297.272645,290.0,45,0.0226,10.75,9.182605266834594,-1.567394733165406,0.459,43.363
SPY,2019-06-24,293.592924,307.5,25,0.0213,0.27,0.03135261092615286,-0.23864738907384717,0.006,24.9745
