ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2018-03-14,275.214962,257.0,15,0.0176,18.23,18.602739028317757,0.3727390283177563,0.5785,10.5805
SPY,2019-09-05,297.810846,277.0,8,0.0197,20.62,21.077814220495892,0.4578142204958908,0.0635,7.7365
SPY,2019-01-15,260.405414,247.0,31,0.0245,14.99,16.121677182846014,1.1316771828460137,0.344,29.3225
SPY,2019-01-15,260.405414,247.5,24,0.0245,13.96,14.618870426755718,0.6588704267557173,0.3965,19.7625
SPY,2019-06-03,274.665808,261.0,46,0.0235,16.23,16.796137084203654,0.5661370842036533,0.4675,37.2345
SPY,2018-02-28,271.394485,260.0,51,0.0165,14.6,13.41448039439012,-1.1855196056098798,0.5815,37.37
SPY,2018-04-05,265.675501,269.0,11,0.0172,1.6,1.8003990855173908,0.20039908551739072,0.0775,10.9225
SPY,2019-02-06,272.708317,269.0,7,0.0242,4.29,5.755555247029397,1.465555247029397,0.352,6.4745
SPY,2019-07-09,297.272645,303.0,31,0.0226,1.52,3.103925977965091,1.583925977965091,0.119,29.8835
SPY,2019-07-30,300.761943,307.0,27,0.0208,0.99,2.3475996584889427,1.3575996584889427,0.0965,26.4
SPY,2019-02-21,277.396709,277.5,43,0.0245,4.45,9.195906497609327,4.745906497609327,0.2445,39.16
SPY,2019-09-05,297.810846,293.0,50,0.0197,8.84,10.598970675282589,1.7589706752825887,0.2155,48.247
SPY,2019-07-23,299.948654,309.0,15,0.0206,0.11,0.8662310290783025,0.7562310290783025,0.005,14.965
SPY,2018-11-29,273.930031,291.0,8,0.0237,0.08,0.001918608505286835,-0.07808139149471317,0.0,8.0
SPY,2018-11-21,265.054563,286.0,21,0.0241,0.08,0.04158336689693151,-0.03841663310306849,0.006,20.9815
SPY,2018-05-10,272.058549,287.5,29,0.019,0.11,1.2433993892350594,1.1333993892350593,0.0255,28.8075
SPY,2019-05-03,294.102535,320.0,49,0.0243,0.1,1.9283998612723627,1.8283998612723626,0.0915,47.872
SPY,2019-08-13,292.381097,308.0,48,0.02,0.51,1.0264977891057183,0.5164977891057183,0.0295,47.745
SPY,2018-10-02,291.540791,293.0,20,0.0223,1.67,2.869732744232585,1.199732744232585,0.041,19.7745
SPY,2018-11-07,280.964928,261.0,54,0.0237,22.37,21.991768742398545,-0.37823125760145615,0.6115,51.568
SPY,2019-11-29,314.18715,311.0,42,0.0159,6.65,9.321913517457373,2.671913517457373,0.3185,37.21
SPY,2019-03-07,275.078384,279.5,8,0.0245,0.41,2.0151468914744206,1.6051468914744207,0.156,7.6975
SPY,2019-07-09,297.272645,290.0,45,0.0226,10.75,12.105833372293372,1.3558333722933718,0.535,43.1755
SPY,2019-06-24,293.592924,307.5,25,0.0213,0.27,2.1243624685773086,1.8543624685773086,0.055,24.47
