ticker,date,window_start,window_end,n_days,mu,sigma
AAPL,2019-01-02,2018-07-03,2019-01-02,126,-0.3259959213353225,0.3272233564334995
AAPL,2019-01-03,2018-07-05,2019-01-03,126,-0.5007051041323978,0.3578679863594386
AAPL,2019-01-04,2018-07-05,2019-01-04,127,-0.4138143724835282,0.3617430455861309
AAPL,2019-01-07,2018-07-09,2019-01-07,126,-0.4651180253563032,0.36225458895400864
AAPL,2019-01-08,2018-07-09,2019-01-08,127,-0.4239862275879769,0.36199380943027126
AAPL,2019-01-09,2018-07-10,2019-01-09,127,-0.4179351221254852,0.36227987289880825
AAPL,2019-01-10,2018-07-11,2019-01-10,127,-0.40920695531140094,0.3623438018646859
AAPL,2019-01-11,2018-07-12,2019-01-11,127,-0.40286796890304233,0.36217002869739007
AAPL,2019-01-14,2018-07-16,2019-01-14,126,-0.4727604080231744,0.36314917981242895
AAPL,2019-01-15,2018-07-16,2019-01-15,127,-0.42883698007169885,0.36304678890284486
AAPL,2019-01-16,2018-07-17,2019-01-16,127,-0.4003829127071509,0.36356920572136153
AAPL,2019-01-17,2018-07-18,2019-01-17,127,-0.39424032952865884,0.3636704970334944
AAPL,2019-01-18,2018-07-19,2019-01-18,127,-0.37114432701686795,0.3637881934506092
AAPL,2019-01-22,2018-07-23,2019-01-22,126,-0.43038697256333425,0.36622735376949284
AAPL,2019-01-23,2018-07-24,2019-01-23,126,-0.42409045618660013,0.36629939269340217
AAPL,2019-01-24,2018-07-25,2019-01-24,126,-0.4544617518675462,0.36618417138492765
AAPL,2019-01-25,2018-07-26,2019-01-25,126,-0.40803527707779175,0.3690743102895093
AAPL,2019-01-28,2018-07-30,2019-01-28,125,-0.38990898799302326,0.3700832284186074
AAPL,2019-01-29,2018-07-30,2019-01-29,126,-0.40765212071300905,0.3688133844757328
AAPL,2019-01-30,2018-07-31,2019-01-30,126,-0.26421363397755915,0.3809904442051405
AAPL,2019-01-31,2018-08-01,2019-01-31,126,-0.25386020448338087,0.3811442231588001
AAPL,2019-02-01,2018-08-02,2019-02-01,126,-0.36738015953572045,0.37199987579692917
AAPL,2019-02-04,2018-08-06,2019-02-04,125,-0.3777613087847604,0.37331441342117805
AAPL,2019-02-05,2018-08-06,2019-02-05,126,-0.3408341177050094,0.37273388734910384
AAPL,2019-02-06,2018-08-07,2019-02-06,126,-0.35050279333964607,0.3726257907089391
AAPL,2019-02-07,2018-08-08,2019-02-07,126,-0.36990723395632674,0.3732992092311744
AAPL,2019-02-08,2018-08-09,2019-02-08,126,-0.3689099625987442,0.37330564737102634
AAPL,2019-02-11,2018-08-13,2019-02-11,125,-0.39326766986161205,0.3746142361079557
AAPL,2019-02-12,2018-08-13,2019-02-12,126,-0.3729865154830998,0.3733882723105423
AAPL,2019-02-13,2018-08-14,2019-02-13,126,-0.3941854276083925,0.3732360935752074
AAPL,2019-02-14,2018-08-15,2019-02-14,126,-0.395320275500751,0.37321927620738893
AAPL,2019-02-15,2018-08-16,2019-02-15,126,-0.40444239887329303,0.3731788744371935
AAPL,2019-02-19,2018-08-20,2019-02-19,125,-0.4708361631086511,0.37276271384482385
AAPL,2019-02-20,2018-08-21,2019-02-20,125,-0.43816488038705637,0.37277289970167693
AAPL,2019-02-21,2018-08-22,2019-02-21,125,-0.4456302622645346,0.3728142719546613
AAPL,2019-02-22,2018-08-23,2019-02-22,125,-0.42333896350027234,0.37325397646351244
AAPL,2019-02-25,2018-08-27,2019-02-25,124,-0.42246583261456283,0.3748860573407214
AAPL,2019-02-26,2018-08-27,2019-02-26,125,-0.4179282639661369,0.3733850365675801
AAPL,2019-02-27,2018-08-28,2019-02-27,125,-0.4282278464646456,0.3731812835685705
AAPL,2019-02-28,2018-08-29,2019-02-28,125,-0.4643698667121387,0.3730982357031523
AAPL,2019-03-01,2018-09-04,2019-03-01,123,-0.5231442428508368,0.3749570251180778
AAPL,2019-03-04,2018-09-05,2019-03-04,123,-0.5194258659303674,0.37501878742254235
AAPL,2019-03-05,2018-09-06,2019-03-05,123,-0.5097460792373777,0.37496304321981133
AAPL,2019-03-06,2018-09-07,2019-03-06,123,-0.4872371068178402,0.3744006372656991
AAPL,2019-03-07,2018-09-10,2019-03-07,123,-0.4944920874343777,0.37455540228414075
AAPL,2019-03-08,2018-09-10,2019-03-08,124,-0.4856799602779537,0.37308092492937317
AAPL,2019-03-11,2018-09-12,2019-03-11,123,-0.4433279931729981,0.3758007470899744
AAPL,2019-03-12,2018-09-13,2019-03-12,123,-0.394834865578973,0.3759309510285666
AAPL,2019-03-13,2018-09-14,2019-03-13,123,-0.43469506336670993,0.3742396245514728
AAPL,2019-03-14,2018-09-17,2019-03-14,123,-0.38865657799770104,0.37441980276608244
AAPL,2019-03-15,2018-09-17,2019-03-15,124,-0.35925640916282386,0.373464531055664
AAPL,2019-03-18,2018-09-19,2019-03-18,123,-0.2894604867062156,0.37350700080449734
AAPL,2019-03-19,2018-09-20,2019-03-19,123,-0.306981179175653,0.37362506958780817
AAPL,2019-03-20,2018-09-21,2019-03-20,123,-0.304671101517816,0.37368335080755294
AAPL,2019-03-21,2018-09-24,2019-03-21,123,-0.20838297011447637,0.37722236112493635
AAPL,2019-03-22,2018-09-24,2019-03-22,124,-0.2492287364862482,0.3767768214003972
AAPL,2019-03-25,2018-09-26,2019-03-25,123,-0.31838018969152887,0.37785109114616977
AAPL,2019-03-26,2018-09-27,2019-03-26,123,-0.32327167695424236,0.3779544277451932
AAPL,2019-03-27,2018-09-28,2019-03-27,123,-0.3466056295977194,0.3769585984838209
AAPL,2019-03-28,2018-10-01,2019-03-28,123,-0.35107233212853656,0.37691320068784917
AAPL,2019-03-29,2018-10-01,2019-03-29,124,-0.3350385592777855,0.37554636618764076
AAPL,2019-04-01,2018-10-02,2019-04-01,124,-0.33492156595662165,0.3755489002534813
AAPL,2019-04-02,2018-10-03,2019-04-02,124,-0.32357669557156304,0.3759429955624652
AAPL,2019-04-03,2018-10-04,2019-04-03,124,-0.3342733275911312,0.3756339855486687
AAPL,2019-04-04,2018-10-05,2019-04-04,124,-0.29469204952263794,0.37491613693988
AAPL,2019-04-05,2018-10-08,2019-04-05,124,-0.24788116858643205,0.3744414832693905
AAPL,2019-04-08,2018-10-09,2019-04-08,124,-0.21143354592687266,0.375182394692922
AAPL,2019-04-09,2018-10-10,2019-04-09,124,-0.24549742768817626,0.37460676448296837
AAPL,2019-04-10,2018-10-11,2019-04-10,124,-0.137723211373647,0.3687140693957995
AAPL,2019-04-11,2018-10-12,2019-04-11,124,-0.13669097922777004,0.36869129629571407
AAPL,2019-04-12,2018-10-15,2019-04-12,124,-0.20883214519168794,0.365116865186197
AAPL,2019-04-15,2018-10-16,2019-04-15,124,-0.16122352663293782,0.3639093925753491
AAPL,2019-04-16,2018-10-17,2019-04-16,124,-0.20531820876880563,0.36248025740459555
AAPL,2019-04-17,2018-10-18,2019-04-17,124,-0.15732270739088036,0.36357279644023166
AAPL,2019-04-18,2018-10-19,2019-04-18,124,-0.10196825262921301,0.362109033919549
