ticker,date,window_start,window_end,n_days,mu,sigma
AAPL,2013-01-02,2012-07-03,2013-01-02,127,-0.1337198412143494,0.2931264994963796
AAPL,2013-01-31,2012-08-01,2013-01-31,127,-0.5644978862368901,0.3534126854653854
AAPL,2013-02-28,2012-08-29,2013-02-28,126,-0.8281942074687745,0.3601733305584105
AAPL,2013-03-31,2012-10-01,2013-03-28,124,-0.8124360561552212,0.3674146876274011
AAPL,2013-04-30,2012-10-31,2013-04-30,124,-0.6099477696416294,0.3757846224078464
AAPL,2013-05-31,2012-12-03,2013-05-31,124,-0.510166997607603,0.35495830594703376
AAPL,2013-06-30,2012-12-31,2013-06-28,125,-0.48070815412126044,0.33260463330602064
AAPL,2013-07-31,2013-02-01,2013-07-31,125,0.011871460086328868,0.25908881650087845
AAPL,2013-08-31,2013-03-01,2013-08-30,128,0.220387378071076,0.25606034374284115
AAPL,2013-09-30,2013-04-01,2013-09-30,128,0.17200755089920086,0.27132176375883277
AAPL,2013-10-31,2013-05-01,2013-10-31,129,0.3498954128458577,0.2458482583281235
AAPL,2013-11-30,2013-05-31,2013-11-29,128,0.4341960097208772,0.2400868001681636
AAPL,2013-12-31,2013-07-01,2013-12-31,128,0.7075836943678607,0.24080690812038671
AAPL,2014-01-31,2013-08-01,2014-01-31,127,0.22492672685052292,0.2633148144638705
AAPL,2014-02-28,2013-08-29,2014-02-28,126,0.16261375842572345,0.2531366547948639
AAPL,2014-03-31,2013-10-01,2014-03-31,125,0.26270692285456465,0.21567198853979616
AAPL,2014-04-30,2013-10-31,2014-04-30,125,0.25977424093698037,0.24157744534959907
AAPL,2014-05-31,2013-12-02,2014-05-30,125,0.2844859530676835,0.23779134034535268
AAPL,2014-06-30,2013-12-31,2014-06-30,126,0.34238419698175004,0.22946606998989527
AAPL,2014-07-31,2014-02-03,2014-07-31,126,0.6036269632110063,0.19234509622473586
AAPL,2014-08-31,2014-03-03,2014-08-29,128,0.6310769947345753,0.18350048858301274
AAPL,2014-09-30,2014-03-31,2014-09-30,129,0.553514645805384,0.2089626450201413
AAPL,2014-10-31,2014-05-01,2014-10-31,129,0.5045820059705332,0.180448133579298
AAPL,2014-11-30,2014-06-02,2014-11-28,127,0.5620662593695962,0.1815302535239851
AAPL,2014-12-31,2014-07-01,2014-12-31,128,0.35707344882698533,0.20292989675249118
MSFT,2013-01-02,2012-07-03,2013-01-02,127,-0.1713699371350532,0.1986180919853216
MSFT,2013-01-31,2012-08-01,2013-01-31,127,-0.1115546381174931,0.1841833888626054
MSFT,2013-02-28,2012-08-29,2013-02-28,126,-0.1610297117136401,0.18734118658010354
MSFT,2013-03-31,2012-10-01,2013-03-28,124,-0.046701168510805524,0.17735467775785552
MSFT,2013-04-30,2012-10-31,2013-04-30,124,0.35825871958295086,0.209896604265237
MSFT,2013-05-31,2012-12-03,2013-05-31,124,0.5813415831595374,0.1949710317244516
MSFT,2013-06-30,2012-12-31,2013-06-28,125,0.5610948428771122,0.2026701473670356
MSFT,2013-07-31,2013-02-01,2013-07-31,125,0.32979712711268916,0.2662105928898379
MSFT,2013-08-31,2013-03-01,2013-08-30,128,0.3888853197963833,0.28741887215918394
MSFT,2013-09-30,2013-04-01,2013-09-30,128,0.32525639597108513,0.3024691340467018
MSFT,2013-10-31,2013-05-01,2013-10-31,129,0.159151540629335,0.29050401597325737
MSFT,2013-11-30,2013-05-31,2013-11-29,128,0.19564228735819017,0.29501900206635007
MSFT,2013-12-31,2013-07-01,2013-12-31,128,0.18584492575942305,0.2908225504338072
MSFT,2014-01-31,2013-08-01,2014-01-31,127,0.3714935142494922,0.24745119195803103
