underlying,trading_date,S_t,K,expiration,dte,r,moneyness,option_price,sigma_bs
MSFT,2023-03-09 09:30:00,255.59,247.92,2023-03-11 09:30:00,2,0.050499999999999996,1.0309373991610198,7.896209543941865,0.22202642280107854
MSFT,2023-03-09 11:00:00,258.45,258.45,2023-03-11 11:00:00,2,0.050499999999999996,1.0,1.942952677581303,0.2058821976208016
MSFT,2023-03-09 11:00:00,258.45,250.7,2023-03-11 11:00:00,2,0.050499999999999996,1.0309134423613882,7.939686259641604,0.2058821976208016
MSFT,2023-03-09 11:00:00,258.45,266.2,2023-03-11 11:00:00,2,0.050499999999999996,0.9708865514650639,0.11471605296109999,0.2058821976208016
MSFT,2023-03-09 13:00:00,256.6277,248.93,2023-03-11 13:00:00,2,0.050499999999999996,1.0309231510866508,7.890010787342675,0.207726070568989
MSFT,2023-03-09 13:00:00,256.6277,264.33,2023-03-11 13:00:00,2,0.050499999999999996,0.9708610449059888,0.11839766077003944,0.207726070568989
MSFT,2023-03-10 09:30:00,251.1,251.1,2023-03-12 09:30:00,2,0.0501,1.0,2.0847646887138183,0.2280196452275017
MSFT,2023-03-10 09:30:00,251.1,243.57,2023-03-12 09:30:00,2,0.0501,1.0309151373321839,7.7679519812538445,0.2280196452275017
MSFT,2023-03-10 11:00:00,251.93,259.49,2023-03-12 11:00:00,2,0.0501,0.9708659293229026,0.3179996196887771,0.26580213436133054
MSFT,2023-03-10 13:00:00,250.05,250.05,2023-03-12 13:00:00,2,0.0501,1.0,2.5685116237741283,0.2834573080721301
MSFT,2023-03-13 11:00:00,254.07,261.69,2023-03-15 11:00:00,2,0.0487,0.9708815774389544,2.0625046967994223,0.538959078144566
MSFT,2023-03-13 13:00:00,254.935,247.29,2023-03-15 13:00:00,2,0.0487,1.0309151198997129,8.98863195649389,0.4456537216846563
MSFT,2023-03-13 15:00:00,256.78,249.08,2023-03-15 15:00:00,2,0.0487,1.030913762646539,8.71603721473204,0.39280125176292086
MSFT,2023-03-13 15:00:00,256.78,256.78,2023-03-15 15:00:00,2,0.0487,1.0,3.6337070685786443,0.39280125176292086
MSFT,2023-03-14 09:30:00,257.06,257.06,2023-03-16 09:30:00,2,0.048799999999999996,1.0,3.934918006196341,0.4253394233922865
MSFT,2023-03-14 11:00:00,258.11,258.11,2023-03-16 11:00:00,2,0.048799999999999996,1.0,3.3505815813894344,0.35986145719291407
MSFT,2023-03-14 11:00:00,258.11,250.37,2023-03-16 11:00:00,2,0.048799999999999996,1.0309142469145665,8.566642493851674,0.35986145719291407
MSFT,2023-03-14 13:00:00,259.73,259.73,2023-03-16 13:00:00,2,0.048799999999999996,1.0,2.927484864725841,0.3117300098513449
MSFT,2023-03-14 15:00:00,258.9453,258.95,2023-03-16 15:00:00,2,0.048799999999999996,0.9999818497779493,2.77537548007345,0.29641248623384253
MSFT,2023-03-15 09:30:00,260.0753,252.27,2023-03-17 09:30:00,2,0.0475,1.0309402624172515,8.012071805607093,0.21519861340131097
MSFT,2023-03-15 09:30:00,260.0753,267.88,2023-03-17 09:30:00,2,0.0475,0.9708649395251606,0.14078541835163705,0.21519861340131097
MSFT,2023-03-15 11:00:00,264.37,256.44,2023-03-17 11:00:00,2,0.0475,1.0309234128841054,8.385878493559488,0.28481976651869817
MSFT,2023-03-15 13:00:00,261.989,269.85,2023-03-17 13:00:00,2,0.0475,0.9708690012970167,0.558250791455805,0.3118438608964696
MSFT,2023-03-15 15:00:00,266.13,266.13,2023-03-17 15:00:00,2,0.0475,1.0,3.1073295126780067,0.3232670281673379
