ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2013-03-27,461.136,440.0,16,0.0009,23.6,29.169480041711633,5.569480041711632,0.391,13.6285
AAPL,2014-08-01,95.6,90.0,14,0.0003,5.875,5.902684679406974,0.027684679406974055,0.7655,10.1505
AAPL,2014-02-10,519.68,497.5,25,0.0007,27.0,36.02301310454533,9.023013104545328,0.5725,19.3135
AAPL,2014-02-03,500.6,470.0,31,0.0005,31.9,44.01035633624307,12.110356336243072,0.5675,23.188
AAPL,2014-06-19,92.18,86.43,57,0.0002,7.1,7.024132864399755,-0.0758671356002445,0.718,35.794
AAPL,2013-03-20,454.49,425.0,58,0.0007,40.375,45.156692836940216,4.781692836940216,0.5845,49.444
AAPL,2013-04-11,435.69,445.0,15,0.0007,11.5,7.255597303948618,-4.244402696051382,0.1295,14.608
AAPL,2014-03-11,530.92,540.0,17,0.0005,4.3,7.8479375598708465,3.5479375598708467,0.1325,16.0445
AAPL,2014-07-11,95.035,94.0,21,0.0002,3.3,3.135330019468797,-0.16466998053120285,0.287,20.2605
AAPL,2014-07-25,97.03,95.0,28,0.0003,3.04,4.081660735527328,1.0416607355273282,0.363,24.942
AAPL,2014-04-08,523.47,517.5,45,0.0003,21.1,26.47486381942317,5.374863819423169,0.363,40.595
AAPL,2014-08-15,97.5,99.0,42,0.0003,2.42,3.0894177625002848,0.6694177625002848,0.1955,40.528
AAPL,2014-09-08,98.97,103.0,18,0.0002,1.37,1.1326971160380916,-0.23730288396190846,0.1165,17.351
AAPL,2014-01-03,553.13,605.0,14,0.0007,0.875,1.6696754550830577,0.7946754550830577,0.0325,13.9085
AAPL,2013-12-26,567.67,610.0,22,0.0007,2.72,2.795169458003428,0.07516945800342789,0.0415,21.7605
AAPL,2013-06-28,393.78,420.0,35,0.0004,6.15,6.583077178641912,0.43307717864191186,0.0785,34.2125
AAPL,2014-06-05,644.82,685.0,43,0.0004,6.8,10.646574210827188,3.846574210827188,0.1025,41.7015
AAPL,2014-08-08,94.48,98.0,49,0.0003,2.295,2.342826653147207,0.04782665314720713,0.1885,46.011
AAPL,2014-02-03,500.6,522.5,25,0.0005,4.05,13.094860249557929,9.044860249557928,0.152,23.9565
AAPL,2014-02-18,543.99,580.0,24,0.0005,1.98,10.78152018480821,8.80152018480821,0.1915,23.0895
AAPL,2014-02-18,543.99,515.0,10,0.0005,29.25,37.076545575517514,7.826545575517514,0.245,8.815
AAPL,2014-01-17,554.25,575.0,35,0.0005,11.4,16.147381166511302,4.7473811665113015,0.159,33.9735
AAPL,2013-12-04,566.322,530.0,23,0.0006,39.125,41.696941291083654,2.571941291083654,0.554,18.366
AAPL,2014-05-21,604.71,595.0,30,0.0004,18.675,24.627308632817034,5.952308632817033,0.3325,27.3145
