ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2013-03-27,461.136,440.0,16,0.0009,23.6,28.0663864868668,4.466386486866799,0.371,14.1295
AAPL,2014-08-01,95.6,90.0,14,0.0003,5.875,6.450882905235905,0.5758829052359049,0.0785,13.585
AAPL,2014-02-10,519.68,497.5,25,0.0007,27.0,35.296505089581515,8.296505089581515,0.3405,21.7
AAPL,2014-02-03,500.6,470.0,31,0.0005,31.9,44.83452118588919,12.934521185889189,0.2705,29.2865
AAPL,2014-06-19,92.18,86.43,57,0.0002,7.1,10.484583934034134,3.3845839340341346,0.397,51.1375
AAPL,2013-03-20,454.49,425.0,58,0.0007,40.375,48.79702246868649,8.422022468686492,0.375,49.5405
AAPL,2013-04-11,435.69,445.0,15,0.0007,11.5,9.540760380131832,-1.9592396198681676,0.047,14.713
AAPL,2014-03-11,530.92,540.0,17,0.0005,4.3,13.608761695100542,9.308761695100543,0.1295,16.448
AAPL,2014-07-11,95.035,94.0,21,0.0002,3.3,4.415974029616996,1.1159740296169964,0.228,19.9265
AAPL,2014-07-25,97.03,95.0,28,0.0003,3.04,5.44274432179963,2.40274432179963,0.291,26.0805
AAPL,2014-04-08,523.47,517.5,45,0.0003,21.1,38.261585903392785,17.161585903392783,0.2615,42.456
AAPL,2014-08-15,97.5,99.0,42,0.0003,2.42,5.273948842350785,2.8539488423507855,0.2645,38.2525
AAPL,2014-09-08,98.97,103.0,18,0.0002,1.37,1.8444056567949052,0.4744056567949051,0.125,17.186
AAPL,2014-01-03,553.13,605.0,14,0.0007,0.875,3.121392617075223,2.246392617075223,0.0215,13.8545
AAPL,2013-12-26,567.67,610.0,22,0.0007,2.72,8.326970338077704,5.606970338077703,0.07,21.69
AAPL,2013-06-28,393.78,420.0,35,0.0004,6.15,12.367946101367233,6.217946101367232,0.1395,34.0145
AAPL,2014-06-05,644.82,685.0,43,0.0004,6.8,26.125501193034353,19.325501193034352,0.082,41.478
AAPL,2014-08-08,94.48,98.0,49,0.0003,2.295,4.8659674765842595,2.5709674765842596,0.242,46.121
AAPL,2014-02-03,500.6,522.5,25,0.0005,4.05,12.187461519965781,8.137461519965782,0.145,23.5165
AAPL,2014-02-18,543.99,580.0,24,0.0005,1.98,10.425413803247295,8.445413803247295,0.092,23.5935
AAPL,2014-02-18,543.99,515.0,10,0.0005,29.25,32.37831510760431,3.1283151076043083,0.544,7.876
AAPL,2014-01-17,554.25,575.0,35,0.0005,11.4,21.78131172776718,10.381311727767178,0.142,33.526
AAPL,2013-12-04,566.322,530.0,23,0.0006,39.125,45.88720040344014,6.76220040344014,0.3785,20.294
AAPL,2014-05-21,604.71,595.0,30,0.0004,18.675,33.93396990931577,15.25896990931577,0.2745,26.821
