ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2019-01-17,154.94,147.0,15,0.0242,9.8,13.032289889451908,3.2322898894519074,0.3305,13.5495
AAPL,2019-10-25,243.58,220.0,7,0.0166,24.375,25.702456903751944,1.3274569037519441,0.465,5.875
AAPL,2019-06-26,195.57,180.0,37,0.0215,18.375,24.17151279729828,5.796512797298281,0.4955,31.8895
AAPL,2019-06-26,195.57,182.5,30,0.0215,15.125,21.945464342083504,6.820464342083504,0.5015,25.92
AAPL,2019-10-11,230.09,212.5,42,0.0168,21.2,27.651092386820622,6.451092386820623,0.4665,35.118
AAPL,2019-02-01,166.44,150.0,42,0.024,17.175,23.614362449636165,6.439362449636164,0.548,34.147
AAPL,2019-02-08,170.94,175.0,14,0.0243,1.305,6.206972560869099,4.901972560869099,0.167,13.0335
AAPL,2019-08-08,199.04,195.0,8,0.0202,5.975,9.771213837384924,3.796213837384924,0.307,7.345
AAPL,2019-10-18,235.28,230.0,28,0.0166,9.95,18.1556897142175,8.205689714217502,0.368,25.0965
AAPL,2019-10-25,243.58,250.0,28,0.0166,4.25,12.115054587607572,7.865054587607572,0.2975,26.0475
AAPL,2019-09-06,213.28,215.0,49,0.0196,6.8,15.57289602000905,8.77289602000905,0.4095,41.669
AAPL,2019-11-01,248.76,255.0,42,0.0152,4.475,14.595558160162343,10.120558160162343,0.3415,37.157
AAPL,2019-11-15,262.64,282.5,7,0.0157,0.08,2.2895135284234684,2.2095135284234684,0.074,6.8725
AAPL,2019-07-03,202.73,212.5,9,0.0220999999999999,0.14,3.737679351378893,3.597679351378893,0.1005,8.7255
AAPL,2019-06-05,179.64,187.5,37,0.0235,3.175,8.301772890238626,5.126772890238626,0.248,33.5185
AAPL,2019-03-25,191.05,207.5,32,0.0246,1.145,5.854806832547788,4.7098068325477875,0.201,31.051
AAPL,2019-09-27,219.89,240.0,49,0.018,1.865,8.073432570036132,6.208432570036132,0.2215,45.186
AAPL,2019-11-01,248.76,260.0,42,0.0152,2.545,12.274707842384963,9.729707842384963,0.2175,38.2205
AAPL,2019-08-08,199.04,205.0,22,0.0202,3.225,8.639922124619138,5.414922124619139,0.244,21.529
AAPL,2019-01-03,157.92,147.0,22,0.0241,13.25,15.844780858751776,2.5947808587517756,0.484,16.3255
AAPL,2019-11-01,248.76,227.5,21,0.0152,21.25,27.515514507173208,6.265514507173208,0.5315,16.175
AAPL,2019-12-16,275.15,277.5,25,0.0157,4.575,16.29814861046099,11.723148610460992,0.294,22.7785
AAPL,2019-10-18,235.28,215.0,28,0.0166,21.15,28.3201978159338,7.1701978159338005,0.5225,22.888
AAPL,2019-12-16,275.15,262.5,25,0.0157,15.35,24.072730038556664,8.722730038556664,0.3925,22.273
