ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2008-03-07,27.57,25.0,13,0.0144999999999999,2.685,2.6708566842052908,-0.014143315794709288,0.3305,11.878
MSFT,2009-08-12,23.13,22.0,9,0.0017,1.2,1.2203986920470435,0.020398692047043587,0.5405,6.163
MSFT,2008-10-24,22.32,21.0,28,0.0089,2.615,1.5935792150598196,-1.0214207849401806,0.587,18.97
MSFT,2009-12-18,29.6,27.5,28,0.0005,2.28,2.4073145243709146,0.12731452437091484,0.6,20.4235
MSFT,2009-06-30,23.86,22.0,52,0.0019,2.37,2.247775281968459,-0.122224718031541,0.6145,35.4325
MSFT,2008-02-29,27.93,26.0,49,0.0185,2.495,2.4752358385902262,-0.019764161409773884,0.478,37.528
MSFT,2008-03-07,27.57,27.5,13,0.0144999999999999,0.745,0.7139924802306948,-0.03100751976930516,0.262,12.3025
MSFT,2008-12-30,18.96,19.0,17,0.001,0.79,0.4856783649533304,-0.30432163504666965,0.2445,15.6785
MSFT,2009-07-29,23.47,23.0,23,0.0019,0.955,1.0076688529607272,0.05266885296072721,0.366,20.8835
MSFT,2009-08-19,23.58,23.0,30,0.0017,1.12,1.175698110233215,0.055698110233214804,0.4525,25.7435
MSFT,2009-02-20,17.91,17.5,56,0.0027,1.54,1.1359747951526311,-0.4040252048473689,0.335,49.2005
MSFT,2009-08-26,24.64,24.0,51,0.0015,1.37,1.496139859645126,0.12613985964512597,0.416,43.8165
MSFT,2009-08-05,23.77,25.0,16,0.0018,0.145,0.20592775790234485,0.060927757902344865,0.086,15.8115
MSFT,2008-10-02,26.48,29.0,15,0.0063,0.2,0.06856509423058241,-0.1314349057694176,0.0305,14.8795
MSFT,2008-09-11,26.44,29.0,36,0.0161,0.24,0.2781754779971583,0.038175477997158314,0.083,35.4525
MSFT,2008-05-27,28.05,29.0,24,0.0189,0.445,0.5444514479000854,0.09945144790008537,0.169,23.5215
MSFT,2009-05-18,20.22,21.0,60,0.0019,0.66,0.7669781338328506,0.1069781338328506,0.1485,57.8775
MSFT,2009-08-26,24.64,26.0,51,0.0015,0.44,0.6427708586443158,0.20277085864431582,0.2405,49.463
MSFT,2009-10-15,25.96,28.0,36,0.0007,0.22,0.3359981789548659,0.11599817895486589,0.019,35.6445
MSFT,2008-10-17,24.19,25.0,35,0.0083,1.61,0.644971102393945,-0.9650288976060551,0.1945,33.685
MSFT,2009-09-02,24.0,24.0,44,0.0014,0.985,1.0269327916485609,0.041932791648560896,0.276,40.947
MSFT,2009-10-29,28.02,30.0,50,0.0006,0.36,0.5805957515802099,0.22059575158020994,0.1085,49.0155
MSFT,2009-04-13,19.67,20.0,32,0.0018,0.965,0.6253849806675649,-0.3396150193324351,0.1685,29.8525
MSFT,2008-07-16,26.15,24.0,30,0.0137,2.75,2.3549895180612634,-0.39501048193873656,0.611,22.7745
