ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2013-09-06,31.235,30.0,14,0.0002,1.47,2.2523842462846524,0.7823842462846524,0.3285,11.8705
MSFT,2014-09-25,47.08,45.0,8,0.0001,2.085,2.149392656935192,0.06439265693519225,0.403,5.9815
MSFT,2014-03-21,40.33,39.0,35,0.0006,1.94,2.5369788865282588,0.5969788865282588,0.337,32.3435
MSFT,2014-03-21,40.33,38.0,35,0.0006,2.69,3.0743873184269432,0.3843873184269433,0.452,28.95
MSFT,2014-07-23,44.83,41.0,58,0.0003,4.125,4.370991949819712,0.24599194981971184,0.349,46.6035
MSFT,2013-04-02,28.61,27.0,45,0.0007,1.775,1.6800720694181948,-0.09492793058180515,0.518,29.451
MSFT,2013-09-27,32.77,32.5,7,0.0002,0.54,1.0207352459012016,0.48073524590120154,0.0355,6.892
MSFT,2014-06-17,41.5,42.0,10,0.0004,0.26,0.4825720822726598,0.2225720822726598,0.0695,9.9115
MSFT,2014-09-18,46.52,46.5,22,0.0002,0.745,0.9686063130719125,0.22360631307191248,0.282,19.743
MSFT,2014-09-25,47.08,46.0,36,0.0001,1.78,1.7658231719544257,-0.014176828045574297,0.6355,29.919
MSFT,2014-05-12,39.54,39.5,46,0.0003,0.895,1.4997635680555632,0.6047635680555632,0.177,43.625
MSFT,2014-10-02,45.9,47.0,50,0.0001,0.87,1.0568812932995106,0.18688129329951064,0.255,47.097
MSFT,2014-10-16,43.22,45.5,15,0.0003,0.325,0.15241554300686794,-0.17258445699313207,0.0495,14.7545
MSFT,2014-04-04,41.01,42.5,7,0.0003,0.065,0.23126719167828894,0.16626719167828893,0.0635,6.877
MSFT,2014-02-21,37.75,40.0,21,0.0005,0.065,0.7777047034962166,0.7127047034962166,0.079,20.416
MSFT,2013-11-15,38.021,40.0,35,0.0008,0.25,1.5922923055888336,1.3422923055888336,0.128,33.878
MSFT,2014-06-10,41.27,45.0,45,0.0004,0.12,0.38716153126777186,0.26716153126777187,0.074,44.5195
MSFT,2014-08-27,45.005,49.0,51,0.0004,0.11,0.3247483908676917,0.2147483908676917,0.099,50.0415
MSFT,2014-07-09,41.78,44.0,37,0.0003,0.32,0.5827078577233346,0.26270785772333455,0.1615,36.055
MSFT,2013-12-09,38.36,35.5,18,0.0007,3.05,3.471925466163528,0.4219254661635281,0.2425,16.012
MSFT,2013-01-25,27.63,28.5,7,0.0008,0.22,0.0732359258991562,-0.1467640741008438,0.0345,6.93
MSFT,2014-06-24,41.99,40.0,52,0.0003,2.445,2.8244648441728493,0.3794648441728494,0.42,43.1135
MSFT,2013-07-11,34.7,32.0,8,0.0004,2.725,2.749059483024586,0.024059483024585937,0.0735,7.9265
MSFT,2014-09-18,46.52,47.0,15,0.0002,0.415,0.5401085607536786,0.12510856075367865,0.18,14.264
