ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2013-09-06,31.235,30.0,14,0.0002,1.47,1.455677683137127,-0.014322316862872997,0.2465,13.2985
MSFT,2014-09-25,47.08,45.0,8,0.0001,2.085,2.1727222919557545,0.08772229195575454,0.4985,6.1595
MSFT,2014-03-21,40.33,39.0,35,0.0006,1.94,1.989031519552229,0.049031519552229064,0.3505,28.7185
MSFT,2014-03-21,40.33,38.0,35,0.0006,2.69,2.809048737148698,0.1190487371486979,0.541,29.8115
MSFT,2014-07-23,44.83,41.0,58,0.0003,4.125,4.394971162484354,0.26997116248435393,0.1995,50.2875
MSFT,2013-04-02,28.61,27.0,45,0.0007,1.775,2.006076755004415,0.23107675500441527,0.5685,34.489
MSFT,2013-09-27,32.77,32.5,7,0.0002,0.54,0.5987727692391388,0.05877276923913877,0.051,6.949
MSFT,2014-06-17,41.5,42.0,10,0.0004,0.26,0.41737546152540217,0.15737546152540216,0.1345,9.624
MSFT,2014-09-18,46.52,46.5,22,0.0002,0.745,1.1239544891104833,0.37895448911048335,0.305,20.2555
MSFT,2014-09-25,47.08,46.0,36,0.0001,1.78,2.037089458837975,0.25708945883797507,0.4495,29.8865
MSFT,2014-05-12,39.54,39.5,46,0.0003,0.895,1.4753653363258614,0.5803653363258614,0.3235,42.1165
MSFT,2014-10-02,45.9,47.0,50,0.0001,0.87,1.24600468226681,0.37600468226681005,0.172,48.108
MSFT,2014-10-16,43.22,45.5,15,0.0003,0.325,0.1654530322557251,-0.1595469677442749,0.0575,14.921
MSFT,2014-04-04,41.01,42.5,7,0.0003,0.065,0.10494559373493967,0.039945593734939666,0.048,6.895
MSFT,2014-02-21,37.75,40.0,21,0.0005,0.065,0.18736741545408345,0.12236741545408344,0.0695,20.8305
MSFT,2013-11-15,38.021,40.0,35,0.0008,0.25,0.46280382974734346,0.21280382974734346,0.0375,34.934
MSFT,2014-06-10,41.27,45.0,45,0.0004,0.12,0.33026697597064414,0.21026697597064414,0.0685,44.473
MSFT,2014-08-27,45.005,49.0,51,0.0004,0.11,0.41871118819270553,0.30871118819270554,0.0635,50.7265
MSFT,2014-07-09,41.78,44.0,37,0.0003,0.32,0.494429455123666,0.17442945512366598,0.0695,36.725
MSFT,2013-12-09,38.36,35.5,18,0.0007,3.05,2.9751718496167805,-0.07482815038321933,0.1925,17.7405
MSFT,2013-01-25,27.63,28.5,7,0.0008,0.22,0.0839283706131651,-0.1360716293868349,0.037,6.9215
MSFT,2014-06-24,41.99,40.0,52,0.0003,2.445,2.762399521801745,0.31739952180174535,0.34,51.3725
MSFT,2013-07-11,34.7,32.0,8,0.0004,2.725,2.737845077033053,0.01284507703305282,0.699,4.8485
MSFT,2014-09-18,46.52,47.0,15,0.0002,0.415,0.6661416682359528,0.2511416682359528,0.1005,14.6425
