ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2013-09-06,31.235,30.0,14,0.0002,1.47,1.4531198561794008,-0.016880143820599214,0.5375,11.0135
MSFT,2014-09-25,47.08,45.0,8,0.0001,2.085,2.20702688492741,0.12202688492740998,0.6375,5.9445
MSFT,2014-03-21,40.33,39.0,35,0.0006,1.94,2.1629667049116406,0.2229667049116406,0.4365,30.5605
MSFT,2014-03-21,40.33,38.0,35,0.0006,2.69,2.940538209015436,0.2505382090154362,0.5405,28.8515
MSFT,2014-07-23,44.83,41.0,58,0.0003,4.125,4.408095355935788,0.28309535593578783,0.643,40.2475
MSFT,2013-04-02,28.61,27.0,45,0.0007,1.775,2.1668342226507646,0.39183422265076473,0.409,40.574
MSFT,2013-09-27,32.77,32.5,7,0.0002,0.54,0.6010635297296751,0.0610635297296751,0.2975,6.327
MSFT,2014-06-17,41.5,42.0,10,0.0004,0.26,0.47480644143882367,0.21480644143882366,0.17,9.4475
MSFT,2014-09-18,46.52,46.5,22,0.0002,0.745,1.2749349069935378,0.5299349069935378,0.1905,21.058
MSFT,2014-09-25,47.08,46.0,36,0.0001,1.78,2.2225144308159552,0.4425144308159552,0.3525,31.48
MSFT,2014-05-12,39.54,39.5,46,0.0003,0.895,1.6451650196655687,0.7501650196655687,0.346,43.847
MSFT,2014-10-02,45.9,47.0,50,0.0001,0.87,1.417209240043812,0.5472092400438121,0.1965,46.535
MSFT,2014-10-16,43.22,45.5,15,0.0003,0.325,0.1940464809182288,-0.13095351908177122,0.075,14.764
MSFT,2014-04-04,41.01,42.5,7,0.0003,0.065,0.11317403948102635,0.048174039481026346,0.0135,6.9695
MSFT,2014-02-21,37.75,40.0,21,0.0005,0.065,0.20902620119329338,0.14402620119329337,0.0965,20.5025
MSFT,2013-11-15,38.021,40.0,35,0.0008,0.25,0.6162282932887213,0.3662282932887213,0.1035,33.929
MSFT,2014-06-10,41.27,45.0,45,0.0004,0.12,0.4877788655475042,0.3677788655475042,0.1015,44.3405
MSFT,2014-08-27,45.005,49.0,51,0.0004,0.11,0.5683198240831887,0.4583198240831887,0.0695,49.809
MSFT,2014-07-09,41.78,44.0,37,0.0003,0.32,0.6718861066178905,0.3518861066178905,0.11,35.6625
MSFT,2013-12-09,38.36,35.5,18,0.0007,3.05,3.028780409789291,-0.021219590210708628,0.7495,11.6325
MSFT,2013-01-25,27.63,28.5,7,0.0008,0.22,0.09324516018133144,-0.12675483981866856,0.009,6.9675
MSFT,2014-06-24,41.99,40.0,52,0.0003,2.445,2.97029218834852,0.5252921883485202,0.415,42.6715
MSFT,2013-07-11,34.7,32.0,8,0.0004,2.725,2.7545717975095503,0.02957179750955019,0.9375,4.59
MSFT,2014-09-18,46.52,47.0,15,0.0002,0.415,0.7433238998578737,0.32832389985787375,0.2185,14.2815
