ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2013-09-06,31.235,30.0,14,0.0002,1.47,1.556136728756903,0.08613672875690304,0.0825,13.7205
MSFT,2014-09-25,47.08,45.0,8,0.0001,2.085,2.1332798548179337,0.04827985481793373,0.6805,4.4225
MSFT,2014-03-21,40.33,39.0,35,0.0006,1.94,2.038462833908299,0.09846283390829891,0.3605,29.6085
MSFT,2014-03-21,40.33,38.0,35,0.0006,2.69,2.7805256106155167,0.09052561061551678,0.391,28.402
MSFT,2014-07-23,44.83,41.0,58,0.0003,4.125,4.209710353661692,0.08471035366169222,0.567,38.848
MSFT,2013-04-02,28.61,27.0,45,0.0007,1.775,1.8576401138846321,0.08264011388463222,0.4195,39.8215
MSFT,2013-09-27,32.77,32.5,7,0.0002,0.54,0.5821185963452364,0.0421185963452364,0.014,6.931
MSFT,2014-06-17,41.5,42.0,10,0.0004,0.26,0.46341088483264137,0.20341088483264136,0.0875,9.8825
MSFT,2014-09-18,46.52,46.5,22,0.0002,0.745,0.9551586124845682,0.21015861248456824,0.235,20.0455
MSFT,2014-09-25,47.08,46.0,36,0.0001,1.78,1.7978136096359496,0.01781360963594958,0.516,30.349
MSFT,2014-05-12,39.54,39.5,46,0.0003,0.895,1.4658566664471318,0.5708566664471317,0.2495,41.7115
MSFT,2014-10-02,45.9,47.0,50,0.0001,0.87,0.8080486274137682,-0.061951372586231845,0.2665,48.415
MSFT,2014-10-16,43.22,45.5,15,0.0003,0.325,0.07782851270012843,-0.2471714872998716,0.037,14.874
MSFT,2014-04-04,41.01,42.5,7,0.0003,0.065,0.1528496047450215,0.08784960474502149,0.0535,6.8875
MSFT,2014-02-21,37.75,40.0,21,0.0005,0.065,0.3996860843705726,0.3346860843705726,0.096,20.84
MSFT,2013-11-15,38.021,40.0,35,0.0008,0.25,0.8867107612480918,0.6367107612480918,0.102,34.0155
MSFT,2014-06-10,41.27,45.0,45,0.0004,0.12,0.34362482220503765,0.22362482220503765,0.064,44.603
MSFT,2014-08-27,45.005,49.0,51,0.0004,0.11,0.2987881969691996,0.18878819696919963,0.065,49.7675
MSFT,2014-07-09,41.78,44.0,37,0.0003,0.32,0.4956157519283305,0.1756157519283305,0.11,36.2295
MSFT,2013-12-09,38.36,35.5,18,0.0007,3.05,3.1378811555312844,0.08788115553128462,0.1655,16.816
MSFT,2013-01-25,27.63,28.5,7,0.0008,0.22,0.08374393193879395,-0.13625606806120605,0.0375,6.92
MSFT,2014-06-24,41.99,40.0,52,0.0003,2.445,2.6958501728139646,0.2508501728139647,0.4885,42.302
MSFT,2013-07-11,34.7,32.0,8,0.0004,2.725,2.7200449191415266,-0.004955080858473515,0.281,6.9555
MSFT,2014-09-18,46.52,47.0,15,0.0002,0.415,0.5689425598901651,0.1539425598901651,0.2,14.424
