ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2019-01-24,106.71,98.0,15,0.0237,9.15,9.512686170779643,0.36268617077964294,0.4385,14.2095
MSFT,2019-10-10,138.24,134.0,15,0.0168,6.325,5.464246828481929,-0.8607531715180707,0.367,12.9915
MSFT,2019-06-25,137.78,132.0,31,0.0212,7.725,8.387295455236234,0.6622954552362348,0.355,24.138
MSFT,2019-06-25,137.78,128.0,31,0.0212,11.025,11.826472252993163,0.8014722529931628,0.5645,27.614
MSFT,2019-09-12,136.12,130.0,43,0.0195,8.9,8.387697450726861,-0.512302549273139,0.458,33.42
MSFT,2019-01-16,105.01,100.0,58,0.0243,7.6,8.888210731719228,1.2882107317192286,0.419,46.814
MSFT,2019-02-07,106.03,105.0,8,0.0242,2.02,2.997850469055943,0.9778504690559431,0.299,7.439
MSFT,2019-07-17,137.08,140.0,16,0.0214,1.82,1.8557450858652713,0.03574508586527125,0.1005,15.453
MSFT,2019-09-26,139.36,141.0,29,0.0183,3.35,3.235314113838295,-0.11468588616170505,0.2335,26.2985
MSFT,2019-10-03,134.65,137.0,29,0.017,3.8,2.8858399119262392,-0.9141600880737606,0.236,26.9235
MSFT,2019-06-18,132.85,130.0,59,0.0222,6.825,8.718718075009168,1.8937180750091676,0.385,51.9055
MSFT,2019-10-10,138.24,141.0,43,0.0168,3.5,3.7179523399601413,0.2179523399601413,0.112,41.21
MSFT,2019-10-03,134.65,147.0,8,0.017,0.06,0.016831154102570137,-0.043168845897429864,0.007,7.992
MSFT,2019-06-18,132.85,142.0,17,0.0222,0.14,0.8751153358553144,0.7351153358553144,0.0265,16.7955
MSFT,2019-05-20,128.07,138.0,38,0.0239,0.53,2.235019482607112,1.705019482607112,0.032,37.84
MSFT,2019-03-08,110.39,115.0,21,0.0246,0.5,2.322904851369062,1.8229048513690622,0.065,20.503
MSFT,2019-07-17,137.08,150.0,44,0.0214,0.455,1.3209000715736219,0.8659000715736218,0.0945,43.3275
MSFT,2019-09-19,138.52,146.0,43,0.0192999999999999,1.795,2.123983111541652,0.32898311154165194,0.103,41.8715
MSFT,2019-01-02,101.57,111.0,30,0.0242,1.18,1.1434825001652345,-0.03651749983476549,0.103,29.4335
MSFT,2019-11-07,144.06,138.0,8,0.0156,6.3,6.551139079366114,0.2511390793661139,0.5905,6.096
MSFT,2019-04-22,123.37,116.0,10,0.0243999999999999,7.925,7.907651176511191,-0.01734882348880884,0.618,7.039
MSFT,2019-02-14,106.81,113.0,22,0.0243,0.23,1.538220943430822,1.308220943430822,0.147,20.987
MSFT,2019-03-01,112.03,120.0,35,0.0243999999999999,0.4,2.6413003497054817,2.2413003497054818,0.094,34.5925
MSFT,2019-12-20,155.71,148.0,14,0.0158,7.95,8.20184537148392,0.2518453714839195,0.6905,8.7975
