ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2019-01-24,106.71,98.0,15,0.0237,9.15,10.546612458199332,1.396612458199332,0.2585,13.833
MSFT,2019-10-10,138.24,134.0,15,0.0168,6.325,6.10639923812816,-0.21860076187183974,0.4325,12.83
MSFT,2019-06-25,137.78,132.0,31,0.0212,7.725,9.02273952455325,1.2977395245532506,0.352,27.827
MSFT,2019-06-25,137.78,128.0,31,0.0212,11.025,12.318694665469796,1.2936946654697952,0.6405,25.786
MSFT,2019-09-12,136.12,130.0,43,0.0195,8.9,9.795124748420568,0.8951247484205673,0.528,36.7275
MSFT,2019-01-16,105.01,100.0,58,0.0243,7.6,11.151310257419562,3.551310257419562,0.4175,52.058
MSFT,2019-02-07,106.03,105.0,8,0.0242,2.02,3.7148979948374667,1.6948979948374667,0.32,7.007
MSFT,2019-07-17,137.08,140.0,16,0.0214,1.82,1.6297587790437538,-0.1902412209562463,0.13,15.583
MSFT,2019-09-26,139.36,141.0,29,0.0183,3.35,4.214796191199181,0.8647961911991806,0.298,27.5005
MSFT,2019-10-03,134.65,137.0,29,0.017,3.8,3.48149910125295,-0.3185008987470499,0.2255,27.206
MSFT,2019-06-18,132.85,130.0,59,0.0222,6.825,8.243607152652391,1.418607152652391,0.3155,54.7355
MSFT,2019-10-10,138.24,141.0,43,0.0168,3.5,4.916873398347641,1.416873398347641,0.249,40.9815
MSFT,2019-10-03,134.65,147.0,8,0.017,0.06,0.008564132810071762,-0.051435867189928236,0.002,7.998
MSFT,2019-06-18,132.85,142.0,17,0.0222,0.14,0.7151754510024219,0.5751754510024218,0.0625,16.86
MSFT,2019-05-20,128.07,138.0,38,0.0239,0.53,0.6070427260717445,0.07704272607174445,0.059,37.554
MSFT,2019-03-08,110.39,115.0,21,0.0246,0.5,0.8162569867530493,0.31625698675304925,0.102,20.725
MSFT,2019-07-17,137.08,150.0,44,0.0214,0.455,1.0990092995952814,0.6440092995952813,0.067,43.4095
MSFT,2019-09-19,138.52,146.0,43,0.0192999999999999,1.795,2.7269539274785113,0.9319539274785114,0.125,41.786
MSFT,2019-01-02,101.57,111.0,30,0.0242,1.18,1.8797293914228266,0.6997293914228266,0.19,29.115
MSFT,2019-11-07,144.06,138.0,8,0.0156,6.3,6.586268254848954,0.28626825484895413,0.567,6.006
MSFT,2019-04-22,123.37,116.0,10,0.0243999999999999,7.925,7.903128949528588,-0.021871050471411912,0.415,8.9755
MSFT,2019-02-14,106.81,113.0,22,0.0243,0.23,1.294798593618901,1.064798593618901,0.162,20.249
MSFT,2019-03-01,112.03,120.0,35,0.0243999999999999,0.4,0.7511324096561823,0.3511324096561823,0.078,34.557
MSFT,2019-12-20,155.71,148.0,14,0.0158,7.95,8.544257378570931,0.5942573785709309,0.6755,11.165
