ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2013-03-27,156.111371,143.0,16,0.0009,13.18,13.347358868062555,0.1673588680625553,0.7955,9.861
SPY,2014-08-29,200.72639,183.5,7,0.0003,17.12,17.37245696131517,0.25245696131516837,0.5985,5.173
SPY,2013-12-04,179.743996,170.0,27,0.0006,10.0,10.12291724056986,0.1229172405698602,0.6155,18.276
SPY,2013-11-26,180.62625,173.0,25,0.0007,8.04,8.692794735327709,0.6527947353277099,0.672,18.9255
SPY,2014-05-29,192.382646,186.0,51,0.0004,7.2,8.628583060055435,1.428583060055435,0.5685,40.6265
SPY,2013-03-06,154.505039,149.0,45,0.001,6.04,6.6163494137799415,0.5763494137799414,0.521,35.1665
SPY,2013-04-25,158.493864,163.0,15,0.0005,0.12,0.2859647367116718,0.16596473671167178,0.049,14.774
SPY,2014-04-01,188.316685,183.0,10,0.0004,5.56,5.908977787640268,0.3489777876402682,0.541,8.1165
SPY,2014-08-29,200.72639,199.0,22,0.0003,2.68,3.50494499144819,0.8249449914481897,0.4665,19.407
SPY,2014-09-15,198.977082,204.0,25,0.0002,0.21,0.1835993747229521,-0.026400625277047896,0.018,24.934
SPY,2014-05-07,187.886821,186.0,45,0.0003,4.3,4.944999198793192,0.644999198793192,0.4875,37.7775
SPY,2014-08-15,195.727915,199.0,46,0.0003,1.1,2.2826415164323515,1.1826415164323514,0.2035,44.6705
SPY,2014-11-17,204.377756,212.0,18,0.0003,0.07,0.4044502388565685,0.3344502388565685,0.0465,17.8455
SPY,2014-02-03,174.09729,180.0,19,0.0005,0.53,0.6009981767252027,0.0709981767252027,0.021,18.807
SPY,2013-12-11,178.734261,188.0,23,0.0007,0.06,0.10275119245253547,0.042751192452535475,0.0115,22.9095
SPY,2013-07-08,163.939887,169.0,40,0.0005,0.81,1.674596034292456,0.8645960342924559,0.1365,38.764
SPY,2014-04-23,187.473354,195.0,59,0.0002,0.64,1.146632954180508,0.506632954180508,0.11,57.923
SPY,2014-09-15,198.977082,208.0,46,0.0002,0.15,0.1483618189555337,-0.001638181044466308,0.029,45.9355
SPY,2013-06-07,164.809718,154.0,7,0.0004,10.62,10.961221899445253,0.3412218994452534,0.816,3.69
SPY,2014-09-08,200.631279,198.5,18,0.0002,2.78,3.173591038346079,0.393591038346079,0.5775,16.2635
SPY,2014-04-08,185.066742,189.5,24,0.0003,0.58,0.6877487278631389,0.10774872786313894,0.051,23.6705
SPY,2013-02-20,151.387962,157.0,16,0.0012,0.06,0.2154403096480841,0.1554403096480841,0.039,15.788
SPY,2014-03-11,187.194039,177.5,17,0.0005,9.68,10.095072521737514,0.41507252173751397,0.8995,10.653
SPY,2013-08-26,166.002799,177.0,35,0.0004,0.05,0.110760176824939,0.06076017682493899,0.0275,34.8825
