ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2018-03-14,275.214962,257.0,15,0.0176,18.23,18.845228007856452,0.6152280078564516,0.7605,13.8435
SPY,2019-09-05,297.810846,277.0,8,0.0197,20.62,20.91183473885387,0.29183473885386846,0.4965,5.75
SPY,2019-01-15,260.405414,247.0,31,0.0245,14.99,15.884934740238684,0.8949347402386838,0.3455,24.762
SPY,2019-01-15,260.405414,247.5,24,0.0245,13.96,15.25612068419172,1.2961206841917186,0.314,23.372
SPY,2019-06-03,274.665808,261.0,46,0.0235,16.23,16.73801235525656,0.508012355256561,0.5345,31.9405
SPY,2018-02-28,271.394485,260.0,51,0.0165,14.6,13.651628909713054,-0.9483710902869458,0.5345,37.5335
SPY,2018-04-05,265.675501,269.0,11,0.0172,1.6,2.111102773162126,0.511102773162126,0.116,10.834
SPY,2019-02-06,272.708317,269.0,7,0.0242,4.29,5.710908275760127,1.4209082757601266,0.3975,5.8765
SPY,2019-07-09,297.272645,303.0,31,0.0226,1.52,2.6107627601855867,1.0907627601855867,0.063,30.288
SPY,2019-07-30,300.761943,307.0,27,0.0208,0.99,1.889319722490145,0.899319722490145,0.175,25.6825
SPY,2019-02-21,277.396709,277.5,43,0.0245,4.45,9.769122585766533,5.319122585766533,0.3385,39.8885
SPY,2019-09-05,297.810846,293.0,50,0.0197,8.84,10.779436401523672,1.9394364015236718,0.2325,47.9925
SPY,2019-07-23,299.948654,309.0,15,0.0206,0.11,0.5593425759910972,0.44934257599109717,0.051,14.9275
SPY,2018-11-29,273.930031,291.0,8,0.0237,0.08,0.02222130773005629,-0.05777869226994371,0.001,7.998
SPY,2018-11-21,265.054563,286.0,21,0.0241,0.08,0.12705574770973826,0.04705574770973826,0.003,20.989
SPY,2018-05-10,272.058549,287.5,29,0.019,0.11,1.4521029030940378,1.3421029030940377,0.029,28.8755
SPY,2019-05-03,294.102535,320.0,49,0.0243,0.1,2.0892588950664583,1.9892588950664583,0.0565,48.3575
SPY,2019-08-13,292.381097,308.0,48,0.02,0.51,1.5462625339063487,1.0362625339063487,0.0835,47.655
SPY,2018-10-02,291.540791,293.0,20,0.0223,1.67,2.545945714651749,0.8759457146517491,0.2275,18.8025
SPY,2018-11-07,280.964928,261.0,54,0.0237,22.37,21.562691472123365,-0.8073085278766357,0.767,38.672
SPY,2019-11-29,314.18715,311.0,42,0.0159,6.65,8.683050001191376,2.0330500011913752,0.094,40.6465
SPY,2019-03-07,275.078384,279.5,8,0.0245,0.41,2.055301134481362,1.6453011344813622,0.1025,7.719
SPY,2019-07-09,297.272645,290.0,45,0.0226,10.75,11.023885930020457,0.273885930020457,0.436,39.9435
SPY,2019-06-24,293.592924,307.5,25,0.0213,0.27,1.1566327251407862,0.8866327251407862,0.0095,24.9185
