ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2018-03-14,275.214962,257.0,15,0.0176,18.23,18.584886035363553,0.35488603536355257,0.789,10.5375
SPY,2019-09-05,297.810846,277.0,8,0.0197,20.62,21.090631185223444,0.4706311852234428,0.889,5.868
SPY,2019-01-15,260.405414,247.0,31,0.0245,14.99,15.917237336449146,0.9272373364491457,0.5555,27.8715
SPY,2019-01-15,260.405414,247.5,24,0.0245,13.96,14.58113678697424,0.6211367869742386,0.5925,19.8195
SPY,2019-06-03,274.665808,261.0,46,0.0235,16.23,15.588920294187869,-0.6410797058121318,0.767,42.3375
SPY,2018-02-28,271.394485,260.0,51,0.0165,14.6,15.808512967309321,1.2085129673093213,0.4635,44.783
SPY,2018-04-05,265.675501,269.0,11,0.0172,1.6,2.8546074388222458,1.2546074388222457,0.0265,10.9735
SPY,2019-02-06,272.708317,269.0,7,0.0242,4.29,4.655523231676294,0.36552323167629375,0.4335,6.4465
SPY,2019-07-09,297.272645,303.0,31,0.0226,1.52,3.6874621864672523,2.1674621864672523,0.107,30.247
SPY,2019-07-30,300.761943,307.0,27,0.0208,0.99,2.902505735380037,1.912505735380037,0.129,26.256
SPY,2019-02-21,277.396709,277.5,43,0.0245,4.45,3.908036541775312,-0.5419634582246884,0.3095,39.4385
SPY,2019-09-05,297.810846,293.0,50,0.0197,8.84,10.168661810313003,1.3286618103130028,0.4915,44.4995
SPY,2019-07-23,299.948654,309.0,15,0.0206,0.11,1.3766611963086541,1.266661196308654,0.06,14.7245
SPY,2018-11-29,273.930031,291.0,8,0.0237,0.08,0.1609606350850859,0.0809606350850859,0.002,7.998
SPY,2018-11-21,265.054563,286.0,21,0.0241,0.08,0.1866104512081062,0.10661045120810621,0.0165,20.922
SPY,2018-05-10,272.058549,287.5,29,0.019,0.11,0.3582136400722807,0.2482136400722807,0.023,28.8625
SPY,2019-05-03,294.102535,320.0,49,0.0243,0.1,0.3731155943334993,0.2731155943334993,0.0445,48.331
SPY,2019-08-13,292.381097,308.0,48,0.02,0.51,1.4543239227265738,0.9443239227265738,0.1025,47.5775
SPY,2018-10-02,291.540791,293.0,20,0.0223,1.67,2.5015443482504254,0.8315443482504254,0.197,19.2105
SPY,2018-11-07,280.964928,261.0,54,0.0237,22.37,25.240289786047164,2.870289786047163,0.8275,45.6135
SPY,2019-11-29,314.18715,311.0,42,0.0159,6.65,7.5543183521700765,0.9043183521700762,0.359,39.27
SPY,2019-03-07,275.078384,279.5,8,0.0245,0.41,0.6403556866703716,0.2303556866703716,0.058,7.841
SPY,2019-07-09,297.272645,290.0,45,0.0226,10.75,9.74674633611222,-1.0032536638877794,0.4895,37.1885
SPY,2019-06-24,293.592924,307.5,25,0.0213,0.27,1.5801366028726094,1.3101366028726094,0.04,24.609
