ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2019-01-30,267.547077,258.0,7,0.0242,10.22,11.416312384487687,1.1963123844876868,0.275,6.0035
SPY,2019-10-17,299.188886,290.0,8,0.0166,9.52,11.59864726344459,2.0786472634445907,0.463,6.9275
SPY,2019-06-17,289.425082,280.0,25,0.0223,10.52,14.729894961086373,4.209894961086373,0.469,21.4325
SPY,2019-06-10,288.990779,278.0,39,0.0229,12.79,18.571987326114495,5.781987326114496,0.474,32.4955
SPY,2019-09-19,301.095829,277.0,57,0.0192999999999999,25.22,29.947950786739273,4.7279507867392745,0.8045,40.685
SPY,2019-02-06,272.708317,257.0,51,0.0242,17.69,23.03521246388764,5.345212463887638,0.4805,44.734
SPY,2019-02-06,272.708317,271.0,9,0.0242,3.1,6.005768496870742,2.9057684968707416,0.323,7.8415
SPY,2019-07-09,297.272645,295.5,17,0.0226,3.91,8.480121254992218,4.570121254992218,0.2725,15.4285
SPY,2019-10-03,290.3112,294.0,32,0.017,4.15,7.765403012700329,3.6154030127003285,0.1895,30.6865
SPY,2019-10-17,299.188886,297.0,22,0.0166,5.13,9.597928606073692,4.467928606073692,0.3375,19.079
SPY,2019-08-06,287.752691,281.0,45,0.0204999999999999,12.21,15.71126144432368,3.5012614443236796,0.4345,38.6685
SPY,2019-11-07,308.164379,299.0,43,0.0156,12.07,17.903700953855196,5.833700953855196,0.3865,37.8045
SPY,2019-10-03,290.3112,303.0,13,0.017,0.08,1.4527562379162828,1.3727562379162828,0.0285,12.8755
SPY,2019-06-10,288.990779,303.0,11,0.0229,0.07,1.0339226411371911,0.9639226411371911,0.0455,10.941
SPY,2019-06-03,274.665808,283.0,32,0.0235,1.76,4.962996999806493,3.2029969998064933,0.124,31.002
SPY,2019-03-14,281.166664,292.0,34,0.0245,0.26,4.675735500612507,4.415735500612508,0.1735,32.65
SPY,2019-08-27,286.953978,315.0,52,0.0197999999999999,0.14,2.4351010795994883,2.295101079599488,0.079,51.2215
SPY,2019-10-10,293.156917,313.0,43,0.0168,0.21,3.0428207532884963,2.8328207532884964,0.0915,42.221
SPY,2019-02-06,272.708317,268.5,7,0.0242,4.72,7.044410713470459,2.324410713470459,0.2625,6.502
SPY,2019-02-13,275.009734,270.0,9,0.0243999999999999,5.64,8.453757512166192,2.813757512166192,0.4035,7.598
SPY,2019-01-15,260.405414,275.0,31,0.0245,0.29,2.583995481507772,2.293995481507772,0.1345,30.2555
SPY,2019-09-12,301.265478,295.0,27,0.0195,7.87,13.391211776462027,5.521211776462027,0.435,23.565
SPY,2019-03-21,284.612008,294.0,32,0.0249,0.64,5.308007785593168,4.6680077855931685,0.2295,30.6895
SPY,2019-01-15,260.405414,264.0,59,0.0245,4.77,10.17140047984678,5.40140047984678,0.306,57.157
