ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2008-08-06,26.21,26.0,44,0.0163999999999999,1.16,1.3409279917462087,0.18092799174620877,0.2759,39.0966
MSFT,2008-08-13,28.12,28.0,37,0.0185,1.115,1.3195933548611323,0.20459335486113228,0.2534,33.7066
MSFT,2008-08-20,27.32,27.0,30,0.0171,1.125,1.2663832265717443,0.1413832265717443,0.2454,26.9509
MSFT,2008-08-27,27.27,27.0,23,0.0167,0.945,1.187546959485,0.24254695948500016,0.1144,22.0636
MSFT,2008-09-04,26.9,27.0,43,0.0169,1.12,1.20994812817883,0.08994812817882991,0.2154,40.5092
MSFT,2008-09-11,26.44,26.0,36,0.0161,1.355,1.455222711902318,0.10022271190231802,0.298,32.1375
MSFT,2008-09-18,24.57,25.0,29,0.0023,1.23,0.7646241959588909,-0.4653758040411091,0.1946,26.8516
MSFT,2008-09-25,25.72,26.0,22,0.0076,0.94,0.7864452245001795,-0.15355477549982044,0.1952,20.3497
MSFT,2008-10-02,26.48,26.0,15,0.0063,1.31,1.081620927909785,-0.22837907209021502,0.2131,13.9606
MSFT,2008-10-09,23.01,23.0,43,0.006,2.115,1.0845343586779002,-1.0304656413221,0.2078,38.8972
MSFT,2008-10-17,24.19,24.0,35,0.0083,2.185,1.143910909869041,-1.041089090130959,0.2622,31.1297
MSFT,2008-10-24,22.32,22.0,28,0.0089,2.03,1.0248484781489224,-1.0051515218510774,0.3028,24.4794
MSFT,2008-10-31,22.63,23.0,21,0.0046,1.115,0.6367666024889966,-0.47823339751100336,0.1569,19.722
MSFT,2008-11-07,20.88,21.0,42,0.0031,1.64,0.9043195864868591,-0.7356804135131408,0.2256,38.6256
MSFT,2008-11-14,21.25,21.0,35,0.0015,1.675,1.0318321474629382,-0.6431678525370619,0.2733,31.2399
MSFT,2008-11-21,17.53,17.5,56,0.0002,2.23,0.8963594754346613,-1.3336405245653387,0.251,49.3465
MSFT,2008-12-01,20.22,20.0,18,0.0007,1.185,0.7864018840870647,-0.39859811591293537,0.2063,16.6973
MSFT,2008-12-08,19.87,20.0,39,0.0003,1.525,0.8039095353865732,-0.7210904646134267,0.2026,35.8573
MSFT,2008-12-15,19.36,19.0,32,0.0003,1.61,1.0056777519622726,-0.6043222480377275,0.3157,28.3907
MSFT,2008-12-22,19.12,19.0,25,0.0001,1.075,0.7803669826936459,-0.29463301730635405,0.2505,22.6081
MSFT,2008-12-30,18.96,19.0,17,0.001,0.79,0.5957268672734896,-0.19427313272651048,0.1941,15.7116
MSFT,2009-01-07,20.76,21.0,44,0.0011,1.21,0.8700439129411228,-0.33995608705887714,0.2073,40.7317
MSFT,2009-01-14,19.82,20.0,37,0.0012,1.185,0.787292703200985,-0.39770729679901506,0.248,33.4568
MSFT,2009-01-22,19.38,19.0,29,0.001,1.27,0.9728269279511779,-0.29717307204882215,0.3054,25.1329
MSFT,2009-01-29,18.04,18.0,22,0.0023,0.645,0.6786649217100392,0.03366492171003921,0.2104,20.1581
MSFT,2009-02-05,18.63,19.0,43,0.0029,0.87,0.6883067068785785,-0.18169329312142146,0.1886,40.1854
MSFT,2009-02-12,19.21,19.0,36,0.0029,1.16,0.9193830230753082,-0.24061697692469175,0.2817,32.4683
MSFT,2009-02-20,17.91,18.0,28,0.0027,0.88,0.6670723001210674,-0.21292769987893256,0.2405,25.471
MSFT,2009-02-27,16.42,16.0,21,0.0026,1.015,0.8287301699738069,-0.18626983002619302,0.2717,19.4263
MSFT,2009-03-06,15.27,15.0,42,0.0021,1.205,0.8368018037077971,-0.36819819629220296,0.311,36.2835
MSFT,2009-03-13,17.01,17.0,7,0.002,0.505,0.36813660905741696,-0.13686339094258304,0.1689,6.5137
MSFT,2009-03-20,17.14,17.5,28,0.0022,0.695,0.5057204292515011,-0.18927957074849888,0.2047,26.2609
MSFT,2009-03-27,18.83,19.0,21,0.0014,0.685,0.6009049417166842,-0.08409505828331587,0.2347,19.6016
MSFT,2009-04-03,19.29,19.0,42,0.0021,1.48,1.033748123031616,-0.4462518769683841,0.2815,37.3108
MSFT,2009-04-13,19.67,20.0,32,0.0018,0.965,0.6682659748137953,-0.2967340251862046,0.164,29.9187
MSFT,2009-04-20,19.2,19.0,25,0.0014,1.01,0.8263634549202695,-0.18363654507973048,0.249,22.3743
MSFT,2009-04-27,20.91,21.0,18,0.0013,0.655,0.6501061450185754,-0.0048938549814245835,0.1451,16.8016
MSFT,2009-05-04,20.24,20.0,46,0.0019,1.135,1.0889037859600743,-0.0460962140399257,0.2655,40.5998
MSFT,2009-05-11,19.42,19.0,39,0.0019,1.055,1.075674458679286,0.020674458679285967,0.3651,33.3503
MSFT,2009-05-18,20.22,20.0,32,0.0019,0.81,0.9714698855016868,0.16146988550168673,0.2735,29.2913
MSFT,2009-05-26,19.75,20.0,24,0.0018,0.575,0.6223635018505199,0.04736350185051996,0.2115,22.4959
MSFT,2009-06-02,21.4,21.0,17,0.0014,0.78,0.907231910215873,0.127231910215873,0.2843,15.203
MSFT,2009-06-09,22.05,22.0,38,0.0019,0.935,0.9992542309189237,0.06425423091892368,0.2862,33.566
MSFT,2009-06-16,23.42,23.0,31,0.0017,1.15,1.2001813900620029,0.05018139006200295,0.26,27.5944
MSFT,2009-06-23,23.28,23.0,24,0.002,0.935,1.023256557418346,0.08825655741834604,0.1584,22.5483
MSFT,2009-06-30,23.86,24.0,17,0.0019,0.6,0.6986735246739714,0.09867352467397139,0.2142,15.8868
MSFT,2009-07-08,22.53,23.0,44,0.0018,0.92,0.8371811856674676,-0.08281881433253246,0.1549,42.1331
MSFT,2009-07-15,23.11,23.0,37,0.0018,0.99,1.072707374371912,0.082707374371912,0.2557,34.124
MSFT,2009-07-22,24.83,25.0,30,0.0019,0.795,0.9530022435042874,0.15800224350428738,0.187,28.4797
MSFT,2009-07-29,23.47,23.0,23,0.0019,0.955,1.121565420751368,0.16656542075136793,0.2848,20.2811
