ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2014-01-10,536.519,537.5,28,0.0005,18.975,19.912381218436558,0.9373812184365562,0.2058,25.9716
AAPL,2014-01-17,554.25,555.0,28,0.0005,18.275,20.85104980589265,2.5760498058926515,0.1762,26.245
AAPL,2014-01-27,546.07,545.0,32,0.0005,21.025,23.391758100403987,2.366758100403988,0.2897,29.671
AAPL,2014-02-03,500.6,500.0,31,0.0005,12.775,20.95610131836305,8.18110131836305,0.2355,28.6616
AAPL,2014-02-10,519.68,520.0,32,0.0007,14.15,21.28278702550184,7.132787025501839,0.2609,29.4374
AAPL,2014-02-18,543.99,545.0,31,0.0005,13.3,21.301944591182387,8.001944591182387,0.2713,28.1994
AAPL,2014-02-25,527.55,527.5,31,0.0005,12.75,21.46735082633105,8.71735082633105,0.243,28.689
AAPL,2014-03-04,527.76,527.5,31,0.0005,12.925,20.92073849190945,7.995738491909449,0.2513,27.5573
AAPL,2014-03-11,530.92,530.0,31,0.0005,11.95,22.31202793036752,10.362027930367521,0.2971,27.9549
AAPL,2014-03-18,526.74,527.5,24,0.0005,9.825,18.2797066519928,8.454706651992801,0.2768,22.0609
AAPL,2014-03-25,539.19,540.0,31,0.0005,13.375,21.512897416094525,8.137897416094525,0.2419,28.19
AAPL,2014-04-01,536.74,537.5,31,0.0004,15.575,21.239846320197522,5.6648463201975225,0.2486,28.1751
AAPL,2014-04-08,523.47,522.5,31,0.0003,17.125,21.477981206919534,4.352981206919534,0.21,29.0268
AAPL,2014-04-15,521.68,522.5,24,0.0004,14.2,18.501484366449695,4.301484366449696,0.2208,22.694
AAPL,2014-04-23,531.699,532.5,30,0.0002,12.525,20.452678750521606,7.927678750521606,0.2861,27.1848
AAPL,2014-04-30,592.33,592.5,9,0.0003,7.175,13.057871742259204,5.882871742259204,0.1649,8.5457
AAPL,2014-05-07,594.41,595.0,30,0.0003,11.525,23.762060018726306,12.237060018726305,0.2463,27.8933
AAPL,2014-05-14,593.76,595.0,30,0.0003,11.525,22.872265078569185,11.347265078569185,0.267,27.792
AAPL,2014-05-21,604.71,605.0,30,0.0004,13.15,24.011352044777087,10.861352044777087,0.2479,27.7455
AAPL,2014-05-29,624.01,625.0,29,0.0004,14.7,24.4246039664872,9.724603966487201,0.2544,27.0059
AAPL,2014-06-05,644.82,645.0,36,0.0004,17.9,27.536969576699416,9.636969576699418,0.2634,32.9867
AAPL,2014-06-12,93.86,93.93,29,0.0004,2.085,3.6224719152537466,1.5374719152537466,0.2221,26.9568
AAPL,2014-06-19,92.18,92.14,29,0.0002,2.075,3.7085687263497427,1.6335687263497425,0.2377,27.2103
AAPL,2014-06-26,90.36,90.36,29,0.0004,2.725,3.4494638446575014,0.7244638446575014,0.2696,26.5575
AAPL,2014-07-03,93.48,93.57,22,0.0001,2.51,3.1487885501483146,0.6387885501483148,0.2388,20.2676
AAPL,2014-07-11,95.035,95.0,28,0.0002,2.88,3.6816378321538257,0.8016378321538258,0.2407,26.5454
AAPL,2014-07-18,93.0899,93.0,35,0.0002,3.25,4.0609301788247585,0.8109301788247585,0.2877,31.6628
AAPL,2014-07-25,97.03,97.0,28,0.0003,1.915,3.710490199117068,1.7954901991170678,0.2598,25.7409
AAPL,2014-08-01,95.6,95.71,14,0.0003,1.6,2.550110191340678,0.950110191340678,0.1879,13.1546
AAPL,2014-08-08,94.48,94.29,7,0.0003,1.36,1.9290615157076918,0.5690615157076917,0.1213,6.8236
AAPL,2014-08-15,97.5,97.5,35,0.0003,2.815,4.166095591130503,1.3510955911305031,0.2469,31.9385
AAPL,2014-08-22,100.58,100.71,56,0.0003,3.65,5.4514795628391814,1.8014795628391815,0.2542,50.618
AAPL,2014-08-29,102.25,102.14,49,0.0003,3.6,5.275954450486772,1.6759544504867718,0.2565,44.4046
