ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2014-01-10,536.519,537.5,28,0.0005,18.975,20.676476182669315,1.7014761826693139,0.2263,26.5369
AAPL,2014-01-17,554.25,555.0,28,0.0005,18.275,21.799190711353916,3.524190711353917,0.1826,27.4134
AAPL,2014-01-27,546.07,545.0,32,0.0005,21.025,23.60813760176143,2.5831376017614325,0.198,29.7682
AAPL,2014-02-03,500.6,500.0,31,0.0005,12.775,21.443047017154694,8.668047017154693,0.2227,29.4903
AAPL,2014-02-10,519.68,520.0,32,0.0007,14.15,21.247328636552027,7.097328636552026,0.2437,30.0538
AAPL,2014-02-18,543.99,545.0,31,0.0005,13.3,22.590503414994203,9.290503414994202,0.2006,29.9219
AAPL,2014-02-25,527.55,527.5,31,0.0005,12.75,21.571728034078266,8.821728034078266,0.1818,29.6946
AAPL,2014-03-04,527.76,527.5,31,0.0005,12.925,21.90579084811955,8.98079084811955,0.2084,29.4609
AAPL,2014-03-11,530.92,530.0,31,0.0005,11.95,22.81644313536568,10.866443135365682,0.1655,29.3712
AAPL,2014-03-18,526.74,527.5,24,0.0005,9.825,17.73397624420759,7.90897624420759,0.1596,22.8616
AAPL,2014-03-25,539.19,540.0,31,0.0005,13.375,21.781229719336185,8.406229719336185,0.2437,28.7517
AAPL,2014-04-01,536.74,537.5,31,0.0004,15.575,21.643867317165494,6.068867317165495,0.1902,29.3905
AAPL,2014-04-08,523.47,522.5,31,0.0003,17.125,22.053562212107163,4.928562212107163,0.1821,29.342
AAPL,2014-04-15,521.68,522.5,24,0.0004,14.2,18.214800404746768,4.014800404746769,0.2063,22.6194
AAPL,2014-04-23,531.699,532.5,30,0.0002,12.525,20.724238305568935,8.199238305568935,0.178,28.3653
AAPL,2014-04-30,592.33,592.5,9,0.0003,7.175,10.961313498773833,3.7863134987738336,0.1161,8.7378
AAPL,2014-05-07,594.41,595.0,30,0.0003,11.525,23.82714238831231,12.30214238831231,0.1799,28.1253
AAPL,2014-05-14,593.76,595.0,30,0.0003,11.525,23.320673189766083,11.795673189766083,0.1708,28.2125
AAPL,2014-05-21,604.71,605.0,30,0.0004,13.15,24.394657450835567,11.244657450835566,0.1801,28.1509
AAPL,2014-05-29,624.01,625.0,29,0.0004,14.7,24.255962407463546,9.555962407463547,0.1838,27.3662
