ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2014-01-10,536.519,537.5,28,0.0005,18.975,19.735170350457057,0.7601703504570558,0.2241,26.2473
AAPL,2014-01-17,554.25,555.0,28,0.0005,18.275,20.04245191372939,1.767451913729392,0.2284,26.5919
AAPL,2014-01-27,546.07,545.0,32,0.0005,21.025,23.021728140875197,1.9967281408751987,0.2671,29.7511
AAPL,2014-02-03,500.6,500.0,31,0.0005,12.775,20.037044855990786,7.262044855990785,0.2516,28.8881
AAPL,2014-02-10,519.68,520.0,32,0.0007,14.15,21.404053372814804,7.254053372814804,0.1667,31.2091
AAPL,2014-02-18,543.99,545.0,31,0.0005,13.3,20.103025514558055,6.803025514558055,0.2643,28.2593
AAPL,2014-02-25,527.55,527.5,31,0.0005,12.75,20.899983391602646,8.149983391602646,0.1619,30.4025
AAPL,2014-03-04,527.76,527.5,31,0.0005,12.925,21.126354308428976,8.201354308428975,0.1855,29.3253
AAPL,2014-03-11,530.92,530.0,31,0.0005,11.95,21.361551119995543,9.411551119995544,0.2566,28.9323
AAPL,2014-03-18,526.74,527.5,24,0.0005,9.825,17.640745364304767,7.815745364304767,0.1946,22.4243
AAPL,2014-03-25,539.19,540.0,31,0.0005,13.375,20.672155657288723,7.297155657288723,0.2138,28.9725
AAPL,2014-04-01,536.74,537.5,31,0.0004,15.575,20.77774205569693,5.20274205569693,0.2075,29.8573
AAPL,2014-04-08,523.47,522.5,31,0.0003,17.125,21.943934762327764,4.818934762327764,0.1115,30.7537
AAPL,2014-04-15,521.68,522.5,24,0.0004,14.2,17.818871385895783,3.6188713858957833,0.1891,22.4999
AAPL,2014-04-23,531.699,532.5,30,0.0002,12.525,19.55037592286329,7.025375922863288,0.2072,28.1863
AAPL,2014-04-30,592.33,592.5,9,0.0003,7.175,12.352573183362136,5.177573183362136,0.1354,8.5655
AAPL,2014-05-07,594.41,595.0,30,0.0003,11.525,22.750739663626266,11.225739663626266,0.2411,27.9383
AAPL,2014-05-14,593.76,595.0,30,0.0003,11.525,22.641854064798036,11.116854064798035,0.2342,28.3167
AAPL,2014-05-21,604.71,605.0,30,0.0004,13.15,22.73943161276188,9.58943161276188,0.2239,27.5802
AAPL,2014-05-29,624.01,625.0,29,0.0004,14.7,23.85838876871626,9.15838876871626,0.231,28.2518
AAPL,2014-06-05,644.82,645.0,36,0.0004,17.9,27.183811021249113,9.283811021249115,0.2479,33.7587
AAPL,2014-06-12,93.86,93.93,29,0.0004,2.085,3.5420703168054577,1.4570703168054577,0.1483,28.1512
AAPL,2014-06-19,92.18,92.14,29,0.0002,2.075,3.603619447124093,1.5286194471240928,0.2469,26.6529
AAPL,2014-06-26,90.36,90.36,29,0.0004,2.725,3.354777857512236,0.6297778575122357,0.1573,27.6015
AAPL,2014-07-03,93.48,93.57,22,0.0001,2.51,3.069619452374347,0.5596194523743474,0.1823,21.3812
AAPL,2014-07-11,95.035,95.0,28,0.0002,2.88,3.550834963824328,0.6708349638243281,0.2479,26.4222
AAPL,2014-07-18,93.0899,93.0,35,0.0002,3.25,4.012147762945909,0.7621477629459088,0.1801,33.7793
AAPL,2014-07-25,97.03,97.0,28,0.0003,1.915,3.5580511353902895,1.6430511353902895,0.1561,26.5387
AAPL,2014-08-01,95.6,95.71,14,0.0003,1.6,2.451864817122049,0.8518648171220491,0.1856,13.1668
AAPL,2014-08-08,94.48,94.29,7,0.0003,1.36,1.7663013015021283,0.4063013015021282,0.1192,6.7588
AAPL,2014-08-15,97.5,97.5,35,0.0003,2.815,4.166229318649882,1.351229318649882,0.1892,33.5141
AAPL,2014-08-22,100.58,100.71,56,0.0003,3.65,5.23988978885858,1.5898897888585801,0.2579,51.5415
AAPL,2014-08-29,102.25,102.14,49,0.0003,3.6,5.121343639885752,1.5213436398857518,0.1813,47.126
AAPL,2014-09-08,98.97,99.0,32,0.0002,3.375,4.03621368325677,0.6612136832567703,0.1871,30.4809
AAPL,2014-09-15,101.66,101.43,32,0.0002,3.175,4.217676356947944,1.0426763569479442,0.2104,30.0972
AAPL,2014-09-22,100.96,101.0,32,0.0001,3.275,4.047077368366966,0.7720773683669662,0.2308,29.9356
AAPL,2014-09-29,100.75,100.71,18,0.0002,1.975,3.0228824653871675,1.0478824653871674,0.1949,16.8574
AAPL,2014-10-06,99.62,99.29,11,0.0002,1.885,2.4109180266121086,0.5259180266121086,0.114,10.8117
