ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AMZN,2018-10-01,2003.0,2002.5,32,0.0223,88.325,111.4981699108691,23.173169910869092,0.1616,30.4711
AMZN,2018-10-08,1889.65,1890.0,32,0.0223,96.125,106.14546387895635,10.020463878956349,0.1984,30.6858
AMZN,2018-10-15,1788.61,1787.5,25,0.0231,93.325,84.52557953865137,-8.799420461348632,0.1484,23.9978
AMZN,2018-10-22,1764.03,1765.0,32,0.0233999999999999,91.05,97.1150448483181,6.065044848318109,0.2132,30.3591
AMZN,2018-10-29,1642.81,1642.5,11,0.0233999999999999,54.8,41.295405836903875,-13.504594163096122,0.1462,10.6204
AMZN,2018-11-05,1665.53,1665.0,32,0.0236,76.3,94.87382799694068,18.57382799694068,0.2553,30.6344
AMZN,2018-11-12,1712.43,1712.5,25,0.0236,68.7,79.24567065118696,10.545670651186953,0.2092,23.9061
AMZN,2018-11-19,1593.41,1592.5,25,0.0237999999999999,72.0,74.66110262887838,2.661102628878382,0.22,24.0881
AMZN,2018-11-27,1581.33,1582.5,24,0.0241,64.675,70.88655648210604,6.211556482106047,0.1834,22.9909
AMZN,2018-12-04,1772.36,1772.5,10,0.0242,38.8,40.65135871672316,1.851358716723162,0.1679,9.6381
AMZN,2018-12-11,1641.03,1640.0,31,0.0241,81.325,88.69965204910935,7.3746520491093435,0.2319,29.0929
AMZN,2018-12-18,1520.91,1520.0,30,0.0239,85.005,80.87380392180881,-4.131196078191181,0.1984,28.5675
AMZN,2018-12-26,1343.96,1345.0,9,0.0243999999999999,53.9,28.307792793160147,-25.592207206839852,0.1599,8.6796
AMZN,2019-01-03,1539.13,1540.0,29,0.0241,86.15,79.6892422429971,-6.460757757002909,0.1771,27.5672
AMZN,2019-01-10,1659.42,1660.0,29,0.0243,84.5,86.19367944649058,1.6936794464905773,0.1715,27.8647
AMZN,2019-01-17,1683.78,1685.0,29,0.0242,77.0,83.88878469402682,6.888784694026825,0.1789,27.6284
AMZN,2019-01-25,1654.93,1655.0,28,0.0239,76.525,85.14922761343628,8.624227613436275,0.2077,26.9349
AMZN,2019-02-01,1718.73,1717.5,28,0.024,74.9,85.9870670800168,11.087067080016794,0.219,26.6104
AMZN,2019-02-08,1614.37,1615.0,28,0.0243,52.125,80.57072044583781,28.445720445837807,0.2157,26.7299
AMZN,2019-02-15,1622.65,1622.5,35,0.0243,55.25,92.76998960190872,37.51998960190872,0.2277,33.0435
AMZN,2019-02-25,1631.56,1632.5,32,0.0247,48.25,90.47865689458351,42.22865689458351,0.1942,30.7636
AMZN,2019-03-04,1639.83,1640.0,10,0.0246,28.73,37.34109287835529,8.61109287835529,0.1669,9.4657
AMZN,2019-03-11,1620.8,1620.0,32,0.0246,58.025,91.83369203677223,33.808692036772236,0.1802,30.6889
AMZN,2019-03-18,1712.36,1712.5,25,0.0243999999999999,43.225,79.4153385218462,36.19033852184619,0.2671,23.7091
AMZN,2019-03-25,1764.77,1765.0,32,0.0246,73.375,98.17600842334726,24.801008423347255,0.1951,31.0257
AMZN,2019-04-01,1780.75,1780.0,32,0.0243,72.825,100.54422327739005,27.719223277390043,0.1875,30.5401
AMZN,2019-04-08,1837.28,1837.5,25,0.0243,66.9,84.65916648521208,17.759166485212077,0.1697,23.9598
AMZN,2019-04-15,1843.06,1842.5,25,0.0243,62.875,86.27181462678871,23.39681462678871,0.2253,23.7493
AMZN,2019-04-23,1887.31,1887.5,31,0.0245,61.95,102.47088323965205,40.52088323965205,0.2674,29.3849
AMZN,2019-04-30,1938.43,1937.5,31,0.0243,48.825,103.7850189479657,54.96001894796569,0.2201,29.3922
AMZN,2019-05-07,1950.55,1950.0,31,0.0243,55.7,105.04598769292224,49.345987692922236,0.2008,29.5448
AMZN,2019-05-14,1822.68,1822.5,17,0.0241,48.975,65.23700644023319,16.262006440233186,0.1727,16.4645
AMZN,2019-05-21,1858.97,1860.0,31,0.0239,56.35,100.27323373964676,43.923233739646754,0.1871,29.6419
AMZN,2019-05-29,1836.43,1837.5,30,0.0237,57.275,97.65482656521279,40.37982656521279,0.2394,29.0233
AMZN,2019-06-05,1729.56,1730.0,30,0.0235,58.2,90.65227222963588,32.45227222963588,0.2433,28.6896
