ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2019-09-06,213.28,212.5,28,0.0196,6.525,9.42166419716316,2.89666419716316,0.2407,26.3658
AAPL,2019-09-13,223.085,222.5,28,0.0196,6.35,9.572669863022046,3.2226698630220465,0.2475,26.25
AAPL,2019-09-20,220.96,220.0,28,0.0191,6.35,9.570351077115536,3.220351077115536,0.2089,26.8353
AAPL,2019-09-27,219.89,220.0,28,0.018,6.05,9.171514161831848,3.121514161831848,0.1972,26.681
AAPL,2019-10-04,220.82,220.0,28,0.0171,8.45,9.510696513085865,1.0606965130858654,0.2165,26.4575
AAPL,2019-10-11,230.09,230.0,28,0.0168,7.875,9.759816606457397,1.884816606457397,0.2194,26.3985
AAPL,2019-10-18,235.28,235.0,28,0.0166,6.875,9.77043032970749,2.895430329707491,0.2003,26.457
AAPL,2019-10-25,243.58,242.5,28,0.0166,7.5,10.818488460875816,3.318488460875816,0.1636,26.4468
AAPL,2019-11-01,248.76,250.0,28,0.0152,4.75,9.557657775584852,4.807657775584852,0.2078,26.4681
AAPL,2019-11-08,259.43,260.0,28,0.0155,4.95,10.537949190879639,5.587949190879638,0.1776,26.7388
AAPL,2019-11-15,262.64,262.5,28,0.0157,5.9,10.979818075993325,5.079818075993325,0.1801,26.8097
AAPL,2019-11-22,262.01,262.5,28,0.0158,6.725,10.379074936984757,3.654074936984758,0.1395,26.7192
AAPL,2019-12-02,267.25,267.5,32,0.016,6.7,11.614513583174421,4.914513583174421,0.1727,30.6664
AAPL,2019-12-09,270.71,270.0,32,0.0154,7.45,12.374420855844091,4.924420855844091,0.2043,30.0647
AAPL,2019-12-16,275.15,275.0,32,0.0157,6.725,12.291736288317425,5.566736288317426,0.2713,30.0247
AAPL,2019-12-23,279.44,280.0,32,0.0159,6.25,12.13568306326007,5.885683063260069,0.2199,30.7325
AAPL,2019-12-31,291.52,292.5,31,0.0155,9.825,12.134682764462083,2.3096827644620834,0.1482,29.8187
AAPL,2020-01-08,298.39,297.5,30,0.0154,10.95,13.002056656545545,2.0520566565455454,0.1717,28.5551
AAPL,2020-01-15,312.68,312.5,30,0.0157,12.7,13.805707050447909,1.1057070504479096,0.1925,28.4329
AAPL,2020-01-23,317.7,317.5,29,0.0155,10.35,13.19149742728657,2.841497427286571,0.1959,27.4992
AAPL,2020-01-30,324.34,325.0,29,0.0157,8.625,13.439657379915062,4.814657379915062,0.0665,28.277
AAPL,2020-02-06,321.45,322.5,29,0.0157,8.45,12.93548744385999,4.485487443859991,0.172,27.7789
AAPL,2020-02-13,327.2,327.5,29,0.0159,9.05,13.770900309263432,4.720900309263431,0.2286,26.8996
AAPL,2020-02-21,320.3,320.0,28,0.0156,9.075,13.514607818648452,4.439607818648453,0.2264,26.6536
AAPL,2020-02-28,273.52,272.5,28,0.0127,14.575,11.947957431254553,-2.6270425687454466,0.1786,26.4915
AAPL,2020-03-06,292.92,292.5,28,0.0045,15.675,12.272130748572001,-3.4028692514279992,0.1824,26.1625
AAPL,2020-03-13,248.23,247.5,21,0.0028,20.475,9.158093579287744,-11.316906420712257,0.2673,19.4759
AAPL,2020-03-20,244.78,245.0,28,0.0005,21.0,9.816819910555635,-11.183180089444365,0.2282,26.2261
AAPL,2020-03-27,258.44,257.5,28,0.0003,17.425,10.958361212619767,-6.466638787380234,0.1866,26.3171
