ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AMZN,2019-09-06,1840.72,1840.0,28,0.0196,46.75,71.71500671243678,24.965006712436775,0.1422,26.7498
AMZN,2019-09-13,1843.55,1842.5,21,0.0196,36.225,57.56984462763665,21.344844627636647,0.161,19.966
AMZN,2019-09-20,1821.5,1822.5,35,0.0191,61.45,81.08033678242616,19.630336782426156,0.1498,33.6649
AMZN,2019-09-27,1739.84,1740.0,28,0.018,57.75,56.0055516285676,-1.744448371432398,0.4801,20.0181
AMZN,2019-10-04,1724.42,1725.0,28,0.0171,61.075,65.28231410408816,4.207314104088155,0.2262,26.2924
AMZN,2019-10-11,1720.26,1720.0,28,0.0168,58.4,65.66330637324508,7.263306373245079,0.152,26.7378
AMZN,2019-10-18,1787.48,1787.5,35,0.0166,58.675,79.6178549261897,20.942854926189696,0.1562,33.5336
AMZN,2019-10-28,1761.33,1762.5,32,0.0165,43.875,70.84207408129383,26.96707408129383,0.1951,30.36
AMZN,2019-11-04,1791.44,1792.5,32,0.0153,40.675,73.40975094205434,32.73475094205435,0.3568,29.2278
AMZN,2019-11-11,1785.88,1785.0,25,0.0155,34.95,63.43167465633624,28.48167465633624,0.215,23.8015
AMZN,2019-11-18,1739.49,1740.0,32,0.0157,38.75,71.15116533062749,32.40116533062749,0.2357,29.2062
AMZN,2019-11-25,1745.72,1745.0,25,0.0161,36.65,62.355999152575876,25.705999152575878,0.2147,23.9607
AMZN,2019-12-03,1781.6,1782.5,31,0.0157,42.85,72.25170795662389,29.401707956623888,0.1498,29.4975
AMZN,2019-12-10,1749.51,1750.0,31,0.0156,42.775,72.00830981734907,29.233309817349074,0.182,29.4743
AMZN,2019-12-17,1769.21,1770.0,31,0.0156,37.025,68.61742028923814,31.59242028923814,0.2148,28.8366
AMZN,2019-12-24,1793.0,1792.5,31,0.0158,38.075,75.66384617454106,37.58884617454106,0.1476,29.8039
AMZN,2020-01-02,1847.84,1847.5,8,0.0154,25.175,33.09081319126928,7.915813191269276,0.149,7.7536
AMZN,2020-01-09,1891.97,1892.5,8,0.0154,25.875,31.86153375028912,5.986533750289119,0.1542,7.6759
AMZN,2020-01-16,1862.02,1862.5,29,0.0155,60.125,70.82665674362181,10.701656743621811,0.274,26.72
AMZN,2020-01-24,1884.58,1885.0,28,0.0154,58.425,71.95504409895489,13.530044098954889,0.2472,26.6712
AMZN,2020-01-31,1870.68,1870.0,28,0.0155,58.45,69.61177308167252,11.161773081672521,0.2047,26.4833
AMZN,2020-02-07,2050.23,2050.0,28,0.0156,52.0,77.10973375440649,25.10973375440649,0.1768,26.6947
AMZN,2020-02-14,2149.87,2150.0,28,0.0158,60.7,82.6467101392907,21.9467101392907,0.2019,26.5916
AMZN,2020-02-24,2095.97,2095.0,32,0.0153,66.0,86.66757834934772,20.66757834934772,0.1346,30.7658
AMZN,2020-03-02,1883.75,1885.0,18,0.0113,86.65,52.86016992473309,-33.78983007526691,0.1445,17.2312
AMZN,2020-03-09,1901.09,1900.0,31,0.0033,94.975,76.14793304019084,-18.82706695980916,0.1855,29.4612
AMZN,2020-03-16,1785.0,1785.0,32,0.0024,107.5,69.47122444866052,-38.02877555133948,0.335,27.606
AMZN,2020-03-23,1846.09,1845.0,25,0.0002,109.325,64.05093990089628,-45.27406009910372,0.2258,23.6194
AMZN,2020-03-30,1900.1,1900.0,32,0.0012,114.75,77.82773348072479,-36.92226651927521,0.2758,29.8446
AMZN,2020-04-06,1906.59,1905.0,32,0.0015,98.675,74.62918097561437,-24.045819024385622,0.3261,27.3166
AMZN,2020-04-14,2168.87,2170.0,31,0.002,106.225,85.20512767246548,-21.019872327534515,0.2904,28.3692
AMZN,2020-04-21,2393.61,2395.0,59,0.0011,167.825,145.4897389893542,-22.33526101064578,0.3233,53.5233
AMZN,2020-04-28,2376.0,2375.0,31,0.0011,122.975,94.10040896166545,-28.874591038334543,0.2292,29.3226
AMZN,2020-05-05,2315.99,2315.0,31,0.0013,96.2,92.85489712595756,-3.345102874042439,0.1766,29.2033
AMZN,2020-05-12,2409.0,2410.0,31,0.0013,78.05,95.86991088270571,17.819910882705713,0.2088,29.3571
AMZN,2020-05-19,2426.26,2425.0,31,0.0013,77.45,97.14908488393002,19.699084883930013,0.1896,29.0853
AMZN,2020-05-27,2421.86,2420.0,30,0.0015,80.3,95.16825211120094,14.868252111200945,0.1911,28.0308
AMZN,2020-06-03,2472.41,2470.0,29,0.0016,75.15,95.32437744033605,20.174377440336045,0.2091,27.287
AMZN,2020-06-10,2600.86,2600.0,30,0.0017,90.425,102.19365620770444,11.768656207704439,0.144,28.6018
AMZN,2020-06-17,2615.27,2615.0,23,0.0017,83.35,87.80302137371017,4.453021373710172,0.1526,21.9231
