ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2019-09-05,137.63,138.0,29,0.0197,3.525,4.704891401057238,1.179891401057238,0.1765,27.239
MSFT,2019-09-12,136.12,136.0,29,0.0195,3.6,4.885434699747125,1.285434699747125,0.2738,27.0634
MSFT,2019-09-19,138.52,139.0,36,0.0192999999999999,4.275,5.363890138912208,1.0888901389122072,0.2377,33.4942
MSFT,2019-09-26,139.36,139.0,29,0.0183,4.625,5.208547733806568,0.5835477338065678,0.2908,26.6022
MSFT,2019-10-03,134.65,135.0,29,0.017,4.8,4.612961420664512,-0.1870385793354874,0.2437,26.7433
MSFT,2019-10-10,138.24,138.0,29,0.0168,4.45,4.985630801756271,0.5356308017562705,0.2654,26.621
MSFT,2019-10-17,140.41,140.0,29,0.0166,4.125,5.203010074946607,1.078010074946607,0.2457,26.8441
MSFT,2019-10-24,137.24,137.0,29,0.0167,4.075,4.840708060924515,0.7657080609245153,0.3087,25.6541
MSFT,2019-10-31,144.61,145.0,29,0.0154,2.39,5.053473080852837,2.6634730808528366,0.2654,26.7642
MSFT,2019-11-07,144.06,144.0,29,0.0156,2.43,5.05584510089365,2.6258451008936494,0.261,26.4472
MSFT,2019-11-14,147.31,147.0,29,0.0157,2.55,5.399957828745302,2.8499578287453025,0.2519,26.3673
MSFT,2019-11-21,149.62,150.0,29,0.0158,2.81,5.1056883523711925,2.2956883523711924,0.2358,27.1528
MSFT,2019-11-29,152.32,152.5,28,0.0159,2.615,5.082705786692721,2.4677057866927212,0.2112,25.7357
MSFT,2019-12-06,149.93,150.0,28,0.0153,2.895,5.225578842263878,2.330578842263878,0.2481,25.9505
MSFT,2019-12-13,153.24,152.5,28,0.0157,3.3,5.678482872146537,2.378482872146537,0.2726,25.3915
MSFT,2019-12-20,155.71,155.0,28,0.0158,3.07,5.890212498059076,2.820212498059076,0.2648,26.0639
MSFT,2019-12-30,158.96,160.0,32,0.0157,3.675,5.576297761997278,1.9012977619972782,0.205,30.812
