ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2019-09-05,297.810846,298.0,29,0.0197,3.65,8.27941934690638,4.62941934690638,0.2458,27.8733
SPY,2019-09-12,301.265478,301.0,29,0.0195,3.67,8.506887160556637,4.836887160556637,0.2522,27.6611
SPY,2019-09-19,301.095829,301.0,29,0.0192999999999999,3.47,8.501279438739457,5.031279438739457,0.1514,28.7901
SPY,2019-09-26,296.855946,297.0,29,0.0183,5.02,8.264968958210186,3.244968958210187,0.2201,27.8551
SPY,2019-10-03,290.3112,290.0,29,0.017,6.4,8.128335206664932,1.7283352066649318,0.2726,27.6208
SPY,2019-10-10,293.156917,293.0,29,0.0168,5.89,8.38051184841362,2.490511848413621,0.2008,27.8209
SPY,2019-10-17,299.188886,299.0,29,0.0166,4.42,8.367680292866433,3.9476802928664334,0.0567,28.6379
SPY,2019-10-24,300.450964,300.0,29,0.0167,4.36,8.635885235704976,4.275885235704975,0.2296,27.846
SPY,2019-10-31,303.21962,303.0,29,0.0154,4.14,8.617959557257173,4.477959557257173,0.2365,27.8842
SPY,2019-11-07,308.164379,308.0,29,0.0156,4.07,8.56754905412449,4.497549054124489,0.2298,27.8325
SPY,2019-11-14,309.462203,309.5,15,0.0157,2.56,6.147371392900347,3.5873713929003466,0.2324,14.2757
SPY,2019-11-21,310.307562,310.5,8,0.0158,1.52,4.407422628630443,2.887422628630443,0.1595,7.4953
SPY,2019-11-29,314.18715,314.0,31,0.0159,3.69,9.292238978332982,5.6022389783329825,0.211,30.5492
SPY,2019-12-06,314.827815,315.0,31,0.0153,3.34,9.060348607720057,5.720348607720057,0.2373,30.0847
SPY,2019-12-13,317.246,317.0,31,0.0157,3.15,9.371649286166134,6.221649286166134,0.2508,30.2139
SPY,2019-12-20,320.968551,321.0,28,0.0158,3.78,8.61488615548465,4.83488615548465,0.3148,26.6505
SPY,2019-12-30,321.06748,321.0,30,0.0157,4.9,9.005433586117476,4.105433586117476,0.2178,28.832
SPY,2020-01-07,322.775218,323.0,29,0.0154,4.21,8.674791406961335,4.464791406961335,0.2588,27.9478
SPY,2020-01-14,327.480594,327.5,31,0.0157,4.46,9.369824304772147,4.909824304772147,0.2095,29.7775
SPY,2020-01-22,331.360904,331.5,9,0.0155,1.96,4.992481717160563,3.0324817171605627,0.1475,8.5783
SPY,2020-01-29,326.579025,327.0,30,0.0156,5.5,9.038704712719134,3.5387047127191344,0.2009,29.2371
SPY,2020-02-05,332.771338,333.0,30,0.0157,5.23,9.38134172464046,4.15134172464046,0.2295,28.8559
SPY,2020-02-12,337.421271,337.5,30,0.0158,4.58,9.764008253761201,5.184008253761201,0.2262,29.1671
SPY,2020-02-20,337.050099,337.0,29,0.0158,4.85,9.288208262061982,4.438208262061982,0.2494,27.8621
SPY,2020-02-27,297.846515,298.0,29,0.0144999999999999,10.87,8.172977749766803,-2.6970222502331964,0.1987,28.4322
SPY,2020-03-05,302.484089,302.5,29,0.0062,10.82,8.28245986120824,-2.53754013879176,0.3034,28.1154
SPY,2020-03-12,248.442997,248.0,27,0.0033,18.8,6.705109981996404,-12.094890018003596,0.2641,25.9637
SPY,2020-03-19,241.461228,241.0,29,0.0004,17.19,6.768759916470316,-10.421240083529685,0.2992,27.7077
SPY,2020-03-26,262.129371,262.0,29,0.0,15.16,7.050482325886696,-8.109517674113304,0.2915,28.0771
SPY,2020-04-02,251.948642,252.0,29,0.0009,13.43,6.646214361953281,-6.7837856380467185,0.2538,27.7617
SPY,2020-04-09,278.281151,278.0,29,0.0025,11.78,7.517613657861378,-4.262386342138622,0.2632,27.41
SPY,2020-04-17,286.791561,287.0,31,0.0012,10.7,7.802626793609336,-2.8973732063906636,0.2255,29.5671
SPY,2020-04-24,283.063804,283.0,28,0.0012,9.66,7.394090848563484,-2.2659091514365164,0.2608,26.867
SPY,2020-05-01,282.51405,283.0,31,0.0012,10.12,7.5495481642113855,-2.5704518357886137,0.2807,29.7516
SPY,2020-05-08,292.565882,293.0,31,0.0012,7.74,7.819767458913817,0.07976745891381665,0.2778,29.3797
SPY,2020-05-15,286.136517,286.0,31,0.0012,8.72,8.0249014381625,-0.6950985618375007,0.2007,30.0111
SPY,2020-05-22,295.460017,295.5,7,0.0012,3.42,4.0207322664268865,0.6007322664268866,0.1806,6.5597
SPY,2020-06-01,305.556179,306.0,30,0.0014,7.11,7.941733029982261,0.831733029982261,0.1962,29.0913
SPY,2020-06-08,323.263588,323.0,30,0.0017,6.79,8.774115537739416,1.9841155377394157,0.2398,28.5132
SPY,2020-06-15,306.901427,307.0,30,0.0018,9.5,8.566743576487763,-0.9332564235122369,0.2619,29.1703
SPY,2020-06-22,310.713541,311.0,30,0.0016,9.14,8.332552246263662,-0.8074477537363389,0.2296,28.7727
SPY,2020-06-30,309.039162,309.0,29,0.0016,8.06,8.293539971542733,0.23353997154273287,0.2581,27.7119
SPY,2020-07-08,316.064452,316.0,30,0.0015,8.55,8.677398370408156,0.12739837040815516,0.2045,28.5947
SPY,2020-07-15,321.841313,322.0,30,0.0016,8.32,8.754972987641235,0.4349729876412347,0.2449,28.9412
SPY,2020-07-22,326.803591,327.0,30,0.0013,7.08,8.636373203284629,1.556373203284629,0.3062,28.8458
SPY,2020-07-29,325.080228,325.0,30,0.0011,7.26,8.829052097846219,1.5690520978462192,0.2586,28.6816
SPY,2020-08-05,332.087104,332.0,30,0.001,6.98,9.077071916460582,2.0970719164605818,0.241,28.5765
SPY,2020-08-12,337.487641,337.0,30,0.0011,6.9,9.498905428125116,2.598905428125116,0.2656,28.5847
SPY,2020-08-19,337.159029,337.0,30,0.0011,6.79,9.358581425765157,2.5685814257651574,0.222,28.993
SPY,2020-08-26,347.589496,348.0,30,0.0011,6.31,9.21677531721169,2.9067753172116904,0.278,28.85
