ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2008-08-07,164.19,165.0,43,0.0166,8.675,10.811255517501623,2.1362555175016222,0.3045,39.1915
AAPL,2008-08-14,179.3,180.0,36,0.0189,8.575,10.570538966465095,1.9955389664650962,0.323,31.8505
AAPL,2008-08-21,175.84,175.0,29,0.0172,7.525,9.969281103899867,2.4442811038998666,0.2755,26.1815
AAPL,2008-08-28,174.67,175.0,22,0.0174,5.55,8.829723752073503,3.2797237520735036,0.1365,21.7115
AAPL,2008-09-05,161.22,160.0,42,0.0168,10.6,11.502021538022106,0.9020215380221064,0.2705,37.673
AAPL,2008-09-12,152.65,155.0,35,0.0149,7.6,8.151261577512132,0.5512615775121326,0.2515,31.136
AAPL,2008-09-19,134.09,135.0,28,0.0098999999999999,7.975,6.782074412285311,-1.1929255877146883,0.226,26.372
AAPL,2008-09-26,131.93,130.0,21,0.0087,8.825,7.1902678959631094,-1.6347321040368898,0.2505,19.682
AAPL,2008-10-03,100.1,100.0,14,0.0051,7.85,4.419491309259427,-3.430508690740573,0.16,13.533
AAPL,2008-10-10,88.74,90.0,42,0.0025,12.725,6.022222091673222,-6.702777908326778,0.2755,38.679
AAPL,2008-10-21,98.44,100.0,31,0.011,8.975,6.083386989251503,-2.8916130107484967,0.211,29.706
AAPL,2008-10-28,92.09,90.0,24,0.0077,8.225,6.365329979255807,-1.8596700207441925,0.311,21.4335
AAPL,2008-11-04,106.96,105.0,17,0.0048,7.475,6.530273887417297,-0.9447261125827024,0.269,15.993
AAPL,2008-11-11,95.88,95.0,38,0.0029,9.7,8.24529529103038,-1.4547047089696186,0.2865,36.0175
AAPL,2008-11-18,88.14,90.0,31,0.0012,7.7,5.566019148618818,-2.1339808513811818,0.1635,29.735
AAPL,2008-11-25,92.95,95.0,24,0.001,6.35,5.092689590958938,-1.2573104090410618,0.236,22.808
AAPL,2008-12-03,92.47,90.0,16,0.0002,7.575,6.782556333930156,-0.7924436660698442,0.2195,15.014
AAPL,2008-12-10,100.06,100.0,37,0.0,8.85,8.273000781719546,-0.576999218280454,0.2335,34.165
AAPL,2008-12-17,95.43,95.0,30,0.0005,7.175,6.784433356567629,-0.39056664343237113,0.3115,26.479
AAPL,2008-12-24,86.38,85.0,23,0.0,5.775,6.511156086500858,0.7361560865008574,0.1175,22.227
AAPL,2009-01-02,85.35,85.0,14,0.0008,4.525,4.524317991221275,-0.0006820087787255957,0.135,13.28
AAPL,2009-01-09,92.7,95.0,42,0.0007,6.75,6.7365710469387325,-0.013428953061267457,0.2855,38.3235
AAPL,2009-01-16,83.38,85.0,35,0.0012,5.825,6.412539004053747,0.5875390040537471,0.2865,31.61
AAPL,2009-01-26,88.36,90.0,25,0.0014,3.45,5.33779236186394,1.8877923618639398,0.1905,24.0
AAPL,2009-02-02,90.13,90.0,18,0.0027,3.825,5.520649064538226,1.6956490645382258,0.28,16.5055
AAPL,2009-02-09,99.72,100.0,39,0.0032,6.025,8.480865366193894,2.455865366193894,0.343,36.123
AAPL,2009-02-17,99.16,100.0,31,0.0032,5.25,7.548264118994055,2.298264118994055,0.204,28.626
AAPL,2009-02-24,86.95,85.0,24,0.0032,6.075,6.649743308137321,0.5747433081373208,0.349,20.894
AAPL,2009-03-03,87.94,90.0,17,0.0027,3.625,3.7518532257094646,0.12685322570946456,0.258,15.2865
AAPL,2009-03-10,83.11,85.0,38,0.0024,5.55,6.248933432172928,0.6989334321729279,0.26,35.3835
AAPL,2009-03-17,95.42,95.0,31,0.0024,5.85,7.5467296459293065,1.6967296459293069,0.3625,27.155
AAPL,2009-03-24,107.66,110.0,24,0.0021,3.975,6.393309739976383,2.4183097399763827,0.108,23.045
AAPL,2009-03-31,104.49,105.0,17,0.0021,4.075,5.843106445249147,1.7681064452491464,0.3075,15.455
AAPL,2009-04-07,118.45,120.0,38,0.002,7.4,9.215725665027126,1.8157256650271254,0.2785,34.8025
AAPL,2009-04-15,118.31,120.0,30,0.0015,6.45,8.183612669828712,1.7336126698287115,0.255,27.6985
AAPL,2009-04-22,121.76,120.0,23,0.0014,7.2,9.280193393430713,2.0801933934307124,0.269,21.14
AAPL,2009-04-29,123.902,125.0,16,0.0011,3.55,6.270890577373732,2.7208905773737317,0.2675,14.452
AAPL,2009-05-06,132.71,135.0,44,0.0019,6.025,11.598718905860117,5.573718905860117,0.3025,43.166
AAPL,2009-05-13,124.42,125.0,37,0.0017,6.65,10.577527771601721,3.9275277716017207,0.2555,34.17
AAPL,2009-05-20,127.45,125.0,30,0.0018,6.675,11.357620540553697,4.682620540553697,0.259,28.149
AAPL,2009-05-28,133.05,135.0,22,0.0015,4.1,8.529022841225292,4.429022841225292,0.208,21.43
AAPL,2009-06-04,140.95,140.0,43,0.0014,8.55,13.291872793044265,4.741872793044264,0.282,40.1475
AAPL,2009-06-11,140.25,140.0,36,0.0019,6.925,12.484039927452482,5.559039927452482,0.2065,34.0165
AAPL,2009-06-18,135.58,135.0,29,0.0018,6.6,11.113361508686015,4.513361508686016,0.2645,27.683
AAPL,2009-06-25,136.22,135.0,22,0.0018,5.425,9.752042887216586,4.327042887216586,0.262,20.169
AAPL,2009-07-02,142.83,145.0,15,0.0017,2.51,6.616477348583101,4.106477348583101,0.1825,14.471
AAPL,2009-07-10,136.36,135.0,42,0.0018,8.225,13.305065012793046,5.080065012793046,0.293,38.4275
