ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2008-08-06,26.21,26.0,44,0.0163999999999999,1.16,1.37991279924654,0.21991279924654017,0.3365,39.9695
MSFT,2008-08-13,28.12,28.0,37,0.0185,1.115,1.4093449311326272,0.29434493113262716,0.3355,35.566
MSFT,2008-08-20,27.32,27.0,30,0.0171,1.125,1.2592294859599418,0.13422948595994177,0.3715,25.5505
MSFT,2008-08-27,27.27,27.0,23,0.0167,0.945,1.180175078051074,0.23517507805107407,0.349,20.1245
MSFT,2008-09-04,26.9,27.0,43,0.0169,1.12,1.3546430368861813,0.23464303688618116,0.229,40.106
MSFT,2008-09-11,26.44,26.0,36,0.0161,1.355,1.4414378437128226,0.08643784371282259,0.3035,32.302
MSFT,2008-09-18,24.57,25.0,29,0.0023,1.23,0.8277608228046673,-0.40223917719533264,0.176,27.5645
MSFT,2008-09-25,25.72,26.0,22,0.0076,0.94,0.7983567011683507,-0.14164329883164928,0.1465,21.304
MSFT,2008-10-02,26.48,26.0,15,0.0063,1.31,1.471066079634939,0.16106607963493902,0.2885,13.8865
MSFT,2008-10-09,23.01,23.0,43,0.006,2.115,1.68606127516577,-0.42893872483423023,0.339,39.997
MSFT,2008-10-17,24.19,24.0,35,0.0083,2.185,1.8085492590965915,-0.3764507409034086,0.486,30.9705
MSFT,2008-10-24,22.32,22.0,28,0.0089,2.03,1.5493568513181544,-0.48064314868184543,0.3825,25.1615
MSFT,2008-10-31,22.63,23.0,21,0.0046,1.115,1.4119812593840304,0.2969812593840304,0.266,19.8765
MSFT,2008-11-07,20.88,21.0,42,0.0031,1.64,1.9552773666762073,0.3152773666762074,0.25,38.754
MSFT,2008-11-14,21.25,21.0,35,0.0015,1.675,1.994444261743047,0.31944426174304685,0.3555,31.4045
MSFT,2008-11-21,17.53,17.5,56,0.0002,2.23,1.916778350802822,-0.313221649197178,0.241,51.9275
MSFT,2008-12-01,20.22,20.0,18,0.0007,1.185,0.932807537477872,-0.252192462522128,0.1005,16.974
