ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2014-01-10,184.034274,184.0,28,0.0005,2.12,2.766712236875424,0.6467122368754237,0.232,25.428
SPY,2014-01-17,183.697407,183.5,28,0.0005,2.25,2.7658451150723375,0.5158451150723375,0.314,24.5695
SPY,2014-01-27,178.028708,178.0,32,0.0005,3.08,3.005215626008727,-0.07478437399127325,0.2885,28.9165
SPY,2014-02-03,174.09729,174.0,32,0.0005,3.76,2.878920384230145,-0.8810796157698548,0.335,29.2185
SPY,2014-02-10,180.029848,180.0,32,0.0007,2.75,3.002645791898559,0.25264579189855896,0.252,30.2485
SPY,2014-02-18,184.270058,184.5,24,0.0005,1.94,2.4433038445456985,0.5033038445456985,0.2075,22.6395
SPY,2014-02-25,184.775684,185.0,31,0.0005,2.31,3.1112340592778165,0.8012340592778164,0.2825,30.288
SPY,2014-03-04,187.72152,187.5,31,0.0005,2.33,3.2577806190157155,0.9277806190157154,0.323,28.512
SPY,2014-03-11,187.194039,187.0,31,0.0005,2.33,3.198251122859557,0.8682511228595571,0.3475,27.661
SPY,2014-03-18,187.73373,187.5,24,0.0005,1.98,2.7001564811729954,0.7201564811729955,0.31,22.1915
SPY,2014-03-25,186.269224,186.5,31,0.0005,2.5,2.948339194442253,0.4483391944422528,0.256,28.168
SPY,2014-04-01,188.316685,188.5,31,0.0004,2.38,3.017337736323908,0.6373377363239081,0.2365,28.36
SPY,2014-04-08,185.066742,185.0,31,0.0003,2.87,3.0153068161316208,0.14530681613162066,0.3125,27.718
SPY,2014-04-15,184.203993,184.0,32,0.0004,3.22,3.178359225311644,-0.04164077468835625,0.1935,30.854
SPY,2014-04-23,187.473354,187.5,30,0.0002,2.62,3.143062414072707,0.5230624140727067,0.1815,29.593
SPY,2014-04-30,188.35254,188.5,30,0.0003,2.41,3.1185870688216184,0.7085870688216183,0.2665,28.19
SPY,2014-05-07,187.886821,188.0,30,0.0003,2.5,3.0480072264586116,0.5480072264586116,0.2665,27.45
SPY,2014-05-14,189.084826,189.0,30,0.0003,2.34,3.1609009954110903,0.8209009954110904,0.347,28.301
SPY,2014-05-21,189.113585,189.0,31,0.0004,2.2,3.1585952154983734,0.9585952154983732,0.154,29.992
SPY,2014-05-29,192.382646,192.5,29,0.0004,1.75,2.917576943503407,1.167576943503407,0.2795,26.726
SPY,2014-06-05,194.492433,194.5,28,0.0004,1.75,3.0856114867172346,1.3356114867172346,0.117,27.2375
SPY,2014-06-12,193.57314,193.5,29,0.0004,1.81,2.9135625811270085,1.1035625811270084,0.255,28.086
SPY,2014-06-19,196.535916,196.5,36,0.0002,1.6,3.6162071313623865,2.0162071313623864,0.146,35.442
SPY,2014-06-26,195.426696,195.5,29,0.0004,1.96,2.9989665253044975,1.0389665253044975,0.2585,26.183
SPY,2014-07-03,198.305847,198.5,29,0.0001,1.64,2.90441600257988,1.2644160025798803,0.311,26.5325
SPY,2014-07-11,196.615496,196.5,28,0.0002,2.21,2.9704885066168103,0.7604885066168103,0.2765,25.847
SPY,2014-07-18,197.719586,197.5,35,0.0002,2.5,3.490307784645946,0.990307784645946,0.279,32.8245
SPY,2014-07-25,197.744036,197.5,28,0.0003,2.33,2.958597698941514,0.6285976989415141,0.244,26.418
SPY,2014-08-01,192.49763,192.5,28,0.0003,3.05,2.814563928318085,-0.2354360716819146,0.231,26.4655
SPY,2014-08-08,193.263618,193.5,28,0.0003,2.63,2.8151751531749967,0.18517515317499678,0.277,25.485
SPY,2014-08-15,195.727915,195.5,28,0.0003,2.5,2.9396828615054944,0.4396828615054944,0.2665,25.831
SPY,2014-08-22,199.147596,199.0,29,0.0003,2.12,3.1401650338543945,1.0201650338543944,0.309,26.492
SPY,2014-08-29,200.72639,200.0,28,0.0003,2.16,3.224865246236421,1.0648652462364208,0.3285,25.529
SPY,2014-09-08,200.631279,200.5,32,0.0002,1.94,3.210548423803365,1.270548423803365,0.354,28.0945
SPY,2014-09-15,198.977082,199.0,33,0.0002,2.27,3.043649027024778,0.7736490270247778,0.149,31.6415
SPY,2014-09-22,199.087455,199.0,32,0.0001,2.67,3.218350457398792,0.5483504573987923,0.2075,30.6435
SPY,2014-09-29,197.516384,197.5,32,0.0002,3.04,2.9756748940328945,-0.0643251059671055,0.3105,28.2775
SPY,2014-10-06,196.27112,196.5,32,0.0002,2.96,2.821042316060383,-0.13895768393961694,0.2645,29.4135
SPY,2014-10-13,187.380937,187.5,32,0.0001,4.58,2.897419191185792,-1.6825808088142082,0.2905,30.1825
SPY,2014-10-20,190.325776,190.5,33,0.0002,3.69,3.036845843730997,-0.6531541562690029,0.2975,30.2015
SPY,2014-10-27,196.103723,196.0,32,0.0002,3.42,3.1360247411449147,-0.28397525885508523,0.2525,29.5185
SPY,2014-11-03,201.744762,201.5,32,0.0002,3.2,3.2004888221708105,0.0004888221708103657,0.2585,29.4215
SPY,2014-11-10,203.965709,204.0,32,0.0002,2.55,3.444166714843207,0.8941667148432071,0.245,29.476
SPY,2014-11-17,204.377756,204.5,25,0.0003,2.26,2.9294414470168006,0.6694414470168009,0.238,22.7455
SPY,2014-11-24,207.271353,207.5,32,0.0002,1.98,3.2190764917817423,1.2390764917817423,0.319,28.56
SPY,2014-12-02,207.090256,207.0,29,0.0003,2.15,3.165194631049768,1.0151946310497681,0.309,26.6965
SPY,2014-12-09,206.506174,206.5,31,0.0004,2.29,3.219549081477562,0.9295490814775618,0.3,27.7605
SPY,2014-12-16,197.893925,198.0,32,0.0003,3.9,3.169579188150145,-0.730420811849855,0.22,30.1135
SPY,2014-12-23,207.762161,208.0,31,0.0003,2.98,2.9341704777839217,-0.04582952221607828,0.243,28.729
SPY,2014-12-31,205.503394,205.5,30,0.0004,3.65,2.940011466978179,-0.709988533021821,0.335,27.511
