ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2018-10-05,112.79,113.0,28,0.0223,3.2,2.95089779078851,-0.24910220921149007,0.253,26.764
MSFT,2018-10-12,105.91,106.0,28,0.0227999999999999,4.15,2.78144576289865,-1.3685542371013502,0.328,25.934
MSFT,2018-10-19,108.5,108.0,35,0.0231,4.35,3.5735716279232026,-0.776428372076797,0.2105,33.9515
MSFT,2018-10-26,108.3,108.0,28,0.0233,3.525,3.1734167146836727,-0.3515832853163272,0.282,26.5995
MSFT,2018-11-02,105.92,106.0,28,0.0233,3.04,3.507807485137492,0.46780748513749204,0.341,24.232
MSFT,2018-11-09,111.75,112.0,28,0.0236,2.51,3.640090312407994,1.1300903124079942,0.297,24.9635
MSFT,2018-11-16,107.28,107.0,28,0.0236,3.9,3.843671932799964,-0.056328067200035914,0.2065,26.213
MSFT,2018-11-26,103.07,103.0,32,0.0241,3.875,3.807585239582763,-0.06741476041723704,0.2355,29.521
MSFT,2018-12-03,110.89,111.0,32,0.0237999999999999,3.375,4.223334149625852,0.8483341496258516,0.34,30.498
MSFT,2018-12-10,104.82,105.0,32,0.0241,4.025,3.791114316552352,-0.23388568344764815,0.296,28.7105
MSFT,2018-12-17,106.03,106.0,25,0.024,3.6,3.666869991908773,0.06686999190877296,0.21,24.0025
MSFT,2018-12-24,98.23,98.0,31,0.0245,4.375,3.8612397241421434,-0.5137602758578566,0.3045,28.9555
MSFT,2019-01-02,101.57,102.0,30,0.0242,4.4,4.2019694087041755,-0.1980305912958249,0.276,27.2545
MSFT,2019-01-09,102.8,103.0,30,0.0245,4.15,4.581538124550885,0.4315381245508849,0.3515,25.695
MSFT,2019-01-16,105.01,105.0,30,0.0243,3.725,4.720594551147306,0.9955945511473057,0.2195,27.0585
MSFT,2019-01-24,106.71,107.0,29,0.0237,3.425,4.662886022436243,1.2378860224362436,0.222,26.663
MSFT,2019-01-31,106.38,106.0,29,0.0241,3.7,4.806176593724973,1.1061765937249728,0.14,27.1625
MSFT,2019-02-07,106.03,106.0,29,0.0242,2.385,4.335210259867468,1.9502102598674682,0.161,27.4545
MSFT,2019-02-14,106.81,107.0,36,0.0243,2.485,4.674421082923452,2.189421082923452,0.143,34.6855
MSFT,2019-02-22,109.41,109.0,28,0.0246,2.725,4.687267219776193,1.962267219776193,0.2765,26.049
MSFT,2019-03-01,112.03,112.0,28,0.0243999999999999,2.6,3.789219999154459,1.1892199991544588,0.313,26.441
MSFT,2019-03-08,110.39,110.0,28,0.0246,2.805,3.6875262265860296,0.8825262265860294,0.269,25.101
MSFT,2019-03-15,114.59,115.0,28,0.0245,2.015,3.9237392909786157,1.9087392909786156,0.285,26.1985
MSFT,2019-03-22,120.22,120.0,27,0.0246,2.76,4.104416771991779,1.3444167719917788,0.21,25.832
MSFT,2019-03-29,116.93,117.0,28,0.024,2.935,4.161420831502856,1.2264208315028555,0.208,26.4205
MSFT,2019-04-05,119.36,119.0,28,0.0243999999999999,3.475,4.286632329013107,0.8116323290131073,0.2285,27.1695
MSFT,2019-04-12,120.33,120.0,28,0.0243999999999999,3.375,4.6720515942122764,1.2970515942122764,0.3435,26.024
MSFT,2019-04-22,123.37,123.0,31,0.0243999999999999,3.35,4.689711749399688,1.339711749399688,0.2155,29.441
MSFT,2019-04-29,129.89,130.0,32,0.0243999999999999,2.515,4.981199570799594,2.4661995707995943,0.3115,30.752
MSFT,2019-05-06,126.21,125.0,24,0.0243999999999999,3.16,4.741759928839796,1.581759928839796,0.4155,21.1925
MSFT,2019-05-13,127.13,127.0,32,0.0241,3.25,5.171365000590696,1.9213650005906961,0.341,28.495
MSFT,2019-05-20,128.07,128.0,24,0.0239,3.255,4.313004911166536,1.0580049111665364,0.137,23.1345
MSFT,2019-05-28,126.18,126.0,9,0.0237,2.465,2.483505741083807,0.01850574108380698,0.1435,8.612
MSFT,2019-06-04,119.84,120.0,31,0.0235,3.875,3.961132391038165,0.08613239103816506,0.2535,29.2335
MSFT,2019-06-11,132.6,133.0,31,0.0227,3.275,4.497378010277066,1.2223780102770658,0.234,29.6245
MSFT,2019-06-18,132.85,133.0,24,0.0222,2.825,3.8573984209613656,1.0323984209613655,0.299,21.1695
MSFT,2019-06-25,137.78,138.0,31,0.0212,3.8,4.878209259100868,1.078209259100868,0.312,29.361
MSFT,2019-07-02,135.68,136.0,31,0.022,3.55,4.797180732354111,1.2471807323541109,0.382,26.851
MSFT,2019-07-10,136.46,136.0,30,0.022,3.95,5.771860858001486,1.821860858001486,0.319,27.8965
MSFT,2019-07-17,137.08,137.0,23,0.0214,3.5,4.76206515268805,1.2620651526880504,0.255,22.1255
MSFT,2019-07-24,139.29,139.0,30,0.021,2.85,6.005654826626751,3.155654826626751,0.215,29.228
MSFT,2019-07-31,140.35,140.0,30,0.0208,2.985,5.382936943484081,2.397936943484081,0.3655,28.8235
MSFT,2019-08-07,134.69,135.0,30,0.0202,3.725,4.730169734850937,1.0051697348509365,0.1705,28.878
MSFT,2019-08-14,138.6,139.0,30,0.0196,3.275,5.028563344861114,1.753563344861114,0.1895,29.062
MSFT,2019-08-21,137.26,137.0,30,0.0197,3.9,5.041681534410719,1.141681534410719,0.2605,27.2805
MSFT,2019-08-28,135.74,136.0,30,0.0199,3.925,4.480347561808258,0.555347561808258,0.1725,27.944
MSFT,2019-09-05,137.63,138.0,29,0.0197,3.525,4.928076985571692,1.4030769855716918,0.246,27.119
MSFT,2019-09-12,136.12,136.0,29,0.0195,3.6,5.136298321549124,1.5362983215491242,0.272,26.2915
MSFT,2019-09-19,138.52,139.0,36,0.0192999999999999,4.275,5.284907249381838,1.009907249381838,0.2615,34.0955
MSFT,2019-09-26,139.36,139.0,29,0.0183,4.625,5.50006135553788,0.8750613555378797,0.374,26.8875
