ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2018-10-05,112.79,113.0,28,0.0223,3.2,3.0291099949267077,-0.17089000507329244,0.2655,26.5495
MSFT,2018-10-12,105.91,106.0,28,0.0227999999999999,4.15,2.8949027867616515,-1.2550972132383489,0.3395,25.5855
MSFT,2018-10-19,108.5,108.0,35,0.0231,4.35,3.5480778408207696,-0.80192215917923,0.2715,31.3495
MSFT,2018-10-26,108.3,108.0,28,0.0233,3.525,3.2939206913835597,-0.23107930861644022,0.296,26.216
MSFT,2018-11-02,105.92,106.0,28,0.0233,3.04,3.2092915564093145,0.16929155640931448,0.375,24.3915
MSFT,2018-11-09,111.75,112.0,28,0.0236,2.51,3.283752942635141,0.773752942635141,0.306,24.8475
MSFT,2018-11-16,107.28,107.0,28,0.0236,3.9,3.4365089730347353,-0.46349102696526456,0.2415,26.2745
MSFT,2018-11-26,103.07,103.0,32,0.0241,3.875,3.4694994234845673,-0.4055005765154327,0.283,29.4415
MSFT,2018-12-03,110.89,111.0,32,0.0237999999999999,3.375,3.791572955439741,0.41657295543974104,0.2915,29.2845
MSFT,2018-12-10,104.82,105.0,32,0.0241,4.025,3.4947010842777773,-0.5302989157222231,0.333,28.1595
MSFT,2018-12-17,106.03,106.0,25,0.024,3.6,3.3387484711236857,-0.2612515288763144,0.2385,23.213
MSFT,2018-12-24,98.23,98.0,31,0.0245,4.375,3.508223662958767,-0.8667763370412329,0.338,28.2805
MSFT,2019-01-02,101.57,102.0,30,0.0242,4.4,3.2962034526123767,-1.1037965473876237,0.2865,27.7055
MSFT,2019-01-09,102.8,103.0,30,0.0245,4.15,3.5861854534881332,-0.5638145465118671,0.307,27.8735
MSFT,2019-01-16,105.01,105.0,30,0.0243,3.725,3.8004141387043893,0.07541413870438918,0.192,28.87
MSFT,2019-01-24,106.71,107.0,29,0.0237,3.425,3.73137191773969,0.30637191773968997,0.2065,27.357
MSFT,2019-01-31,106.38,106.0,29,0.0241,3.7,4.343909369180273,0.6439093691802729,0.1705,27.9335
MSFT,2019-02-07,106.03,106.0,29,0.0242,2.385,3.8230713718121123,1.4380713718121125,0.227,27.0245
MSFT,2019-02-14,106.81,107.0,36,0.0243,2.485,4.136412849801702,1.651412849801702,0.066,34.647
MSFT,2019-02-22,109.41,109.0,28,0.0246,2.725,4.263159826330222,1.5381598263302219,0.1095,27.537
MSFT,2019-03-01,112.03,112.0,28,0.0243999999999999,2.6,3.8557510874907392,1.2557510874907392,0.33,25.024
MSFT,2019-03-08,110.39,110.0,28,0.0246,2.805,3.8161859383342533,1.0111859383342532,0.369,23.815
MSFT,2019-03-15,114.59,115.0,28,0.0245,2.015,4.133310462123169,2.1183104621231688,0.281,25.851
MSFT,2019-03-22,120.22,120.0,27,0.0246,2.76,4.337136130906984,1.5771361309069842,0.231,25.9885
MSFT,2019-03-29,116.93,117.0,28,0.024,2.935,4.338549789515347,1.4035497895153468,0.238,26.471
MSFT,2019-04-05,119.36,119.0,28,0.0243999999999999,3.475,4.409539421161458,0.9345394211614582,0.14,27.1695
MSFT,2019-04-12,120.33,120.0,28,0.0243999999999999,3.375,4.650045947078675,1.2750459470786746,0.3185,25.3715
MSFT,2019-04-22,123.37,123.0,31,0.0243999999999999,3.35,4.676391221555381,1.3263912215553808,0.1895,29.765
MSFT,2019-04-29,129.89,130.0,32,0.0243999999999999,2.515,4.915106551639727,2.4001065516397273,0.3115,30.6975
MSFT,2019-05-06,126.21,125.0,24,0.0243999999999999,3.16,4.788466371282155,1.6284663712821548,0.3145,21.456
