ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2019-09-06,213.28,212.5,28,0.0196,6.525,10.562490278178437,4.037490278178437,0.2475,25.5305
AAPL,2019-09-13,223.085,222.5,28,0.0196,6.35,11.640404902959137,5.290404902959137,0.369,26.3685
AAPL,2019-09-20,220.96,220.0,28,0.0191,6.35,11.96011879183105,5.6101187918310504,0.195,27.0035
AAPL,2019-09-27,219.89,220.0,28,0.018,6.05,10.802189397855207,4.752189397855207,0.163,26.6195
AAPL,2019-10-04,220.82,220.0,28,0.0171,8.45,9.735180603983775,1.2851806039837754,0.233,26.052
AAPL,2019-10-11,230.09,230.0,28,0.0168,7.875,9.225694380625539,1.350694380625539,0.3105,26.137
AAPL,2019-10-18,235.28,235.0,28,0.0166,6.875,10.373165348674819,3.498165348674819,0.219,26.7225
AAPL,2019-10-25,243.58,242.5,28,0.0166,7.5,11.101342833765148,3.6013428337651483,0.2675,27.1315
AAPL,2019-11-01,248.76,250.0,28,0.0152,4.75,10.708763755323991,5.958763755323991,0.088,27.8345
AAPL,2019-11-08,259.43,260.0,28,0.0155,4.95,10.437067868973823,5.487067868973823,0.212,26.6415
AAPL,2019-11-15,262.64,262.5,28,0.0157,5.9,11.788723302394922,5.888723302394922,0.275,25.617
AAPL,2019-11-22,262.01,262.5,28,0.0158,6.725,11.355851801889688,4.630851801889689,0.2595,26.48
AAPL,2019-12-02,267.25,267.5,32,0.016,6.7,12.261059406003092,5.561059406003092,0.1985,30.5085
AAPL,2019-12-09,270.71,270.0,32,0.0154,7.45,12.992916020115347,5.542916020115347,0.0605,31.7445
AAPL,2019-12-16,275.15,275.0,32,0.0157,6.725,12.518134780287186,5.793134780287186,0.3285,28.895
AAPL,2019-12-23,279.44,280.0,32,0.0159,6.25,13.019795493378762,6.769795493378762,0.237,30.18
AAPL,2019-12-31,291.52,292.5,31,0.0155,9.825,12.946147535914593,3.1211475359145933,0.1955,29.4905
AAPL,2020-01-08,298.39,297.5,30,0.0154,10.95,13.471749379687681,2.521749379687682,0.108,28.92
AAPL,2020-01-15,312.68,312.5,30,0.0157,12.7,12.629395555305921,-0.07060444469407834,0.267,27.9445
AAPL,2020-01-23,317.7,317.5,29,0.0155,10.35,12.893702172875095,2.5437021728750953,0.2445,26.991
AAPL,2020-01-30,324.34,325.0,29,0.0157,8.625,12.93206743439113,4.307067434391129,0.2995,26.6815
AAPL,2020-02-06,321.45,322.5,29,0.0157,8.45,14.302240212699079,5.85224021269908,0.1505,27.978
AAPL,2020-02-13,327.2,327.5,29,0.0159,9.05,15.787541411975756,6.737541411975755,0.174,28.3975
AAPL,2020-02-21,320.3,320.0,28,0.0156,9.075,14.629033778276888,5.554033778276889,0.1955,26.783
AAPL,2020-02-28,273.52,272.5,28,0.0127,14.575,13.007421015488047,-1.567578984511952,0.3225,26.0465
AAPL,2020-03-06,292.92,292.5,28,0.0045,15.675,23.14299487164091,7.467994871640908,0.456,24.43
AAPL,2020-03-13,248.23,247.5,21,0.0028,20.475,18.00535665991676,-2.469643340083241,0.228,19.899
AAPL,2020-03-20,244.78,245.0,28,0.0005,21.0,19.84089065826196,-1.1591093417380414,0.065,27.5785
AAPL,2020-03-27,258.44,257.5,28,0.0003,17.425,22.63879833668217,5.213798336682171,0.1445,27.107
AAPL,2020-04-03,244.93,245.0,28,0.001,15.875,32.11442759531975,16.239427595319754,0.3725,24.892
AAPL,2020-04-13,267.99,267.5,25,0.0026,12.675,27.329847037891575,14.654847037891575,0.5695,16.184
AAPL,2020-04-20,282.8,282.5,32,0.0012,14.05,32.978905550802054,18.928905550802053,0.664,20.0485
AAPL,2020-04-27,282.97,282.5,32,0.0012,12.725,38.23147965186591,25.50647965186591,0.262,29.646
AAPL,2020-05-04,289.07,290.0,32,0.0013,11.525,20.0422171236045,8.517217123604501,0.306,29.741
AAPL,2020-05-11,310.13,310.0,32,0.0012,10.575,21.061567003334073,10.486567003334073,0.3615,28.6665
AAPL,2020-05-18,307.71,307.5,25,0.0013,10.7,18.036700625517653,7.336700625517654,0.231,24.3555
AAPL,2020-05-26,318.89,320.0,31,0.0014,9.975,20.74835404399591,10.77335404399591,0.1575,29.4965
AAPL,2020-06-02,321.85,322.5,30,0.0015,9.8,14.038655949879416,4.238655949879416,0.2505,28.895
AAPL,2020-06-09,333.46,332.5,31,0.0019,10.2,15.461428278117879,5.261428278117879,0.2385,28.923
AAPL,2020-06-16,342.99,342.5,38,0.0017,15.1,17.969936552993,2.8699365529930017,0.3095,35.192
