ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2019-09-05,137.63,138.0,29,0.0197,3.525,4.708820249749752,1.1838202497497519,0.165,27.1525
MSFT,2019-09-12,136.12,136.0,29,0.0195,3.6,4.693409111241281,1.093409111241281,0.282,25.483
MSFT,2019-09-19,138.52,139.0,36,0.0192999999999999,4.275,5.418748372760774,1.1437483727607738,0.281,32.2415
MSFT,2019-09-26,139.36,139.0,29,0.0183,4.625,5.106255119405437,0.48125511940543664,0.246,26.725
MSFT,2019-10-03,134.65,135.0,29,0.017,4.8,4.483758018370384,-0.3162419816296156,0.22,27.6545
MSFT,2019-10-10,138.24,138.0,29,0.0168,4.45,4.612876920503791,0.1628769205037912,0.2935,26.1295
MSFT,2019-10-17,140.41,140.0,29,0.0166,4.125,4.881412103274703,0.7564121032747027,0.2995,26.736
MSFT,2019-10-24,137.24,137.0,29,0.0167,4.075,4.666666166048432,0.5916661660484319,0.363,25.572
MSFT,2019-10-31,144.61,145.0,29,0.0154,2.39,4.969085718810393,2.579085718810393,0.143,28.2985
MSFT,2019-11-07,144.06,144.0,29,0.0156,2.43,4.763780180970984,2.3337801809709835,0.264,26.7275
MSFT,2019-11-14,147.31,147.0,29,0.0157,2.55,5.0390946991593735,2.4890946991593736,0.192,27.074
MSFT,2019-11-21,149.62,150.0,29,0.0158,2.81,4.739627307937363,1.9296273079373631,0.231,26.315
MSFT,2019-11-29,152.32,152.5,28,0.0159,2.615,4.925860638468333,2.3108606384683332,0.2235,26.538
MSFT,2019-12-06,149.93,150.0,28,0.0153,2.895,5.012567941996674,2.117567941996674,0.2305,26.0905
MSFT,2019-12-13,153.24,152.5,28,0.0157,3.3,5.740032634039444,2.4400326340394445,0.1145,26.8405
MSFT,2019-12-20,155.71,155.0,28,0.0158,3.07,5.645015929830728,2.575015929830728,0.271,25.963
MSFT,2019-12-30,158.96,160.0,32,0.0157,3.675,5.306185531309784,1.631185531309784,0.1775,29.7745
MSFT,2020-01-07,159.03,160.0,31,0.0154,3.8,4.924595463123507,1.1245954631235069,0.2115,28.569
MSFT,2020-01-14,163.28,162.5,31,0.0157,4.65,6.009523752606222,1.359523752606222,0.242,28.466
MSFT,2020-01-22,166.5,167.5,30,0.0155,3.975,4.946079841244563,0.9710798412445629,0.2545,27.6545
MSFT,2020-01-29,165.46,165.0,30,0.0156,4.775,5.905044627795948,1.1300446277959475,0.1605,28.4465
MSFT,2020-02-05,180.12,180.0,30,0.0157,4.45,6.106529630770068,1.656529630770068,0.231,28.227
MSFT,2020-02-12,184.44,185.0,30,0.0158,5.875,6.033421226929686,0.1584212269296863,0.2725,27.484
MSFT,2020-02-20,187.28,187.5,36,0.0158,5.45,6.9709613844500415,1.5209613844500414,0.323,31.7685
MSFT,2020-02-27,170.17,170.0,29,0.0144999999999999,7.0,5.736880088065882,-1.263119911934118,0.3585,26.835
MSFT,2020-03-05,170.55,170.0,29,0.0062,7.425,6.0532225521459075,-1.3717774478540923,0.215,26.6155
MSFT,2020-03-12,153.63,152.5,28,0.0033,11.325,5.970381087963011,-5.3546189120369885,0.3335,26.183
MSFT,2020-03-19,140.4,140.0,29,0.0004,14.05,4.869076705796398,-9.180923294203602,0.2635,26.815
MSFT,2020-03-26,146.92,147.0,29,0.0,10.275,5.038924412840798,-5.236075587159203,0.1365,27.905
MSFT,2020-04-02,152.11,152.5,29,0.0009,9.7,6.929742881189164,-2.770257118810835,0.117,27.832
MSFT,2020-04-09,165.13,165.0,29,0.0025,7.95,8.155518222779849,0.20551822277984844,0.2515,27.7455
MSFT,2020-04-17,177.04,177.5,35,0.0012,8.85,9.047822355644149,0.19782235564414918,0.2775,31.366
MSFT,2020-04-24,171.42,172.5,28,0.0012,7.775,7.395730636692691,-0.3792693633073094,0.216,26.71
MSFT,2020-05-01,179.21,180.0,28,0.0012,5.35,8.71891675253695,3.3689167525369506,0.174,26.5795
MSFT,2020-05-08,183.6,182.5,28,0.0012,6.525,9.703483848591455,3.178483848591455,0.183,26.261
MSFT,2020-05-15,180.53,180.0,28,0.0012,6.775,9.273121242449735,2.4981212424497343,0.187,27.3685
MSFT,2020-05-22,183.43,182.5,28,0.0012,6.4,9.147643607723207,2.747643607723207,0.2845,25.178
MSFT,2020-06-01,183.25,182.5,31,0.0014,6.475,9.696086404795198,3.221086404795198,0.1765,30.0815
MSFT,2020-06-08,187.2,187.5,32,0.0017,4.75,8.841784153191972,4.091784153191972,0.1905,28.738
MSFT,2020-06-15,187.74,187.5,25,0.0018,7.35,8.20582833920609,0.8558283392060897,0.2215,23.41
MSFT,2020-06-22,195.15,195.0,32,0.0016,8.375,10.704905433606356,2.3299054336063563,0.145,30.544
MSFT,2020-06-29,196.33,197.5,32,0.0014,8.125,9.203617196380298,1.0786171963802982,0.1485,29.504
MSFT,2020-07-07,210.7,210.0,31,0.0015,8.425,11.48421226552115,3.0592122655211487,0.147,29.1165
MSFT,2020-07-14,207.07,207.5,31,0.0015,9.875,10.564697730667532,0.6896977306675325,0.1615,29.7735
MSFT,2020-07-21,211.6,212.5,31,0.0013,8.425,9.85315743328513,1.4281574332851292,0.185,28.4755
MSFT,2020-07-28,203.85,205.0,31,0.0011,6.4,9.328926273307726,2.9289262733077255,0.2205,28.7355
MSFT,2020-08-04,216.54,217.5,31,0.0009,8.2,9.981848298451709,1.7818482984517097,0.1605,28.9515
MSFT,2020-08-11,208.25,207.5,31,0.0011,8.425,10.436873471106624,2.0118734711066235,0.395,28.496
MSFT,2020-08-18,210.28,210.0,31,0.0009,7.175,9.371748682301972,2.1967486823019717,0.197,28.4875
MSFT,2020-08-25,213.69,212.5,31,0.0011,8.2,11.583352804972773,3.3833528049727732,0.2725,28.6625
