ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2008-08-07,164.19,165.0,43,0.0166,8.675,10.648804356486222,1.9738043564862213,0.2552,39.3046
AAPL,2008-08-14,179.3,180.0,36,0.0189,8.575,10.79339517627795,2.2183951762779515,0.1979,33.9811
AAPL,2008-08-21,175.84,175.0,29,0.0172,7.525,10.380211161180691,2.8552111611806907,0.1891,27.3288
AAPL,2008-08-28,174.67,175.0,22,0.0174,5.55,8.33637600368096,2.786376003680961,0.2406,20.0282
AAPL,2008-09-05,161.22,160.0,42,0.0168,10.6,11.284281277813369,0.6842812778133691,0.2843,37.9632
AAPL,2008-09-12,152.65,155.0,35,0.0149,7.6,8.084309220735715,0.4843092207357156,0.2599,32.0163
AAPL,2008-09-19,134.09,135.0,28,0.0098999999999999,7.975,6.892307399032111,-1.0826926009678886,0.2262,26.2453
AAPL,2008-09-26,131.93,130.0,21,0.0087,8.825,7.105391249046073,-1.7196087509539266,0.3272,18.366
AAPL,2008-10-03,100.1,100.0,14,0.0051,7.85,4.504313070486583,-3.345686929513417,0.1764,13.5002
AAPL,2008-10-10,88.74,90.0,42,0.0025,12.725,5.9800563059371745,-6.744943694062825,0.2055,39.2189
AAPL,2008-10-21,98.44,100.0,31,0.011,8.975,5.66980171985748,-3.3051982801425197,0.2015,28.7803
AAPL,2008-10-28,92.09,90.0,24,0.0077,8.225,6.225608754899554,-1.9993912451004459,0.2835,21.5886
AAPL,2008-11-04,106.96,105.0,17,0.0048,7.475,6.623888653302539,-0.8511113466974605,0.3085,15.2358
AAPL,2008-11-11,95.88,95.0,38,0.0029,9.7,8.082271713287676,-1.6177282867123228,0.2354,34.7763
AAPL,2008-11-18,88.14,90.0,31,0.0012,7.7,5.3627856271867715,-2.3372143728132286,0.2059,29.0041
AAPL,2008-11-25,92.95,95.0,24,0.001,6.35,5.019685459979703,-1.3303145400202965,0.1911,22.6533
AAPL,2008-12-03,92.47,90.0,16,0.0002,7.575,6.347004290126836,-1.2279957098731638,0.2993,14.1474
AAPL,2008-12-10,100.06,100.0,37,0.0,8.85,8.296276135799959,-0.553723864200041,0.2351,34.4149
AAPL,2008-12-17,95.43,95.0,30,0.0005,7.175,7.2653726654187105,0.0903726654187107,0.2345,27.9575
AAPL,2008-12-24,86.38,85.0,23,0.0,5.775,6.401488634362065,0.6264886343620644,0.1856,21.8733
AAPL,2009-01-02,85.35,85.0,14,0.0008,4.525,4.4482991585306175,-0.07670084146938283,0.222,12.9989
AAPL,2009-01-09,92.7,95.0,42,0.0007,6.75,7.342175480545045,0.5921754805450448,0.1597,40.7884
AAPL,2009-01-16,83.38,85.0,35,0.0012,5.825,6.154381583473971,0.32938158347397106,0.2534,32.6744
