ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AMZN,2008-08-07,78.09,80.0,43,0.0166,4.1,5.977885474359754,1.8778854743597542,0.2065,40.1357
AMZN,2008-08-14,86.69,85.0,36,0.0189,6.35,7.220122847728416,0.8701228477284166,0.3722,33.2738
AMZN,2008-08-21,82.13,80.0,29,0.0172,5.3,6.852711728439393,1.5527117284393928,0.1772,27.1216
AMZN,2008-08-28,81.73,80.0,22,0.0174,4.35,5.678619926240855,1.3286199262408553,0.2041,20.5223
AMZN,2008-09-05,78.03,80.0,42,0.0168,4.4,5.914411414319161,1.5144114143191603,0.1734,38.6606
AMZN,2008-09-12,79.51,80.0,35,0.0149,4.825,5.733746589043804,0.9087465890438038,0.195,32.648
AMZN,2008-09-19,76.5,75.0,28,0.0098999999999999,5.075,5.86810140283113,0.7931014028311294,0.18,25.6285
AMZN,2008-09-26,72.08,72.5,21,0.0087,4.225,4.0127548208357275,-0.2122451791642721,0.1294,19.8201
AMZN,2008-10-03,67.36,67.5,14,0.0051,4.375,3.300765572104041,-1.0742344278959588,0.1174,13.3741
AMZN,2008-10-10,56.0,55.0,42,0.0025,8.775,5.538810949954308,-3.2361890500456925,0.2655,38.5557
AMZN,2008-10-20,50.65,50.0,32,0.0124,7.2,4.240463988119811,-2.959536011880189,0.2009,29.5639
AMZN,2008-10-27,48.96,50.0,25,0.0084,4.325,2.887905395525464,-1.4370946044745363,0.1073,23.6519
AMZN,2008-11-03,57.24,55.0,18,0.0049,5.35,4.402707918310747,-0.9472920816892527,0.2661,16.2679
AMZN,2008-11-10,49.21,50.0,39,0.0029,5.175,3.990788051313779,-1.184211948686221,0.1297,37.2304
AMZN,2008-11-17,41.75,42.5,32,0.0012,4.3,2.807527335531391,-1.4924726644686088,0.1881,29.6922
AMZN,2008-11-24,37.87,37.5,25,0.0013,4.225,2.726347258757731,-1.4986527412422688,0.1695,23.1095
AMZN,2008-12-02,40.47,40.0,17,0.0006,4.125,2.729201639627876,-1.3957983603721238,0.099,16.4021
AMZN,2008-12-09,51.41,50.0,38,0.0003,6.75,5.391537418411164,-1.358462581588836,0.287,33.9925
AMZN,2008-12-16,48.85,50.0,31,0.0004,4.6,3.554538100611547,-1.0454618993884526,0.1644,29.0486
AMZN,2008-12-23,49.84,50.0,24,0.0002,3.65,3.5928349919087195,-0.057165008091280445,0.1957,22.4209
AMZN,2008-12-31,50.76,50.0,16,0.0011,3.275,3.36472678063301,0.08972678063300998,0.1685,14.7466
AMZN,2009-01-08,56.2,55.0,43,0.0009,6.625,6.102011240284832,-0.5229887597151679,0.245,38.4254
AMZN,2009-01-15,48.49,47.5,36,0.0011,5.65,5.037877469538902,-0.6121225304610984,0.26,32.7577
AMZN,2009-01-23,49.94,50.0,28,0.0011,4.525,3.8735247608223142,-0.6514752391776861,0.1757,25.8119
