ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AMZN,2008-08-07,78.09,80.0,43,0.0166,4.1,5.261897055154433,1.1618970551544336,0.2314,40.2044
AMZN,2008-08-14,86.69,85.0,36,0.0189,6.35,7.056986949499078,0.7069869494990781,0.2862,32.4795
AMZN,2008-08-21,82.13,80.0,29,0.0172,5.3,6.299338322886695,0.999338322886695,0.2693,26.3749
AMZN,2008-08-28,81.73,80.0,22,0.0174,4.35,5.407136535017922,1.0571365350179223,0.259,19.8278
AMZN,2008-09-05,78.03,80.0,42,0.0168,4.4,5.092030106703438,0.692030106703438,0.2274,38.399
AMZN,2008-09-12,79.51,80.0,35,0.0149,4.825,5.452066949784946,0.6270669497849459,0.2519,32.5066
AMZN,2008-09-19,76.5,75.0,28,0.0098999999999999,5.075,5.603273174979106,0.5282731749791054,0.3146,25.0975
AMZN,2008-09-26,72.08,72.5,21,0.0087,4.225,3.7266847513939183,-0.49831524860608134,0.256,19.0293
AMZN,2008-10-03,67.36,67.5,14,0.0051,4.375,3.2303115068634236,-1.1446884931365764,0.2423,13.2147
AMZN,2008-10-10,56.0,55.0,42,0.0025,8.775,5.073560608647999,-3.701439391352001,0.2648,38.8116
AMZN,2008-10-20,50.65,50.0,32,0.0124,7.2,3.9938214837894166,-3.2061785162105836,0.2829,29.2453
AMZN,2008-10-27,48.96,50.0,25,0.0084,4.325,2.6650512046762524,-1.6599487953237477,0.2043,23.0538
AMZN,2008-11-03,57.24,55.0,18,0.0049,5.35,4.341706774543711,-1.0082932254562884,0.3012,15.9459
AMZN,2008-11-10,49.21,50.0,39,0.0029,5.175,3.5947597599697723,-1.5802402400302276,0.236,35.7784
AMZN,2008-11-17,41.75,42.5,32,0.0012,4.3,2.679071634922171,-1.620928365077829,0.2392,29.4582
AMZN,2008-11-24,37.87,37.5,25,0.0013,4.225,2.6431489287815997,-1.5818510712184,0.2789,22.7088
AMZN,2008-12-02,40.47,40.0,17,0.0006,4.125,2.5847249969715884,-1.5402750030284116,0.279,15.5145
AMZN,2008-12-09,51.41,50.0,38,0.0003,6.75,5.059225585763823,-1.6907744142361771,0.2733,35.4802
AMZN,2008-12-16,48.85,50.0,31,0.0004,4.6,3.282745512068577,-1.3172544879314225,0.2251,29.4395
AMZN,2008-12-23,49.84,50.0,24,0.0002,3.65,3.2884440161575577,-0.36155598384244225,0.2497,22.4144
AMZN,2008-12-31,50.76,50.0,16,0.0011,3.275,3.278221859330147,0.003221859330146959,0.2572,14.7632
AMZN,2009-01-08,56.2,55.0,43,0.0009,6.625,5.823042738860057,-0.8019572611399433,0.2863,38.6993
AMZN,2009-01-15,48.49,47.5,36,0.0011,5.65,4.642267023244819,-1.0077329767551815,0.2601,32.459
AMZN,2009-01-23,49.94,50.0,28,0.0011,4.525,3.752094288774651,-0.7729057112253495,0.2455,25.7291
AMZN,2009-01-30,50.0,50.0,21,0.0024,4.125,3.3001851986139203,-0.8248148013860797,0.1941,19.4809
AMZN,2009-02-06,63.18,65.0,42,0.0028,4.175,5.050855781581208,0.8758557815812082,0.2124,39.2162
AMZN,2009-02-13,63.96,65.0,35,0.0029,4.25,4.913292153862978,0.6632921538629777,0.2513,32.4046
AMZN,2009-02-23,63.86,65.0,25,0.0029,3.8,4.078280863296171,0.2782808632961711,0.2449,23.3517
AMZN,2009-03-02,64.79,65.0,18,0.0028,3.45,3.8703780307345825,0.42037803073458235,0.2148,16.6348
AMZN,2009-03-09,61.69,60.0,39,0.0023,6.675,6.305464633569928,-0.369535366430072,0.3085,34.7975
AMZN,2009-03-16,68.63,70.0,32,0.0024,4.4,4.974395820843268,0.574395820843268,0.2211,29.9456
AMZN,2009-03-23,69.96,70.0,25,0.0022,4.6,5.038226957237054,0.4382269572370543,0.2464,23.0885
AMZN,2009-03-30,70.52,70.0,18,0.0018,4.225,4.647451145626119,0.42245114562611974,0.2648,16.4935
AMZN,2009-04-06,78.17,80.0,39,0.002,6.25,6.3008438502821225,0.05084385028212246,0.2646,36.2864
AMZN,2009-04-14,78.94,80.0,31,0.0017,5.7,5.898529576366866,0.19852957636686597,0.2193,29.005
AMZN,2009-04-21,77.57,80.0,24,0.0015,4.575,4.509104111214376,-0.06589588878562402,0.2023,22.6627
AMZN,2009-04-28,83.12,85.0,17,0.0013,2.765,4.236841811186177,1.4718418111861769,0.2166,16.1261
AMZN,2009-05-05,79.77,80.0,45,0.0019,5.15,7.729196440092324,2.579196440092324,0.2156,41.9847
AMZN,2009-05-12,78.61,80.0,38,0.0019,4.125,6.478331017812936,2.353331017812936,0.2347,34.8704
AMZN,2009-05-19,75.95,75.0,31,0.0018,4.15,6.615856097826983,2.4658560978269826,0.2544,28.1145
AMZN,2009-05-27,78.39,80.0,23,0.0017,2.58,4.850478018764005,2.2704780187640052,0.2131,21.5896
AMZN,2009-06-03,84.93,85.0,16,0.0014,3.125,5.005729696668957,1.8807296966689568,0.252,14.6854
AMZN,2009-06-10,87.08,85.0,37,0.0018,5.8,8.60616399046817,2.8061639904681703,0.2793,33.6409
AMZN,2009-06-17,82.15,80.0,30,0.0017,5.15,7.539542133148046,2.389542133148046,0.2915,26.9597
AMZN,2009-06-24,77.68,80.0,23,0.0019,2.22,4.48953364187093,2.26953364187093,0.2221,21.4742
AMZN,2009-07-01,83.66,85.0,16,0.0017,2.13,4.2676147141295955,2.1376147141295956,0.1956,14.9833
AMZN,2009-07-09,77.36,75.0,43,0.0019,6.8,8.43908508311288,1.6390850831128807,0.2869,38.7139
AMZN,2009-07-16,84.55,85.0,36,0.0019,4.75,7.078532561640989,2.328532561640989,0.2439,33.0284
AMZN,2009-07-23,88.79,90.0,29,0.0019,4.025,6.41395288259557,2.3889528825955697,0.2179,27.3954
AMZN,2009-07-30,84.34,85.0,22,0.0018,2.86,5.422179025118619,2.562179025118619,0.2582,20.4003
