ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2008-08-06,129.043172,129.0,45,0.0163999999999999,3.56,4.218713046392202,0.6587130463922022,0.2671,41.9845
SPY,2008-08-13,128.798139,129.0,38,0.0185,3.33,3.7035371167952986,0.37353711679529855,0.2367,35.2101
SPY,2008-08-20,127.72116,128.0,31,0.0171,2.7,3.3589702200254297,0.6589702200254295,0.2602,29.2115
SPY,2008-08-27,128.476927,128.0,34,0.0167,3.0,3.9033088004857155,0.9033088004857155,0.2471,31.0616
SPY,2008-09-04,124.096095,124.0,26,0.0169,2.8049999999999997,3.1035374553294846,0.29853745532948484,0.2455,23.7979
SPY,2008-09-11,125.386557,125.0,37,0.0161,3.34,3.8481923606620105,0.5081923606620107,0.2777,33.1124
SPY,2008-09-18,121.180207,121.0,30,0.0023,2.96,3.254056110160264,0.2940561101602639,0.2815,27.4072
SPY,2008-09-25,120.764921,121.0,23,0.0076,3.88,2.628071312854319,-1.2519286871456807,0.2928,20.5935
SPY,2008-10-02,111.354786,111.0,16,0.0063,5.24,2.7617637176842296,-2.4782362823157706,0.2596,15.1107
SPY,2008-10-09,91.00948,91.0,44,0.006,7.625,3.409371965485315,-4.215628034514685,0.2562,40.4458
SPY,2008-10-16,94.675625,95.0,37,0.0046,6.525,3.1346951115457946,-3.3903048884542057,0.2587,33.9583
SPY,2008-10-23,90.871131,91.0,30,0.0098,5.975,2.7717424377190385,-3.203257562280961,0.2656,27.8067
SPY,2008-10-30,95.49356,95.0,23,0.0040999999999999,6.125,2.7978634906585595,-3.3271365093414405,0.3171,20.13
SPY,2008-11-06,90.663879,91.0,16,0.0032,4.550000000000001,2.5578786038165853,-1.9921213961834154,0.1964,15.3231
SPY,2008-11-13,91.398333,91.0,37,0.0022,5.675,4.226348704487042,-1.448651295512958,0.3031,32.921
SPY,2008-11-20,75.587663,76.0,30,0.0003,6.05,2.936283238208737,-3.1137167617912627,0.2225,27.7743
SPY,2008-11-28,90.020685,90.0,22,0.0001,4.45,3.169488513175368,-1.2805114868246323,0.2641,20.2768
SPY,2008-12-05,88.066611,88.0,43,0.0002,6.1,4.929675448351665,-1.170324551648335,0.2228,39.7918
SPY,2008-12-12,88.483451,88.0,36,0.0002,5.675,4.696867755950942,-0.9781322440490579,0.33,33.1463
SPY,2008-12-19,88.596187,89.0,29,0.0002,3.625,3.8782523325392804,0.25325233253928037,0.25,26.9617
SPY,2008-12-29,86.85927,87.0,19,0.0006,3.3499999999999996,2.996787803098137,-0.35321219690186245,0.2229,17.5444
SPY,2009-01-07,90.685286,91.0,45,0.0011,4.775,5.334090236542364,0.5590902365423638,0.1163,43.9358
SPY,2009-01-14,84.307086,84.0,38,0.0012,4.925,4.825694756645668,-0.09930524335433155,0.2643,34.7529
SPY,2009-01-22,82.819932,83.0,30,0.001,3.9,3.8412743335715103,-0.05872566642848964,0.2348,27.6409
SPY,2009-01-29,84.597893,85.0,23,0.0023,2.965,3.3756332206364545,0.4106332206364547,0.258,21.1556
SPY,2009-02-05,84.739134,85.0,16,0.0029,2.41,2.8996302373920977,0.48963023739209754,0.2396,14.7999
