ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AMZN,2014-01-09,401.92,402.5,29,0.0004,16.475,20.105043322552504,3.6300433225525026,0.261,26.5904
AMZN,2014-01-16,395.87,395.0,36,0.0004,16.7,25.158227386134556,8.458227386134556,0.2237,34.5166
AMZN,2014-01-24,399.87,400.0,28,0.0004,15.675,20.274095074905286,4.599095074905286,0.2257,26.7452
AMZN,2014-01-31,403.01,402.5,28,0.0002,20.625,24.591357975134382,3.9663579751343825,0.2403,25.0698
AMZN,2014-02-07,354.59,355.0,28,0.0008,10.975,20.04826791190207,9.07326791190207,0.2484,24.2291
AMZN,2014-02-14,357.2,357.5,21,0.0002,8.85,20.097790258240053,11.247790258240054,0.2574,18.6909
AMZN,2014-02-24,346.76,347.5,39,0.0005,11.625,20.945448375264597,9.320448375264597,0.4508,34.35
AMZN,2014-03-03,362.1,362.5,25,0.0005,9.925,12.569982819627807,2.6449828196278062,0.2212,23.8893
AMZN,2014-03-10,372.06,372.5,32,0.0005,10.575,14.89069433912044,4.315694339120441,0.2284,30.4944
AMZN,2014-03-17,373.74,372.5,25,0.0006,11.025,13.596944334982807,2.571944334982806,0.238,23.3249
AMZN,2014-03-24,360.62,360.0,32,0.0006,15.575,14.830962775942622,-0.7440372240573776,0.2153,29.6161
AMZN,2014-03-31,338.29,337.5,32,0.0005,16.125,19.34104286701627,3.21604286701627,0.2244,29.8381
AMZN,2014-04-07,323.0,322.5,32,0.0003,17.45,17.965626425153534,0.5156264251535347,0.2145,30.3664
AMZN,2014-04-14,311.73,312.5,39,0.0004,18.125,19.603509205177183,1.4785092051771827,0.1863,37.1433
AMZN,2014-04-22,330.87,330.0,31,0.0003,15.75,18.556388684693484,2.8063886846934842,0.217,29.2742
AMZN,2014-04-29,296.58,297.5,31,0.0002,11.4,15.508738158883704,4.108738158883703,0.1918,29.5691
AMZN,2014-05-06,310.05,310.0,31,0.0003,10.1,16.369270749383734,6.269270749383734,0.2089,29.4723
AMZN,2014-05-13,302.86,302.5,17,0.0003,7.6,12.067206825446434,4.467206825446434,0.1803,15.6388
AMZN,2014-05-20,296.755,297.5,24,0.0003,8.075,13.110214780802254,5.035214780802255,0.249,21.6536
AMZN,2014-05-28,310.82,310.0,30,0.0004,9.55,15.714030229400239,6.164030229400238,0.2913,27.2043
AMZN,2014-06-04,307.19,307.5,28,0.0004,8.725,10.983217949627004,2.2582179496270047,0.1996,26.5995
AMZN,2014-06-11,332.41,332.5,30,0.0004,10.5,12.349590607163021,1.8495906071630213,0.2625,28.1876
AMZN,2014-06-18,325.62,325.0,30,0.0003,10.925,12.6466863890762,1.7216863890761989,0.2076,27.9964
AMZN,2014-06-25,324.16,325.0,30,0.0003,13.875,11.533678414258395,-2.341321585741605,0.2165,27.8471
AMZN,2014-07-02,332.39,332.5,23,0.0002,13.375,13.159249158019474,-0.21575084198052608,0.2269,21.5455
AMZN,2014-07-10,329.97,330.0,29,0.0002,13.45,15.884064292492177,2.4340642924921774,0.183,27.5969
AMZN,2014-07-17,355.9,355.0,29,0.0002,14.775,16.909666233815404,2.1346662338154037,0.1712,27.4234
AMZN,2014-07-24,358.14,357.5,29,0.0003,14.825,17.21790152251147,2.3929015225114725,0.2228,27.2297
AMZN,2014-07-31,322.51,322.5,36,0.0003,10.275,13.89402384415069,3.6190238441506892,0.1645,34.4534
AMZN,2014-08-07,313.89,315.0,29,0.0003,9.2,11.129063550867851,1.929063550867852,0.2748,27.3957
AMZN,2014-08-14,326.28,327.5,29,0.0004,8.4,11.463893318806319,3.0638933188063184,0.2204,27.1544
AMZN,2014-08-21,335.78,335.0,29,0.0002,8.525,12.8600262903504,4.335026290350399,0.2903,27.1077
AMZN,2014-08-28,343.18,342.5,29,0.0003,8.925,13.17848594027548,4.25348594027548,0.1578,27.4039
AMZN,2014-09-05,345.95,345.0,28,0.0003,9.15,12.535650295803134,3.385650295803133,0.2046,26.2613
AMZN,2014-09-12,330.52,330.0,28,0.0002,9.625,11.694599484617813,2.0695994846178127,0.2275,26.1515
AMZN,2014-09-19,325.0,325.0,28,0.0002,8.95,11.455275539252552,2.505275539252553,0.1797,26.5676
AMZN,2014-09-26,321.93,322.5,28,0.0001,13.025,11.120869978576584,-1.9041300214234163,0.211,26.7055
AMZN,2014-10-03,318.41,317.5,28,0.0001,14.175,15.21533834736922,1.0403383473692198,0.197,26.5517
AMZN,2014-10-10,315.37,315.0,28,0.0001,14.125,14.784076211019675,0.6590762110196753,0.1699,26.594
AMZN,2014-10-17,302.86,302.5,21,0.0002,15.075,12.021787614047723,-3.0532123859522766,0.1445,20.0336
AMZN,2014-10-24,313.18,312.5,28,0.0001,14.9,15.104561809613061,0.20456180961306103,0.1958,26.5703
AMZN,2014-10-31,299.07,300.0,28,0.0001,7.575,11.133043693518164,3.5580436935181643,0.168,26.4482
AMZN,2014-11-07,296.64,297.5,28,0.0003,7.95,11.052022430351581,3.102022430351581,0.2552,26.0475
AMZN,2014-11-14,316.48,317.5,28,0.0002,8.25,12.085567787394352,3.8355677873943517,0.1524,26.9739
AMZN,2014-11-21,330.54,330.0,28,0.0001,10.625,13.191249388440909,2.5662493884409088,0.2651,26.3453
AMZN,2014-12-01,338.64,337.5,32,0.0003,10.875,15.539832929451181,4.664832929451181,0.1963,29.7885
AMZN,2014-12-08,312.63,312.5,32,0.0003,10.825,14.40542147920914,3.580421479209141,0.177,30.4173
AMZN,2014-12-15,307.32,307.5,25,0.0004,11.4,11.846632666435262,0.4466326664352618,0.1689,23.5046
AMZN,2014-12-22,299.9,300.0,32,0.0005,11.7,12.84755893833652,1.1475589383365215,0.237,29.9028
AMZN,2014-12-30,312.04,312.5,31,0.0003,15.0,13.581516040985948,-1.4184839590140523,0.1656,29.2949
