ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AMZN,2014-01-09,401.92,402.5,29,0.0004,16.475,18.37903870191322,1.904038701913219,0.1753,27.5311
AMZN,2014-01-16,395.87,395.0,36,0.0004,16.7,21.37713175219379,4.677131752193791,0.2408,33.3117
AMZN,2014-01-24,399.87,400.0,28,0.0004,15.675,17.73595221802243,2.060952218022429,0.2075,26.1044
AMZN,2014-01-31,403.01,402.5,28,0.0002,20.625,24.756402527695165,4.131402527695165,0.2039,25.1457
AMZN,2014-02-07,354.59,355.0,28,0.0008,10.975,20.97570499725813,10.000704997258131,0.2447,24.5584
AMZN,2014-02-14,357.2,357.5,21,0.0002,8.85,20.182557543788363,11.332557543788363,0.2127,18.8912
AMZN,2014-02-24,346.76,347.5,39,0.0005,11.625,22.285183027602585,10.660183027602585,0.2166,36.7275
AMZN,2014-03-03,362.1,362.5,25,0.0005,9.925,12.256345970092315,2.3313459700923147,0.1282,23.6052
AMZN,2014-03-10,372.06,372.5,32,0.0005,10.575,13.835114011261782,3.2601140112617824,0.2085,29.9624
AMZN,2014-03-17,373.74,372.5,25,0.0006,11.025,13.514503917392133,2.489503917392133,0.1428,23.7001
AMZN,2014-03-24,360.62,360.0,32,0.0006,15.575,14.32701246809997,-1.24798753190003,0.1474,30.7568
AMZN,2014-03-31,338.29,337.5,32,0.0005,16.125,18.619998700092108,2.4949987000921077,0.1339,30.8455
AMZN,2014-04-07,323.0,322.5,32,0.0003,17.45,17.867372528287866,0.4173725282878671,0.2116,30.0826
AMZN,2014-04-14,311.73,312.5,39,0.0004,18.125,18.8668890329179,0.7418890329179,0.2015,37.0343
AMZN,2014-04-22,330.87,330.0,31,0.0003,15.75,17.870482991765034,2.1204829917650336,0.2647,29.2558
AMZN,2014-04-29,296.58,297.5,31,0.0002,11.4,15.692690930448508,4.292690930448508,0.1899,29.4724
AMZN,2014-05-06,310.05,310.0,31,0.0003,10.1,15.93752635787117,5.83752635787117,0.2076,28.7624
AMZN,2014-05-13,302.86,302.5,17,0.0003,7.6,12.14918208233569,4.54918208233569,0.2092,16.036
AMZN,2014-05-20,296.755,297.5,24,0.0003,8.075,13.319096609667959,5.2440966096679595,0.1412,23.0221
AMZN,2014-05-28,310.82,310.0,30,0.0004,9.55,16.1787946712142,6.628794671214198,0.109,29.0179
AMZN,2014-06-04,307.19,307.5,28,0.0004,8.725,10.119703997161098,1.3947039971610984,0.1434,26.667
AMZN,2014-06-11,332.41,332.5,30,0.0004,10.5,11.397973527249942,0.8979735272499418,0.1415,28.4252
AMZN,2014-06-18,325.62,325.0,30,0.0003,10.925,12.121348402775991,1.1963484027759907,0.1036,29.8519
AMZN,2014-06-25,324.16,325.0,30,0.0003,13.875,10.661348004369458,-3.213651995630542,0.1045,28.6122
AMZN,2014-07-02,332.39,332.5,23,0.0002,13.375,14.220683220540199,0.8456832205401987,0.1538,21.7692
