ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2014-01-08,36.41,36.0,23,0.0005,1.25,1.4435502800221003,0.19355028002210029,0.2146,21.1797
MSFT,2014-01-15,35.78,36.0,23,0.0004,0.855,1.103228995853362,0.2482289958533621,0.1226,21.8702
MSFT,2014-01-23,35.93,36.0,29,0.0004,1.07,1.41168626547254,0.3416862654725399,0.1644,27.99
MSFT,2014-01-30,36.66,36.5,29,0.0002,0.975,1.5094967211935113,0.5344967211935113,0.1421,27.8467
MSFT,2014-02-06,35.82,36.0,29,0.0007,0.775,1.3489702999601365,0.5739702999601365,0.1593,28.0069
MSFT,2014-02-13,37.47,37.5,29,0.0003,0.685,1.421579617135035,0.736579617135035,0.1795,27.0354
MSFT,2014-02-21,37.75,38.0,28,0.0005,0.645,1.3446358550807445,0.6996358550807444,0.1523,27.1821
MSFT,2014-02-28,37.86,38.0,28,0.0005,0.695,1.3900065198679534,0.6950065198679535,0.1223,26.7054
MSFT,2014-03-07,38.15,38.0,28,0.0006,0.845,1.5978601576619331,0.7528601576619331,0.2073,26.7067
MSFT,2014-03-14,37.89,38.0,28,0.0005,0.745,1.3973681918873688,0.6523681918873688,0.1026,27.1264
MSFT,2014-03-21,40.33,40.5,35,0.0006,1.065,1.7114963926727498,0.6464963926727498,0.1811,33.4158
MSFT,2014-03-28,39.36,39.5,28,0.0004,1.02,1.4281830208974624,0.4081830208974624,0.1819,26.5308
MSFT,2014-04-04,41.01,41.0,28,0.0003,1.16,1.6771480847380393,0.5171480847380394,0.0902,27.252
MSFT,2014-04-11,39.36,39.5,28,0.0004,1.17,1.4691178597209438,0.29911785972094385,0.214,26.2414
MSFT,2014-04-21,40.01,40.0,32,0.0004,1.105,1.7123529458729645,0.6073529458729645,0.0407,31.6475
MSFT,2014-04-28,39.91,40.0,32,0.0003,0.79,1.7229164306403677,0.9329164306403677,0.1893,30.4709
MSFT,2014-05-05,39.69,39.5,32,0.0003,0.84,1.7753902347583501,0.9353902347583501,0.2096,29.8986
MSFT,2014-05-12,39.54,39.5,32,0.0003,0.72,1.695260116932181,0.9752601169321811,0.2219,29.909
MSFT,2014-05-19,39.83,40.0,32,0.0003,0.71,1.5936260873846944,0.8836260873846944,0.1976,30.0308
MSFT,2014-05-27,40.12,40.0,31,0.0004,0.795,1.792468440442789,0.997468440442789,0.0823,30.5259
MSFT,2014-06-03,40.79,41.0,29,0.0004,0.605,1.4638864137107175,0.8588864137107175,0.1595,27.4461
MSFT,2014-06-10,41.27,41.5,31,0.0004,0.59,1.5564987356744642,0.9664987356744642,0.1825,29.9118
MSFT,2014-06-17,41.5,41.5,24,0.0004,0.675,1.4913269594165282,0.8163269594165281,0.2217,22.4106
MSFT,2014-06-24,41.99,42.0,31,0.0003,0.92,1.6870633716495216,0.7670633716495215,0.2131,29.6876
MSFT,2014-07-01,41.7,41.5,31,0.0002,1.15,2.225342589773918,1.0753425897739182,0.5219,26.5859
MSFT,2014-07-09,41.78,42.0,30,0.0003,0.92,1.7164441664388665,0.7964441664388665,0.5745,23.1639
MSFT,2014-07-16,42.45,42.5,23,0.0002,0.875,1.7862261055921023,0.9112261055921023,0.1977,21.9471
MSFT,2014-07-23,44.83,45.0,30,0.0003,1.185,2.129437027579498,0.944437027579498,0.2437,27.8881
MSFT,2014-07-30,43.885,44.0,30,0.0004,0.755,2.149734974081665,1.3947349740816652,0.1606,28.8569
MSFT,2014-08-06,43.08,43.0,23,0.0003,0.785,1.8285984948900273,1.0435984948900274,0.2613,21.3248
MSFT,2014-08-13,43.52,43.5,30,0.0004,0.795,2.179667485773805,1.384667485773805,0.1395,28.6079
MSFT,2014-08-20,45.33,45.5,30,0.0004,0.64,1.7214937399956602,1.0814937399956603,0.5603,20.0205
MSFT,2014-08-27,45.005,45.0,30,0.0004,0.725,2.184471286132454,1.459471286132454,0.214,28.2812
MSFT,2014-09-04,44.96,45.0,29,0.0003,0.74,2.018199334929597,1.278199334929597,0.5157,25.3592
MSFT,2014-09-11,46.84,47.0,29,0.0002,0.745,2.088262518344527,1.343262518344527,0.2536,27.3231
MSFT,2014-09-18,46.52,46.5,36,0.0002,1.195,2.292908613098768,1.0979086130987679,0.5793,27.0047
MSFT,2014-09-25,47.08,47.0,29,0.0001,1.085,2.250565877375136,1.165565877375136,0.3421,27.0018
MSFT,2014-10-02,45.9,46.0,36,0.0001,1.205,2.1828055330409706,0.9778055330409705,0.092,35.3247
MSFT,2014-10-09,46.78,47.0,29,0.0001,1.0,1.847896670587372,0.8478966705873721,0.1925,27.4648
MSFT,2014-10-16,43.22,43.0,29,0.0003,1.525,1.9388719848651987,0.4138719848651988,0.1885,27.4914
MSFT,2014-10-23,44.38,44.5,29,0.0001,1.075,1.7981252144551392,0.7231252144551392,0.1895,27.665
MSFT,2014-10-30,46.62,46.5,29,0.0001,0.825,1.9852480933013577,1.1602480933013577,0.1849,27.7858
MSFT,2014-11-06,47.86,48.0,29,0.0003,0.71,1.8765759169755452,1.1665759169755452,0.1999,27.6604
MSFT,2014-11-13,48.78,49.0,29,0.0002,0.63,1.8737337623054162,1.2437337623054163,0.2123,27.0421
MSFT,2014-11-20,48.22,48.0,29,0.0002,1.09,2.1095766574054107,1.0195766574054106,0.1604,27.3091
MSFT,2014-11-28,47.75,47.5,28,0.0002,1.02,2.035517039796773,1.015517039796773,0.1914,25.9249
MSFT,2014-12-05,48.84,49.0,28,0.0002,0.835,1.8812016392081863,1.0462016392081863,0.2212,26.3625
MSFT,2014-12-12,47.17,47.0,28,0.0002,1.16,2.02121152794472,0.8612115279447201,0.1534,26.5574
MSFT,2014-12-19,47.52,47.5,35,0.0004,1.19,2.1072438992645774,0.9172438992645775,0.1812,32.8828
MSFT,2014-12-29,47.88,48.0,32,0.0003,1.21,2.078211835133646,0.8682118351336459,0.1079,30.9999
