ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2014-01-08,36.41,36.0,23,0.0005,1.25,1.2030697560569017,-0.046930243943098304,0.2353,21.1764
MSFT,2014-01-15,35.78,36.0,23,0.0004,0.855,0.8516256279565269,-0.0033743720434731284,0.0278,22.7689
MSFT,2014-01-23,35.93,36.0,29,0.0004,1.07,1.076276464105357,0.0062764641053569825,0.1589,27.3695
MSFT,2014-01-30,36.66,36.5,29,0.0002,0.975,1.1891674521506885,0.21416745215068855,0.2266,26.8179
MSFT,2014-02-06,35.82,36.0,29,0.0007,0.775,1.041166817301914,0.26616681730191394,0.0968,28.0872
MSFT,2014-02-13,37.47,37.5,29,0.0003,0.685,1.078237694450464,0.39323769445046386,0.2393,26.7821
MSFT,2014-02-21,37.75,38.0,28,0.0005,0.645,0.9909040326190712,0.3459040326190712,0.1348,26.5126
MSFT,2014-02-28,37.86,38.0,28,0.0005,0.695,1.085461372063115,0.39046137206311504,0.1566,26.7309
MSFT,2014-03-07,38.15,38.0,28,0.0006,0.845,1.2192529363065103,0.37425293630651035,0.2271,26.1636
MSFT,2014-03-14,37.89,38.0,28,0.0005,0.745,1.0726085437691781,0.32760854376917814,0.1642,26.337
MSFT,2014-03-21,40.33,40.5,35,0.0006,1.065,1.271666890396684,0.20666689039668396,0.1764,33.1031
MSFT,2014-03-28,39.36,39.5,28,0.0004,1.02,1.099436947141149,0.0794369471411489,0.1742,26.4666
MSFT,2014-04-04,41.01,41.0,28,0.0003,1.16,1.288386440948549,0.12838644094854912,0.1054,27.0902
MSFT,2014-04-11,39.36,39.5,28,0.0004,1.17,1.1420104786086818,-0.027989521391318162,0.1662,26.3714
MSFT,2014-04-21,40.01,40.0,32,0.0004,1.105,1.298673701975898,0.19367370197589806,0.1866,29.8437
MSFT,2014-04-28,39.91,40.0,32,0.0003,0.79,1.2946088986680888,0.5046088986680888,0.1115,30.4313
MSFT,2014-05-05,39.69,39.5,32,0.0003,0.84,1.3830777622206054,0.5430777622206054,0.2325,29.3416
MSFT,2014-05-12,39.54,39.5,32,0.0003,0.72,1.3194996072332814,0.5994996072332814,0.2333,29.738
MSFT,2014-05-19,39.83,40.0,32,0.0003,0.71,1.2131671541906794,0.5031671541906795,0.1935,30.0492
MSFT,2014-05-27,40.12,40.0,31,0.0004,0.795,1.3792315521641314,0.5842315521641314,0.116,29.7257
MSFT,2014-06-03,40.79,41.0,29,0.0004,0.605,1.1325085674145556,0.5275085674145557,0.1551,27.191
MSFT,2014-06-10,41.27,41.5,31,0.0004,0.59,1.1907880000398763,0.6007880000398763,0.163,29.8019
MSFT,2014-06-17,41.5,41.5,24,0.0004,0.675,1.1567126574020237,0.4817126574020236,0.1792,22.6697
MSFT,2014-06-24,41.99,42.0,31,0.0003,0.92,1.2865480104200178,0.3665480104200177,0.1802,28.6689
