ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AMZN,2018-10-01,2003.0,2002.5,32,0.0223,88.325,82.19782634181819,-6.1271736581818175,0.1589,30.4934
AMZN,2018-10-08,1889.65,1890.0,32,0.0223,96.125,78.33732689344724,-17.78767310655276,0.1564,30.9472
AMZN,2018-10-15,1788.61,1787.5,25,0.0231,93.325,66.06548619606558,-27.259513803934425,0.1318,23.7103
AMZN,2018-10-22,1764.03,1765.0,32,0.0233999999999999,91.05,73.70325863075337,-17.34674136924663,0.1385,30.5387
AMZN,2018-10-29,1642.81,1642.5,11,0.0233999999999999,54.8,37.86222664060485,-16.937773359395145,0.1002,10.6726
AMZN,2018-11-05,1665.53,1665.0,32,0.0236,76.3,103.09764353071753,26.797643530717536,0.1662,29.6308
AMZN,2018-11-12,1712.43,1712.5,25,0.0236,68.7,97.27355088883066,28.573550888830653,0.1668,23.1982
AMZN,2018-11-19,1593.41,1592.5,25,0.0237999999999999,72.0,91.7902021965987,19.7902021965987,0.1489,23.1601
AMZN,2018-11-27,1581.33,1582.5,24,0.0241,64.675,90.66583490951713,25.990834909517133,0.187,22.0225
AMZN,2018-12-04,1772.36,1772.5,10,0.0242,38.8,59.64228022514451,20.842280225144513,0.1059,9.4921
AMZN,2018-12-11,1641.03,1640.0,31,0.0241,81.325,94.10155911563706,12.776559115637056,0.1719,29.3863
AMZN,2018-12-18,1520.91,1520.0,30,0.0239,85.005,85.10724395987508,0.10224395987508217,0.2008,28.5323
AMZN,2018-12-26,1343.96,1345.0,9,0.0243999999999999,53.9,44.07557638113423,-9.824423618865765,0.0726,8.8621
AMZN,2019-01-03,1539.13,1540.0,29,0.0241,86.15,107.87085984505136,21.72085984505135,0.2689,24.9113
AMZN,2019-01-10,1659.42,1660.0,29,0.0243,84.5,116.7114956911983,32.211495691198294,0.2102,26.9312
AMZN,2019-01-17,1683.78,1685.0,29,0.0242,77.0,125.88690445239642,48.88690445239642,0.2455,26.2682
AMZN,2019-01-25,1654.93,1655.0,28,0.0239,76.525,119.04926616101879,42.52426616101879,0.1647,26.8317
AMZN,2019-02-01,1718.73,1717.5,28,0.024,74.9,106.89739715324899,31.997397153248983,0.085,27.5476
AMZN,2019-02-08,1614.37,1615.0,28,0.0243,52.125,97.7750754374129,45.650075437412895,0.2003,26.3179
AMZN,2019-02-15,1622.65,1622.5,35,0.0243,55.25,112.97695048754379,57.72695048754379,0.0682,34.219
AMZN,2019-02-25,1631.56,1632.5,32,0.0247,48.25,102.69549649978143,54.44549649978143,0.1069,30.7075
AMZN,2019-03-04,1639.83,1640.0,10,0.0246,28.73,38.94674320391388,10.216743203913882,0.183,9.5883
AMZN,2019-03-11,1620.8,1620.0,32,0.0246,58.025,89.3984049037312,31.373404903731206,0.1801,29.7654
AMZN,2019-03-18,1712.36,1712.5,25,0.0243999999999999,43.225,76.61310336431248,33.38810336431248,0.2323,23.6732
AMZN,2019-03-25,1764.77,1765.0,32,0.0246,73.375,94.65383056351116,21.278830563511164,0.1557,30.84
AMZN,2019-04-01,1780.75,1780.0,32,0.0243,72.825,99.59668975276148,26.771689752761475,0.1811,30.7169
AMZN,2019-04-08,1837.28,1837.5,25,0.0243,66.9,89.74666211550309,22.84666211550308,0.1394,24.147
AMZN,2019-04-15,1843.06,1842.5,25,0.0243,62.875,87.5604428215716,24.6854428215716,0.1227,24.3514
AMZN,2019-04-23,1887.31,1887.5,31,0.0245,61.95,103.80647207610338,41.85647207610337,0.1857,29.3622
AMZN,2019-04-30,1938.43,1937.5,31,0.0243,48.825,86.23544686476684,37.41044686476684,0.2376,28.8385
AMZN,2019-05-07,1950.55,1950.0,31,0.0243,55.7,84.14149318044562,28.44149318044562,0.5294,26.7037
AMZN,2019-05-14,1822.68,1822.5,17,0.0241,48.975,56.90676174934259,7.931761749342591,0.1729,16.3085
