date,window_start,window_end,n_days,mu,sigma
2018-10-01,2017-04-03,2018-10-01,378,0.32112713357878214,0.20725933245692052
2018-10-31,2017-05-01,2018-10-31,381,0.2937341490088637,0.22026524809398723
2018-11-30,2017-05-31,2018-11-30,381,0.11418621079817849,0.24185581046896176
2018-12-31,2017-07-03,2018-12-31,377,0.07580395241847175,0.2570029494755989
2019-01-31,2017-08-01,2019-01-31,378,0.08994102876989363,0.28077147694890564
2019-02-28,2017-08-29,2019-02-28,377,0.06190275038059058,0.2774482829497076
2019-03-31,2017-10-02,2019-03-29,375,0.15576893669898945,0.2803846822300029
2019-04-30,2017-10-31,2019-04-30,375,0.13985378454532554,0.27887879133935944
2019-05-31,2017-12-01,2019-05-31,375,0.027947594279138555,0.28771903518006536
2019-06-30,2018-01-02,2019-06-28,375,0.1207106709044247,0.2906798386508148
2019-07-31,2018-02-01,2019-07-31,376,0.17689548687403686,0.2909766420528403
2019-08-31,2018-03-01,2019-08-30,379,0.12060112010483834,0.2921946544296673
2019-09-30,2018-04-02,2019-09-30,378,0.20773796769561148,0.2901104361430425
