date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0
2018-10-01,2017-04-03,2018-10-01,378,0.5438359073244179,19.999999999999964,0.22111388492440642,3.9592433696660625,-0.45112857950113217,0.03698025971948822
2018-10-31,2017-05-01,2018-10-31,381,0.3616176320856647,19.999999999999975,0.10168487997750546,3.999999999998501,-0.31574312379957414,0.2898129316869499
2018-11-30,2017-05-31,2018-11-30,381,0.34931736055146795,19.999999999999996,0.1418946324875692,3.941105395213731,-0.32576530444633617,0.22106859812944823
2018-12-31,2017-07-03,2018-12-31,377,0.2936440160910128,19.999999999999996,0.3141205032601467,3.999999999998096,-0.5673614098461345,0.46563839332470636
2019-01-31,2017-08-01,2019-01-31,378,0.3692539571547038,19.999999999999996,0.04462201592341333,3.9999999999999987,-0.40539563228464426,0.39060544664163876
2019-02-28,2017-08-29,2019-02-28,377,0.3676955259993606,19.999999999999975,0.07625419813402184,2.3971083972202005,-0.33038409043451,0.0633896114572634
2019-03-31,2017-10-02,2019-03-29,375,0.41425528231825537,19.99999908676083,0.1458767033201003,3.9999999999160836,-0.31600146816161245,0.09386741472140663
2019-04-30,2017-10-31,2019-04-30,375,0.36999630325353544,19.99999999979967,0.061828048954260355,3.398465309206082,-0.35681078670873634,0.05757072457319409
2019-05-31,2017-12-01,2019-05-31,375,0.27624807572058524,19.999999999971394,0.08289214478761411,2.022849092497741,-0.5257222960985904,0.07560495792786354
2019-06-30,2018-01-02,2019-06-28,375,0.32386705074734157,10.031158873797239,0.19240806634181773,3.9999999999070157,-0.48154545686949024,0.07467250020827773
2019-07-31,2018-02-01,2019-07-31,376,0.16891895144148783,19.999999999998845,0.0395168037090703,3.9999999999999996,-0.3337391901309834,0.16254900767987557
2019-08-31,2018-03-01,2019-08-30,379,0.10691454541441098,19.99999999999991,0.09518771549860996,1.4931989756576833,-0.7760522508126143,0.05725926874309725
2019-09-30,2018-04-02,2019-09-30,378,0.12120296474976773,12.282299565640583,0.1780062694537053,3.9999999999980513,-0.5121984885015552,0.06147911830849661
