date,window_start,window_end,n_days,mu,sigma
2018-10-01,2017-04-03,2018-10-01,378,0.1419101745953745,0.10997770884530705
2018-10-31,2017-05-01,2018-10-31,381,0.084833668656098,0.12187512559139564
2018-11-30,2017-05-31,2018-11-30,381,0.08869955154516776,0.1280184202593657
2018-12-31,2017-07-03,2018-12-31,377,0.022160191761772738,0.1447914179777549
2019-01-31,2017-08-01,2019-01-31,378,0.05987804480404731,0.15070917722920973
2019-02-28,2017-08-29,2019-02-28,377,0.08678965580285702,0.15049820326779784
2019-03-31,2017-10-02,2019-03-29,375,0.0790597248966699,0.1526040826591927
2019-04-30,2017-10-31,2019-04-30,375,0.0908820388024183,0.15291695761350402
2019-05-31,2017-12-01,2019-05-31,375,0.02595997358994174,0.15625131446914303
2019-06-30,2018-01-02,2019-06-28,375,0.06424202040705887,0.15816994324434283
2019-07-31,2018-02-01,2019-07-31,376,0.03637591856226317,0.15762489251199857
2019-08-31,2018-03-01,2019-08-30,379,0.050389586576966336,0.15456472082793868
2019-09-30,2018-04-02,2019-09-30,378,0.07959802138718312,0.1490559421704002
