date,window_start,window_end,n_days,mu,omega,alpha,beta,sigma0
2019-09-03,2018-03-05,2019-09-03,378,0.5242996488516368,1.8054286475861855e-05,0.17164318991002186,0.7957911064743085,0.018617669608979596
2019-09-30,2018-04-02,2019-09-30,378,0.5768963475580153,1.6817592815482404e-05,0.15631525564687157,0.8082480430917355,0.013233349829769646
2019-10-31,2018-05-01,2019-10-31,380,0.6515415877977456,1.627550690054377e-05,0.1588655054483896,0.8052954612645087,0.014610639107998428
2019-11-30,2018-05-31,2019-11-29,379,0.6549780680598798,1.583367607923152e-05,0.14764256920178784,0.8164034636841191,0.01294793705226711
2019-12-31,2018-07-02,2019-12-31,378,0.7868879899468126,1.5833670480811854e-05,0.147642564446385,0.8164025075453991,0.012085805343313329
2020-01-31,2018-08-01,2020-01-31,378,0.7505757644313622,1.540072865279333e-05,0.14982576796906807,0.814302383799838,0.017304362228504185
2020-02-29,2018-08-30,2020-02-28,376,0.6485377817481297,1.289518203534396e-05,0.15158257125089272,0.8314809249321735,0.03669507450765238
2020-03-31,2018-10-01,2020-03-31,377,0.7231493184049241,1.1189687467899011e-05,0.17715086763564086,0.8212920700122576,0.0544171679060947
2020-04-30,2018-10-31,2020-04-30,376,0.802100175428153,1.2079806488756536e-05,0.2003341969412877,0.7981402175275396,0.02482864944403316
2020-05-31,2018-12-03,2020-05-29,374,0.8828113844645746,1.2601275804277822e-05,0.22219939969604727,0.7763047070145521,0.011796389177254734
2020-06-30,2018-12-31,2020-06-30,378,0.8966959012334086,1.2931470684006934e-05,0.21285767632464292,0.785626157953511,0.022874820249678532
2020-07-31,2019-02-01,2020-07-31,378,0.9243278314391984,1.6798020669696536e-05,0.24686261647365695,0.7516849928700686,0.020142278815272006
2020-08-31,2019-03-01,2020-08-31,380,0.9933766612070666,1.9158986494488808e-05,0.20032144757458,0.7736623611907298,0.018229726564645957
