date,window_start,window_end,n_days,mu,omega,alpha,beta,sigma0
2019-09-03,2018-03-05,2019-09-03,378,0.38064184691070935,1.9877362223080255e-05,0.1820690430747154,0.7489594360317928,0.014364838798197891
2019-09-30,2018-04-02,2019-09-30,378,0.3582727751185704,1.4886084733311484e-05,0.13372945192582308,0.800816631368876,0.012636328437896657
2019-10-31,2018-05-01,2019-10-31,380,0.37040770751207397,1.4885692105142967e-05,0.13477482947413288,0.8008819492641047,0.013987580944714063
2019-11-30,2018-05-31,2019-11-29,379,0.3855876608380469,1.410589588931545e-05,0.15208753504299777,0.7874985716559133,0.0090996953460587
2019-12-31,2018-07-02,2019-12-31,378,0.4335396952192159,1.023828070995103e-05,0.15226767947305195,0.8058397664872816,0.009270502443324396
2020-01-31,2018-08-01,2020-01-31,378,0.43750255580559966,1.0238290013285689e-05,0.15226768789134723,0.8058388280184405,0.016257888573791512
2020-02-29,2018-08-30,2020-02-28,376,0.44322911692685213,9.898689284254493e-06,0.1878396984277143,0.7927787490389089,0.038584713979874424
2020-03-31,2018-10-01,2020-03-31,377,0.4742854547757684,6.711777027952755e-06,0.18788902061722876,0.8097840736027146,0.061134926912333964
2020-04-30,2018-10-31,2020-04-30,376,0.5172160631876228,8.140296403096281e-06,0.22181039903046568,0.7759358482822317,0.029323517126318335
2020-05-31,2018-12-03,2020-05-29,374,0.4964632197229652,9.324032044618745e-06,0.2537073249054498,0.7440919206330535,0.010550850145608085
2020-06-30,2018-12-31,2020-06-30,378,0.521715270305454,1.0950495217035971e-05,0.26888763436677604,0.7289272030253836,0.017387133389236708
2020-07-31,2019-02-01,2020-07-31,378,0.5183698185388154,1.0950497647008617e-05,0.2688875628878869,0.7289262772126066,0.016427843408004243
2020-08-31,2019-03-01,2020-08-31,380,0.5205256876176851,9.301024100480229e-06,0.22734927214470219,0.7703243980954245,0.016056103493047386
