ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2008-08-06,26.21,26.0,44,0.0163999999999999,1.16,1.5519891272102557,0.3919891272102558,0.242,38.9815
MSFT,2008-08-13,28.12,28.0,37,0.0185,1.115,1.552468202672535,0.43746820267253494,0.267,34.0395
MSFT,2008-08-20,27.32,27.0,30,0.0171,1.125,1.5350048893387822,0.4100048893387822,0.0955,29.589
MSFT,2008-08-27,27.27,27.0,23,0.0167,0.945,1.265745777458767,0.3207457774587671,0.2515,21.2095
MSFT,2008-09-04,26.9,27.0,43,0.0169,1.12,1.368149298846783,0.24814929884678283,0.2205,41.6885
MSFT,2008-09-11,26.44,26.0,36,0.0161,1.355,1.3823595152453965,0.027359515245396482,0.326,32.519
MSFT,2008-09-18,24.57,25.0,29,0.0023,1.23,0.8596992493114429,-0.37030075068855706,0.1615,28.2905
MSFT,2008-09-25,25.72,26.0,22,0.0076,0.94,0.8173139726276888,-0.12268602737231116,0.179,20.9915
MSFT,2008-10-02,26.48,26.0,15,0.0063,1.31,1.4225200674704868,0.1125200674704867,0.264,14.272
MSFT,2008-10-09,23.01,23.0,43,0.006,2.115,1.561786897690382,-0.5532131023096183,0.1845,38.92
MSFT,2008-10-17,24.19,24.0,35,0.0083,2.185,1.6610952785514783,-0.5239047214485217,0.2,33.806
MSFT,2008-10-24,22.32,22.0,28,0.0089,2.03,1.4876856833055054,-0.5423143166944944,0.2255,25.933
MSFT,2008-10-31,22.63,23.0,21,0.0046,1.115,1.5901054178799865,0.4751054178799865,0.1175,20.177
MSFT,2008-11-07,20.88,21.0,42,0.0031,1.64,2.044813476963032,0.40481347696303227,0.203,39.602
MSFT,2008-11-14,21.25,21.0,35,0.0015,1.675,2.1236902754989324,0.44869027549893237,0.2815,31.6305
MSFT,2008-11-21,17.53,17.5,56,0.0002,2.23,1.807375465675013,-0.42262453432498703,0.4905,46.438
MSFT,2008-12-01,20.22,20.0,18,0.0007,1.185,1.6975721358254223,0.5125721358254223,0.244,17.0865
MSFT,2008-12-08,19.87,20.0,39,0.0003,1.525,1.9019864845451928,0.3769864845451929,0.276,36.336
MSFT,2008-12-15,19.36,19.0,32,0.0003,1.61,1.8996600521935179,0.28966005219351776,0.3825,28.41
MSFT,2008-12-22,19.12,19.0,25,0.0001,1.075,1.6507427953210636,0.5757427953210636,0.257,23.4555
MSFT,2008-12-30,18.96,19.0,17,0.001,0.79,1.283052696674341,0.49305269667434093,0.2365,15.875
MSFT,2009-01-07,20.76,21.0,44,0.0011,1.21,1.0959065897021765,-0.1140934102978235,0.214,42.068
MSFT,2009-01-14,19.82,20.0,37,0.0012,1.185,1.0364937183849556,-0.14850628161504442,0.083,36.5305
MSFT,2009-01-22,19.38,19.0,29,0.001,1.27,1.1645953708946577,-0.10540462910534232,0.254,27.125
MSFT,2009-01-29,18.04,18.0,22,0.0023,0.645,0.7365502356809102,0.09155023568091014,0.3415,19.175
MSFT,2009-02-05,18.63,19.0,43,0.0029,0.87,1.471746524952622,0.601746524952622,0.3305,38.591
MSFT,2009-02-12,19.21,19.0,36,0.0029,1.16,1.6884358235946912,0.5284358235946913,0.359,32.035
MSFT,2009-02-20,17.91,18.0,28,0.0027,0.88,1.218548441009701,0.33854844100970094,0.2185,26.41
MSFT,2009-02-27,16.42,16.0,21,0.0026,1.015,1.3052992806973711,0.2902992806973712,0.229,20.062
MSFT,2009-03-06,15.27,15.0,42,0.0021,1.205,1.117440836273097,-0.08755916372690309,0.372,39.2
MSFT,2009-03-13,17.01,17.0,7,0.002,0.505,0.47307266052893343,-0.031927339471066574,0.1235,6.7345
MSFT,2009-03-20,17.14,17.5,28,0.0022,0.695,0.7922246556440198,0.09722465564401983,0.222,26.2625
MSFT,2009-03-27,18.83,19.0,21,0.0014,0.685,0.7555964441462227,0.07059644414622268,0.1685,19.971
MSFT,2009-04-03,19.29,19.0,42,0.0021,1.48,1.6882915932425608,0.20829159324256086,0.3285,39.0055
MSFT,2009-04-13,19.67,20.0,32,0.0018,0.965,1.2734251098998817,0.3084251098998817,0.4115,30.7995
MSFT,2009-04-20,19.2,19.0,25,0.0014,1.01,1.3242711383145123,0.31427113831451226,0.289,24.0005
MSFT,2009-04-27,20.91,21.0,18,0.0013,0.655,1.1236454659872992,0.46864546598729917,0.2945,16.627
MSFT,2009-05-04,20.24,20.0,46,0.0019,1.135,2.029100478640425,0.8941004786404252,0.3675,41.8045
MSFT,2009-05-11,19.42,19.0,39,0.0019,1.055,2.0990539201671616,1.0440539201671617,0.257,37.9375
MSFT,2009-05-18,20.22,20.0,32,0.0019,0.81,1.7986270876732342,0.9886270876732342,0.205,30.819
MSFT,2009-05-26,19.75,20.0,24,0.0018,0.575,1.2774805120111288,0.7024805120111288,0.1905,22.404
MSFT,2009-06-02,21.4,21.0,17,0.0014,0.78,1.0131028381758118,0.2331028381758118,0.3185,15.1875
MSFT,2009-06-09,22.05,22.0,38,0.0019,0.935,1.3955790849942673,0.46057908499426725,0.277,35.7355
MSFT,2009-06-16,23.42,23.0,31,0.0017,1.15,1.5245163012954481,0.3745163012954482,0.327,29.297
MSFT,2009-06-23,23.28,23.0,24,0.002,0.935,1.2802778435021607,0.3452778435021606,0.236,22.9635
MSFT,2009-06-30,23.86,24.0,17,0.0019,0.6,0.7847857532037394,0.18478575320373947,0.109,16.7875
MSFT,2009-07-08,22.53,23.0,44,0.0018,0.92,1.0519688174411963,0.13196881744119626,0.325,42.2515
MSFT,2009-07-15,23.11,23.0,37,0.0018,0.99,1.2228110481962386,0.23281104819623866,0.3015,33.0435
MSFT,2009-07-22,24.83,25.0,30,0.0019,0.795,0.9910661686929491,0.19606616869294902,0.222,27.922
MSFT,2009-07-29,23.47,23.0,23,0.0019,0.955,1.1632479752625058,0.20824797526250582,0.2065,20.6455
