ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2008-08-06,26.21,26.0,44,0.0163999999999999,1.16,1.0779325710367378,-0.08206742896326213,0.2815,39.744
MSFT,2008-08-13,28.12,28.0,37,0.0185,1.115,0.9863678817409587,-0.1286321182590413,0.497,31.7955
MSFT,2008-08-20,27.32,27.0,30,0.0171,1.125,0.9706364918465065,-0.15436350815349353,0.321,25.734
MSFT,2008-08-27,27.27,27.0,23,0.0167,0.945,0.9009630643953591,-0.04403693560464084,0.3305,22.3415
MSFT,2008-09-04,26.9,27.0,43,0.0169,1.12,0.9298509323874555,-0.19014906761254458,0.3015,38.6785
MSFT,2008-09-11,26.44,26.0,36,0.0161,1.355,1.10791664547185,-0.2470833545281499,0.3115,30.929
MSFT,2008-09-18,24.57,25.0,29,0.0023,1.23,0.5242071770194597,-0.7057928229805402,0.201,27.7205
MSFT,2008-09-25,25.72,26.0,22,0.0076,0.94,0.5232489203683726,-0.4167510796316274,0.1015,21.462
MSFT,2008-10-02,26.48,26.0,15,0.0063,1.31,0.8515303091850629,-0.45846969081493716,0.338,13.8775
MSFT,2008-10-09,23.01,23.0,43,0.006,2.115,0.8393943740788979,-1.2756056259211022,0.316,37.874
MSFT,2008-10-17,24.19,24.0,35,0.0083,2.185,0.956749019068322,-1.2282509809316782,0.246,33.6045
MSFT,2008-10-24,22.32,22.0,28,0.0089,2.03,0.8613901195754813,-1.1686098804245186,0.331,24.9735
MSFT,2008-10-31,22.63,23.0,21,0.0046,1.115,0.4900996708354935,-0.6249003291645066,0.1705,20.4995
MSFT,2008-11-07,20.88,21.0,42,0.0031,1.64,0.8196543945286284,-0.8203456054713715,0.273,39.2355
MSFT,2008-11-14,21.25,21.0,35,0.0015,1.675,0.9460483369134904,-0.7289516630865096,0.3055,32.138
MSFT,2008-11-21,17.53,17.5,56,0.0002,2.23,0.8970762398527117,-1.3329237601472883,0.172,54.461
MSFT,2008-12-01,20.22,20.0,18,0.0007,1.185,0.7505376855151378,-0.4344623144848623,0.274,16.8925
MSFT,2008-12-08,19.87,20.0,39,0.0003,1.525,0.7751210019057576,-0.7498789980942423,0.178,36.518
MSFT,2008-12-15,19.36,19.0,32,0.0003,1.61,0.8861252932289688,-0.7238747067710313,0.383,27.4105
MSFT,2008-12-22,19.12,19.0,25,0.0001,1.075,0.7233334431907787,-0.3516665568092212,0.092,24.406
MSFT,2008-12-30,18.96,19.0,17,0.001,0.79,0.50488654314488,-0.28511345685512,0.209,15.986
MSFT,2009-01-07,20.76,21.0,44,0.0011,1.21,0.8113957961485536,-0.39860420385144635,0.112,42.7115
MSFT,2009-01-14,19.82,20.0,37,0.0012,1.185,0.7894748287278541,-0.3955251712721459,0.323,33.286
MSFT,2009-01-22,19.38,19.0,29,0.001,1.27,0.9163225059433847,-0.3536774940566153,0.4665,26.548
MSFT,2009-01-29,18.04,18.0,22,0.0023,0.645,0.6312981700229918,-0.013701829977008195,0.23,20.456
MSFT,2009-02-05,18.63,19.0,43,0.0029,0.87,0.701306584133087,-0.168693415866913,0.3295,39.738
MSFT,2009-02-12,19.21,19.0,36,0.0029,1.16,0.9692107911021653,-0.19078920889783457,0.344,32.3545
MSFT,2009-02-20,17.91,18.0,28,0.0027,0.88,0.6286082112932079,-0.25139178870679213,0.2155,26.074
MSFT,2009-02-27,16.42,16.0,21,0.0026,1.015,0.76668796670298,-0.2483120332970199,0.203,19.235
MSFT,2009-03-06,15.27,15.0,42,0.0021,1.205,0.8423799836597888,-0.36262001634021124,0.391,36.043
MSFT,2009-03-13,17.01,17.0,7,0.002,0.505,0.34356656271968145,-0.16143343728031856,0.2245,6.5645
MSFT,2009-03-20,17.14,17.5,28,0.0022,0.695,0.5217410856201458,-0.1732589143798542,0.2135,26.762
MSFT,2009-03-27,18.83,19.0,21,0.0014,0.685,0.5464780630040466,-0.1385219369959535,0.3475,18.4525
MSFT,2009-04-03,19.29,19.0,42,0.0021,1.48,1.0647686873938613,-0.41523131260613866,0.3645,36.0
MSFT,2009-04-13,19.67,20.0,32,0.0018,0.965,0.6952075501419702,-0.26979244985802975,0.1945,29.8405
MSFT,2009-04-20,19.2,19.0,25,0.0014,1.01,0.8413384072442162,-0.16866159275578385,0.2975,22.3885
