ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2008-08-06,129.043172,129.0,45,0.0163999999999999,3.56,4.760735846286363,1.200735846286363,0.331,42.632
SPY,2008-08-13,128.798139,129.0,38,0.0185,3.33,3.968308388970092,0.638308388970092,0.3725,35.0435
SPY,2008-08-20,127.72116,128.0,31,0.0171,2.7,3.625710964636394,0.9257109646363939,0.3325,29.0235
SPY,2008-08-27,128.476927,128.0,34,0.0167,3.0,4.356920591105198,1.3569205911051982,0.37,30.195
SPY,2008-09-04,124.096095,124.0,26,0.0169,2.8049999999999997,2.8860915676378225,0.08109156763782277,0.2815,24.519
SPY,2008-09-11,125.386557,125.0,37,0.0161,3.34,3.9201689550935033,0.5801689550935034,0.3265,34.684
SPY,2008-09-18,121.180207,121.0,30,0.0023,2.96,2.854328742968177,-0.10567125703182301,0.338,26.247
SPY,2008-09-25,120.764921,121.0,23,0.0076,3.88,2.3974107286166197,-1.4825892713833801,0.322,20.8
SPY,2008-10-02,111.354786,111.0,16,0.0063,5.24,3.8669861474454357,-1.3730138525545645,0.243,14.6305
SPY,2008-10-09,91.00948,91.0,44,0.006,7.625,4.54235109920579,-3.0826489007942097,0.3425,39.4405
SPY,2008-10-16,94.675625,95.0,37,0.0046,6.525,4.251861064753633,-2.273138935246368,0.3125,32.5035
SPY,2008-10-23,90.871131,91.0,30,0.0098,5.975,3.776866263287565,-2.1981337367124345,0.366,25.978
SPY,2008-10-30,95.49356,95.0,23,0.0040999999999999,6.125,4.02090388992419,-2.10409611007581,0.361,20.2985
SPY,2008-11-06,90.663879,91.0,16,0.0032,4.550000000000001,5.526185972533788,0.9761859725337869,0.1815,15.0125
SPY,2008-11-13,91.398333,91.0,37,0.0022,5.675,7.653318921592848,1.978318921592848,0.3435,32.638
SPY,2008-11-20,75.587663,76.0,30,0.0003,6.05,5.845025343317473,-0.204974656682527,0.3095,28.3865
SPY,2008-11-28,90.020685,90.0,22,0.0001,4.45,6.446917537722129,1.9969175377221289,0.2825,20.233
SPY,2008-12-05,88.066611,88.0,43,0.0002,6.1,6.804306985109814,0.704306985109814,0.2895,38.656
SPY,2008-12-12,88.483451,88.0,36,0.0002,5.675,6.6088824202704055,0.9338824202704057,0.2825,33.3075
SPY,2008-12-19,88.596187,89.0,29,0.0002,3.625,5.5498716144031555,1.9248716144031555,0.266,27.0555
SPY,2008-12-29,86.85927,87.0,19,0.0006,3.3499999999999996,4.461607827040692,1.1116078270406922,0.3915,16.8185
SPY,2009-01-07,90.685286,91.0,45,0.0011,4.775,6.489339082223363,1.714339082223363,0.3375,39.3365
SPY,2009-01-14,84.307086,84.0,38,0.0012,4.925,6.067136235857135,1.1421362358571354,0.3245,34.483
SPY,2009-01-22,82.819932,83.0,30,0.001,3.9,4.826459578472192,0.9264595784721918,0.2835,28.037
SPY,2009-01-29,84.597893,85.0,23,0.0023,2.965,4.550280022537694,1.5852800225376944,0.2545,21.606
SPY,2009-02-05,84.739134,85.0,16,0.0029,2.41,3.0836804927522743,0.6736804927522742,0.255,14.918
SPY,2009-02-12,83.768566,84.0,37,0.0029,3.85,4.742477423843744,0.8924774238437441,0.313,32.9815
SPY,2009-02-20,77.367883,77.0,29,0.0027,3.9,4.225223183952154,0.32522318395215377,0.2905,26.4515
SPY,2009-02-27,73.915904,74.0,32,0.0026,3.3499999999999996,4.1098522134426005,0.7598522134426009,0.364,28.3905
SPY,2009-03-06,68.800062,69.0,25,0.0021,3.0999999999999996,3.3240495357160786,0.224049535716079,0.31,23.2525
SPY,2009-03-13,76.163089,76.0,36,0.002,3.525,4.602971611939416,1.0779716119394158,0.186,33.7185
SPY,2009-03-20,76.805316,77.0,29,0.0022,3.425,3.958308056623225,0.5333080566232251,0.245,27.723
SPY,2009-03-27,81.591206,82.0,22,0.0014,2.915,3.6913357409422796,0.7763357409422795,0.244,20.3895
SPY,2009-04-03,84.270056,84.0,43,0.0021,4.625,5.56988755614967,0.9448875561496699,0.1705,40.2395
SPY,2009-04-13,85.957671,86.0,33,0.0018,3.675,5.037327734447982,1.362327734447982,0.3635,29.5425
SPY,2009-04-20,83.332455,83.0,26,0.0014,3.65,4.501222251726747,0.8512222517267474,0.2595,24.4425
SPY,2009-04-27,85.859417,86.0,19,0.0013,2.8049999999999997,3.7204783211114973,0.9154783211114976,0.216,17.3625
SPY,2009-05-04,90.847186,91.0,47,0.0019,3.875,5.473578317087226,1.5985783170872256,0.3455,43.6945
SPY,2009-05-11,91.129184,91.0,40,0.0019,3.75,5.332190997278405,1.5821909972784054,0.242,36.574
SPY,2009-05-18,91.25167,91.0,33,0.0019,2.9850000000000003,4.858780003953156,1.873780003953156,0.197,30.848
SPY,2009-05-26,91.36393,91.0,25,0.0018,2.67,4.285709235665994,1.6157092356659941,0.2965,23.09
SPY,2009-06-02,94.841607,95.0,28,0.0014,2.3049999999999997,3.274105611010863,0.9691056110108631,0.2665,26.4805
SPY,2009-06-09,94.675874,95.0,21,0.0019,1.7,2.7283779638967065,1.0283779638967065,0.3175,19.838
SPY,2009-06-16,91.661182,92.0,32,0.0017,2.575,3.2192950705407766,0.6442950705407764,0.221,29.721
SPY,2009-06-23,89.498062,89.0,25,0.002,2.74,3.274032576109342,0.5340325761093418,0.26,23.099
SPY,2009-06-30,91.950673,92.0,18,0.0019,1.845,2.2731637677535907,0.4281637677535908,0.3245,16.518
SPY,2009-07-08,88.041307,88.0,45,0.0018,3.4000000000000004,4.021575910159672,0.6215759101596721,0.2155,42.3705
SPY,2009-07-15,93.362708,93.0,38,0.0018,3.025,4.03084711027106,1.0058471102710604,0.302,36.6475
SPY,2009-07-22,95.521597,96.0,31,0.0019,2.05,3.273556399182501,1.2235563991825011,0.234,29.6315
SPY,2009-07-29,97.640507,98.0,24,0.0019,2.0999999999999996,2.896066763651228,0.7960667636512282,0.289,22.4425
