ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2014-01-10,536.519,537.5,28,0.0005,18.975,19.72136038997208,0.7463603899720788,0.2335,25.961
AAPL,2014-01-17,554.25,555.0,28,0.0005,18.275,22.573350575096306,4.298350575096308,0.238,26.531
AAPL,2014-01-27,546.07,545.0,32,0.0005,21.025,25.515562774864385,4.490562774864387,0.1915,29.6465
AAPL,2014-02-03,500.6,500.0,31,0.0005,12.775,28.969279671024164,16.194279671024162,0.145,30.0065
AAPL,2014-02-10,519.68,520.0,32,0.0007,14.15,30.12670189870999,15.976701898709988,0.1635,30.6865
AAPL,2014-02-18,543.99,545.0,31,0.0005,13.3,28.748998450818444,15.448998450818443,0.3875,29.1965
AAPL,2014-02-25,527.55,527.5,31,0.0005,12.75,31.072969079841748,18.322969079841748,0.368,27.162
AAPL,2014-03-04,527.76,527.5,31,0.0005,12.925,22.92337148068674,9.998371480686739,0.073,30.631
AAPL,2014-03-11,530.92,530.0,31,0.0005,11.95,24.84691972285895,12.89691972285895,0.2755,29.1245
AAPL,2014-03-18,526.74,527.5,24,0.0005,9.825,19.116807743710204,9.291807743710205,0.295,21.9045
AAPL,2014-03-25,539.19,540.0,31,0.0005,13.375,23.308047317206146,9.933047317206146,0.1755,28.9205
AAPL,2014-04-01,536.74,537.5,31,0.0004,15.575,22.63747718198491,7.06247718198491,0.167,29.8185
AAPL,2014-04-08,523.47,522.5,31,0.0003,17.125,23.67623664999865,6.55123664999865,0.085,30.1875
AAPL,2014-04-15,521.68,522.5,24,0.0004,14.2,18.39232462753098,4.192324627530979,0.361,22.0605
AAPL,2014-04-23,531.699,532.5,30,0.0002,12.525,22.797422204241737,10.272422204241737,0.057,29.5835
AAPL,2014-04-30,592.33,592.5,9,0.0003,7.175,17.402691277185898,10.227691277185897,0.0905,8.803
AAPL,2014-05-07,594.41,595.0,30,0.0003,11.525,31.40712688541585,19.88212688541585,0.256,27.2745
AAPL,2014-05-14,593.76,595.0,30,0.0003,11.525,29.508152582097456,17.983152582097453,0.266,27.529
AAPL,2014-05-21,604.71,605.0,30,0.0004,13.15,30.096483060628696,16.946483060628694,0.2875,27.9645
AAPL,2014-05-29,624.01,625.0,29,0.0004,14.7,30.48025075557395,15.780250755573952,0.2055,27.7
AAPL,2014-06-05,644.82,645.0,36,0.0004,17.9,30.251798734632285,12.351798734632286,0.1505,34.7915
AAPL,2014-06-12,93.86,93.93,29,0.0004,2.085,3.813429516154576,1.7284295161545762,0.17,28.3
AAPL,2014-06-19,92.18,92.14,29,0.0002,2.075,3.856636842346884,1.781636842346884,0.275,26.6805
AAPL,2014-06-26,90.36,90.36,29,0.0004,2.725,3.619242079252077,0.8942420792520771,0.1665,27.586
AAPL,2014-07-03,93.48,93.57,22,0.0001,2.51,3.187853744218432,0.677853744218432,0.163,21.0675
AAPL,2014-07-11,95.035,95.0,28,0.0002,2.88,3.7108674276930853,0.8308674276930854,0.185,27.2085
AAPL,2014-07-18,93.0899,93.0,35,0.0002,3.25,4.502145511803856,1.2521455118038558,0.263,33.7395
