ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2014-01-10,536.519,537.5,28,0.0005,18.975,20.037194612330225,1.0621946123302237,0.2875,25.9295
AAPL,2014-01-17,554.25,555.0,28,0.0005,18.275,21.18130184431509,2.9063018443150916,0.1795,26.6635
AAPL,2014-01-27,546.07,545.0,32,0.0005,21.025,23.803494445878133,2.7784944458781347,0.3175,29.6075
AAPL,2014-02-03,500.6,500.0,31,0.0005,12.775,24.225443772240663,11.450443772240662,0.3585,26.1695
AAPL,2014-02-10,519.68,520.0,32,0.0007,14.15,23.060432235575515,8.910432235575515,0.253,28.127
AAPL,2014-02-18,543.99,545.0,31,0.0005,13.3,24.734614019352716,11.434614019352715,0.2355,29.1365
AAPL,2014-02-25,527.55,527.5,31,0.0005,12.75,23.802367876354786,11.052367876354786,0.355,26.302
AAPL,2014-03-04,527.76,527.5,31,0.0005,12.925,17.12169696088716,4.196696960887159,0.3145,28.377
AAPL,2014-03-11,530.92,530.0,31,0.0005,11.95,17.894381012196206,5.944381012196207,0.2915,29.085
AAPL,2014-03-18,526.74,527.5,24,0.0005,9.825,14.125124946637632,4.300124946637633,0.2765,22.1345
AAPL,2014-03-25,539.19,540.0,31,0.0005,13.375,17.647178395394434,4.272178395394434,0.2175,28.7445
AAPL,2014-04-01,536.74,537.5,31,0.0004,15.575,18.697699308830927,3.122699308830928,0.231,29.5985
AAPL,2014-04-08,523.47,522.5,31,0.0003,17.125,18.713699312615752,1.588699312615752,0.2425,29.522
AAPL,2014-04-15,521.68,522.5,24,0.0004,14.2,15.393155156411387,1.1931551564113878,0.289,22.7685
AAPL,2014-04-23,531.699,532.5,30,0.0002,12.525,17.079023856639832,4.554023856639832,0.2925,27.3795
AAPL,2014-04-30,592.33,592.5,9,0.0003,7.175,9.551932182769491,2.376932182769491,0.0905,8.7925
AAPL,2014-05-07,594.41,595.0,30,0.0003,11.525,19.540028317230394,8.015028317230394,0.281,27.8595
AAPL,2014-05-14,593.76,595.0,30,0.0003,11.525,18.036994324579705,6.511994324579705,0.293,28.059
AAPL,2014-05-21,604.71,605.0,30,0.0004,13.15,18.728979644503717,5.5789796445037165,0.301,28.1825
AAPL,2014-05-29,624.01,625.0,29,0.0004,14.7,18.372742470099684,3.672742470099685,0.199,27.112
AAPL,2014-06-05,644.82,645.0,36,0.0004,17.9,22.199343073722105,4.299343073722106,0.233,33.294
AAPL,2014-06-12,93.86,93.93,29,0.0004,2.085,2.925456848397792,0.8404568483977921,0.3595,27.3215
AAPL,2014-06-19,92.18,92.14,29,0.0002,2.075,3.154411167199891,1.0794111671998907,0.246,27.677
AAPL,2014-06-26,90.36,90.36,29,0.0004,2.725,2.7133446363275304,-0.011655363672469665,0.201,26.8605
AAPL,2014-07-03,93.48,93.57,22,0.0001,2.51,2.6922432171198416,0.18224321711984182,0.1535,21.6185
AAPL,2014-07-11,95.035,95.0,28,0.0002,2.88,3.053757414594608,0.17375741459460814,0.3255,25.9405
AAPL,2014-07-18,93.0899,93.0,35,0.0002,3.25,3.586051990944021,0.33605199094402094,0.3435,31.725
AAPL,2014-07-25,97.03,97.0,28,0.0003,1.915,3.1755690723915033,1.2605690723915033,0.262,26.4875
AAPL,2014-08-01,95.6,95.71,14,0.0003,1.6,1.7997649411043668,0.1997649411043667,0.139,13.431
AAPL,2014-08-08,94.48,94.29,7,0.0003,1.36,1.3478267382815874,-0.012173261718412709,0.102,6.8295
AAPL,2014-08-15,97.5,97.5,35,0.0003,2.815,3.347470077893242,0.5324700778932421,0.149,33.0985
AAPL,2014-08-22,100.58,100.71,56,0.0003,3.65,4.841328812548392,1.191328812548392,0.279,51.8505
AAPL,2014-08-29,102.25,102.14,49,0.0003,3.6,4.597516811061005,0.9975168110610046,0.3075,46.708
AAPL,2014-09-08,98.97,99.0,32,0.0002,3.375,3.784384602556332,0.40938460255633213,0.2335,30.5425
