ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2014-01-08,36.41,36.0,23,0.0005,1.25,1.2025343130366155,-0.04746568696338449,0.3595,20.06
MSFT,2014-01-15,35.78,36.0,23,0.0004,0.855,0.9040733660722856,0.04907336607228563,0.2085,22.3315
MSFT,2014-01-23,35.93,36.0,29,0.0004,1.07,1.176982937306856,0.10698293730685604,0.3195,27.233
MSFT,2014-01-30,36.66,36.5,29,0.0002,0.975,1.229679033475984,0.254679033475984,0.3475,26.3495
MSFT,2014-02-06,35.82,36.0,29,0.0007,0.775,0.9948096171098786,0.21980961710987856,0.179,27.516
MSFT,2014-02-13,37.47,37.5,29,0.0003,0.685,1.168767620515398,0.483767620515398,0.199,27.9135
MSFT,2014-02-21,37.75,38.0,28,0.0005,0.645,1.0155737161669758,0.37057371616697576,0.2685,25.4805
MSFT,2014-02-28,37.86,38.0,28,0.0005,0.695,0.9008740173409543,0.20587401734095434,0.218,26.198
MSFT,2014-03-07,38.15,38.0,28,0.0006,0.845,1.0602983483208464,0.21529834832084638,0.283,25.7535
MSFT,2014-03-14,37.89,38.0,28,0.0005,0.745,0.8790546859833946,0.13405468598339465,0.293,25.593
MSFT,2014-03-21,40.33,40.5,35,0.0006,1.065,1.1024495721830234,0.03744957218302347,0.348,32.752
MSFT,2014-03-28,39.36,39.5,28,0.0004,1.02,0.9228907001211119,-0.09710929987888817,0.334,26.263
MSFT,2014-04-04,41.01,41.0,28,0.0003,1.16,1.2530514866463123,0.09305148664631235,0.3925,23.859
MSFT,2014-04-11,39.36,39.5,28,0.0004,1.17,1.1227838339841734,-0.047216166015826566,0.2655,25.804
MSFT,2014-04-21,40.01,40.0,32,0.0004,1.105,1.2564591156360045,0.15145911563600456,0.3485,27.8435
MSFT,2014-04-28,39.91,40.0,32,0.0003,0.79,1.2223906241511149,0.43239062415111484,0.3175,29.2205
MSFT,2014-05-05,39.69,39.5,32,0.0003,0.84,1.249059681873691,0.409059681873691,0.313,29.0895
MSFT,2014-05-12,39.54,39.5,32,0.0003,0.72,1.0825384193058767,0.3625384193058767,0.321,28.8555
MSFT,2014-05-19,39.83,40.0,32,0.0003,0.71,0.9663145075783782,0.25631450757837826,0.285,29.5435
MSFT,2014-05-27,40.12,40.0,31,0.0004,0.795,1.1296468619790792,0.3346468619790791,0.3515,27.5325
MSFT,2014-06-03,40.79,41.0,29,0.0004,0.605,0.7628958069519901,0.15789580695199013,0.2415,26.74
MSFT,2014-06-10,41.27,41.5,31,0.0004,0.59,0.8034154286291607,0.21341542862916074,0.321,29.036
MSFT,2014-06-17,41.5,41.5,24,0.0004,0.675,0.8530145918600367,0.17801459186003665,0.27,22.24
MSFT,2014-06-24,41.99,42.0,31,0.0003,0.92,0.9051585660633509,-0.014841433936649162,0.2715,28.042
MSFT,2014-07-01,41.7,41.5,31,0.0002,1.15,1.2361510268963976,0.08615102689639764,0.265,30.221
MSFT,2014-07-09,41.78,42.0,30,0.0003,0.92,0.9075495102439571,-0.012450489756042904,0.2575,27.9705
MSFT,2014-07-16,42.45,42.5,23,0.0002,0.875,0.8677314855413217,-0.007268514458678266,0.203,21.853
MSFT,2014-07-23,44.83,45.0,30,0.0003,1.185,1.0293195814774962,-0.1556804185225038,0.2195,28.445
MSFT,2014-07-30,43.885,44.0,30,0.0004,0.755,1.0283430796930715,0.2733430796930715,0.3425,27.0415
MSFT,2014-08-06,43.08,43.0,23,0.0003,0.785,1.0303937465081259,0.24539374650812584,0.237,21.65
MSFT,2014-08-13,43.52,43.5,30,0.0004,0.795,1.1636899314777491,0.3686899314777491,0.3295,27.2255
MSFT,2014-08-20,45.33,45.5,30,0.0004,0.64,1.1965256818287193,0.5565256818287193,0.2075,27.6975
MSFT,2014-08-27,45.005,45.0,30,0.0004,0.725,1.1941849977053212,0.4691849977053212,0.261,27.19
MSFT,2014-09-04,44.96,45.0,29,0.0003,0.74,0.9692255596761229,0.2292255596761229,0.144,27.7045
MSFT,2014-09-11,46.84,47.0,29,0.0002,0.745,0.9364089610763193,0.19140896107631933,0.201,27.2145
MSFT,2014-09-18,46.52,46.5,36,0.0002,1.195,1.2197066623872859,0.024706662387285805,0.2195,33.2525
MSFT,2014-09-25,47.08,47.0,29,0.0001,1.085,1.0166187909183748,-0.06838120908162515,0.347,25.9515
MSFT,2014-10-02,45.9,46.0,36,0.0001,1.205,1.2267653519154729,0.021765351915472797,0.263,33.827
MSFT,2014-10-09,46.78,47.0,29,0.0001,1.0,1.0574492613692987,0.05744926136929873,0.2745,27.2535
MSFT,2014-10-16,43.22,43.0,29,0.0003,1.525,1.1600221208515415,-0.36497787914845836,0.154,26.8355
MSFT,2014-10-23,44.38,44.5,29,0.0001,1.075,1.0393190003017363,-0.03568099969826366,0.1955,27.574
MSFT,2014-10-30,46.62,46.5,29,0.0001,0.825,1.226033854548304,0.4010338545483041,0.2965,26.7245
MSFT,2014-11-06,47.86,48.0,29,0.0003,0.71,0.9459405578434101,0.23594055784341017,0.306,25.7645
MSFT,2014-11-13,48.78,49.0,29,0.0002,0.63,0.939110026673296,0.309110026673296,0.2445,27.1995
MSFT,2014-11-20,48.22,48.0,29,0.0002,1.09,1.1447536107229697,0.05475361072296958,0.285,26.6825
MSFT,2014-11-28,47.75,47.5,28,0.0002,1.02,1.058216957006301,0.0382169570063009,0.3135,24.8915
MSFT,2014-12-05,48.84,49.0,28,0.0002,0.835,1.2446537584649846,0.40965375846498464,0.218,26.1375
MSFT,2014-12-12,47.17,47.0,28,0.0002,1.16,1.3546519325473372,0.19465193254733726,0.249,26.4305
MSFT,2014-12-19,47.52,47.5,35,0.0004,1.19,1.4049200282697643,0.2149200282697643,0.309,32.775
MSFT,2014-12-29,47.88,48.0,32,0.0003,1.21,1.305531505803182,0.09553150580318204,0.208,29.423
